dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-0.038663309044980276,0.030422543718120653,0.05616329081248369,0.08400657770255626,0.10148993004806266,-0.5435740351142354,-0.22713499829594025,0.022310043785419197
wood,-0.053798536003302186,0.1229276987901193,0.17968202043027356,0.20700401129362747,0.21100778009619314,-0.483709937245066,-0.29960369692643785,-0.04686114154591543
metallic,0.07526684262558674,0.20299029456505377,0.22620577059837138,0.2653940419446883,0.29082058084495355,-0.5884699150838918,-0.29721434314403206,0.04168577502779162
fabric,-0.2083721130974619,-0.1924209625364729,-0.12472780270506312,-0.12904429749105345,-0.14297586858429365,-1.4147689768396259,-1.1044716756940245,-0.5879723305671588
white colour,0.4689579803186884,0.5642118301916224,0.5757210523636196,0.5860695532384448,0.5863147436425217,0.33360855086482316,0.33229719035000166,0.490363209302383
grainy,-0.07957501413090479,-0.04152980962227528,-0.011764324514415747,0.05673364873641727,0.03697617493708457,-1.2392193554919395,-0.8388656041290741,-0.32392525380770926
crystalline,-0.08452170379182751,-0.10561073150508613,-0.11915855055387588,-0.09246503027258082,-0.09031522477904884,-2.31066129810356,-1.4562571864095417,-1.0270281194593447
"straw, fibrous",-0.04800356641333865,-0.06801226348457617,-0.06634080363068695,-0.06538560580860146,-0.04418842847546729,-1.6763383906824825,-0.9527841993284645,-0.6680210751387842
cloudy,-0.044753285379621296,-0.05839934395441436,-0.040523736172680715,-0.020303399313157812,-0.02422691276742006,-1.3613297997291867,-1.217841612981129,-0.568018005147802
small,-0.07132345316056463,0.12007257213675457,0.1590749480649972,0.15181582334780405,0.16935373524953226,-1.0107986835846883,-0.5270032069461411,-0.09023467152380127
"beige colour, tan colour",0.20140339756171555,0.24205832049593673,0.2414558490843704,0.24768470543034074,0.25019269779223396,-0.6423663071578466,-0.2900449146928669,-0.02605984188240835
viscous,-0.10311183391208756,-0.10987082718223032,-0.11543616504673737,-0.10490821197808571,-0.10537957416362413,-1.600267325325,-1.4644747312847985,-0.7960345309976061
black colour,0.1742493060661591,0.2816637640902684,0.3127133704823455,0.333209867098288,0.3470157585490493,-0.09522037737849391,0.06012232432366107,-0.042366723298976186
brick,-0.10188583561160733,-0.11912325080845268,-0.1416847957076344,-0.1501099045992102,-0.15289619333081467,-2.1907542996552296,-1.6749932965598717,-1.1399648314210407
swirly,-0.04308969109212439,-0.037302941544519116,-0.040856794357792936,-0.04295106429302954,-0.048936810391045624,-1.9977736235118317,-1.5501597791429633,-0.6890786418220571
maroon colour,-0.13564859032873633,-0.009169911452517132,0.015702293977216765,0.05424193788690983,0.04678184141618078,-2.37853004114936,-1.5285112293142327,-0.6948520929164553
