dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-1.3573602897925778,-1.3059046621978228,-1.2967535109367074,-1.3652773256170225,-1.264892831133476,-2.0692410748475307,-2.0660864977648505,-1.9001701458197982
wood,-0.957360571278894,-0.9423364887347279,-0.846663901372088,-0.8261815932986021,-0.9981846263253171,-1.3351366169160288,-1.3583274886213381,-1.2746031222653285
metallic,-0.8912813638946193,-0.8476949735394279,-0.8387030859782039,-0.6898053047127353,-0.6211180458186394,-1.4861754778689948,-1.257173856585596,-0.9928938884279634
fabric,-0.692912608014248,-0.6984970043929357,-0.6775421023397126,-0.6852640093826032,-0.6990445334841733,-1.1837588315518914,-1.0707724470087312,-0.9939650694908186
white colour,-0.3679403417532867,-0.3939765494597802,-0.7561615833870738,-0.20594343339358523,-0.6510350882827416,-0.7381735962968687,-0.5256517014655944,-0.967648134625847
grainy,-0.7670901054107271,-0.7429663193294758,-0.7595841957102321,-0.779294072296584,-0.6866124433090024,-1.0674847708677597,-1.188357020332873,-1.152662360163129
crystalline,-0.6749498081621541,-0.680806120074178,-0.6821052406313459,-0.6673528835042708,-0.709341929444419,-1.318822692853797,-1.2149946186874123,-1.1251674070581155
"straw, fibrous",-0.5036938688932682,-0.4544003172482325,-0.4456516780592563,-0.5233946919718366,-0.44076155727407507,-0.7891113105828571,-1.0203045976891216,-0.9048660104350517
cloudy,-0.6354023513258868,-0.6389403432467298,-0.644240938665821,-0.6408545578542568,-0.6614095729995011,-1.3537175046685719,-1.2525559135910194,-1.121035504870186
small,-0.5475451989654017,-0.35731275140640095,-0.5060088453893594,-0.5289887661471007,-0.34823765701903153,-0.7067746901388419,-0.7199105316482954,-0.543971016363411
"beige colour, tan colour",-0.3107106726330777,-0.27313274180898817,-0.3203275874400904,-0.5988433638220629,-0.6276487664850647,-0.6196169319425686,-1.1091121074919954,-1.0070390065855515
viscous,-0.446905564897248,-0.45016700509075647,-0.44955611217867686,-0.42323889683902083,-0.4643597688365737,-1.0183393632530442,-0.8968198880066385,-0.8459888618861473
black colour,-0.4062337403152998,-0.40891817861185054,-0.06721739708753227,-0.37144645982476976,0.0045994525208542525,-0.855808274373294,-1.0011541389609708,-0.4383826309034782
brick,-0.4495863530643467,-0.4598292283227525,-0.45002084311336277,-0.44159090329751005,-0.4396871353852996,-0.8087060388573213,-0.8938861135439542,-0.7681493472983343
swirly,-0.5467671091107242,-0.5459470129939203,-0.5514198808874737,-0.5435128393162358,-0.5578602077325412,-0.9087616389579158,-0.9032777635409011,-0.8082578241478007
maroon colour,-0.1866629988892201,-0.09897631669208051,-0.07659581457611453,-0.4081971975303711,-0.24283969952569118,-0.5089466076848641,-0.8766474088942673,-0.6307231741737858
"lines, long, tubular, vertical",-0.4150827898548386,-0.40755252155075694,-0.37226841953031276,-0.4133619740776129,-0.3787388239295504,-0.954596957227718,-1.0041028887187347,-0.6962168399653914
mesh,-0.39461915266946024,-0.3367423943896004,-0.4102952962128563,-0.3796059579738935,-0.34743128299026127,-0.694117288963116,-0.6270234401843024,-0.6032649713370786
yellow colour,-0.08853956070388969,-0.01820344015166553,0.036697677246226856,-0.29433757670524274,-0.3427673133235616,-0.22438426895355135,-0.8496356525093165,-0.6924452933430125
multi-coloured,-0.33330036441039756,-0.32578182543172973,-0.33108750596876324,-0.20816746337281922,-0.30736702807401417,-1.0699617891916926,-0.6433020777730523,-0.5934291519382011
thin,-0.3684810321062295,-0.3764467353627352,-0.36994619080157665,-0.3896928210648818,-0.3821268228611352,-0.871394251889138,-0.8467436054191986,-0.7169455878917523
bulbous,-0.37641614722172245,-0.3804510826169263,-0.38219500407651985,-0.3968476064960822,-0.395972752696808,-0.7743564281587936,-0.8483591867086304,-0.7116267933952596
green colour,-0.2367560645799225,-0.2231042078168437,0.05346183399032345,0.1850168180498104,0.17708344254005637,-0.18761282066880547,-0.6779556403707885,-0.5221553786908906
blue colour,-0.3306841739033488,-0.2830254256737703,-0.31933832219191305,-0.07431021691045836,-0.2104627498367937,-0.7595321984781636,-0.38736462179003905,-0.1915399327990448
shell,-0.2902939489905785,-0.2909078786775694,-0.3037896152381976,-0.27755277001123346,-0.2905539062208229,-0.7314599898475984,-0.7789860915843625,-0.6197665277159103
"gemstone, smooth",-0.33878897654991014,-0.34365111147141003,-0.34370889929600223,-0.32524224514887035,-0.3436018909767029,-0.8729999417572942,-0.7572937562629825,-0.6242351100871186
sheet,-0.28380743089724647,-0.2882215090739402,-0.2502832332764884,-0.2241373156847859,-0.2885821099241659,-0.5311447926670605,-0.6021813372391833,-0.4909517206780325
hair,-0.30772082602418194,-0.307689010025324,-0.2534819794584684,-0.25768853417053994,-0.29475956163784534,-0.5434363582498953,-0.5314718004006713,-0.4683205942864921
spongy,-0.2769549876193276,-0.28346640531105316,-0.28072561876321456,-0.29324689151908534,-0.29838035037336597,-0.5887760833807081,-0.6673824034571167,-0.5903602328421409
golden,-0.29905639882084345,-0.2952373523550378,-0.2072668644531661,-0.2723728666716012,-0.2553344476507109,-0.7099752151510017,-0.7200992172658336,-0.5573350318966679
red colour,-0.1461710782835468,-0.062102611811678754,-0.07436681376492871,-0.1399825775063126,-0.14701803857843987,-0.5177397153822985,-0.5549636127203836,-0.2989698260869247
"round, smooth",-0.2254045365273285,-0.2287925533063382,-0.23092805863826005,-0.2307807357006666,-0.23645622658078946,-0.49179646799195953,-0.49229970707646453,-0.44976923615562137
cream colour,-0.18860795923912566,-0.1887220770762228,-0.255778610392984,-0.17993776210068102,-0.20837833056482635,-0.36262888388639714,-0.32289915990475615,-0.40138691617884037
bumpy,-0.2637571164267176,-0.28082299318561454,-0.28829303971689235,-0.2623043458794767,-0.286484424901704,-0.6217064464826605,-0.677821337421292,-0.5640432316620554
hot,-0.1297633718900837,-0.11448875812865067,-0.10262089324485935,-0.162789410977221,-0.1701847131418781,-0.527837090092683,-0.6254396731105933,-0.4899249349272119
turquoise colour,-0.16404865653957557,-0.14786050265822137,-0.16041376417519593,-0.036912658087791206,-0.14117786842828872,-0.5410922147639428,-0.41351322308012795,-0.2829699793946068
