dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,0.007423951428549569,0.08189654501809818,0.10599062432649453,0.13288289226524164,0.14562365565608792,0.2611576099187207,0.20531887558735362,0.08741438135186042
wood,0.0694797567855081,0.22238665257190138,0.2714786648342762,0.30832398462063737,0.3033856928872364,0.43562919556742974,0.38950729957230246,0.27403195917158407
metallic,0.14819814162715927,0.2754771215726891,0.2978012809100229,0.33155002918852694,0.34462373926372936,0.4082558032416558,0.37603197342385664,0.16455622938493608
fabric,-0.028188484862066154,-0.012924116455205859,0.04261104378257241,0.03554054209845958,0.04883619539350659,0.07027004484111188,0.06945539995534611,0.018671321892469672
white colour,0.5114269922543806,0.6127475110535809,0.6207795220812855,0.6303527519318715,0.6329391397972635,0.6702092894481744,0.6585830922705426,0.4033991560575658
grainy,-0.004551818213763825,0.024515087642719702,0.05749522639352023,0.12935386669651983,0.10077420251659652,0.1659186200950732,0.15408705261382694,0.030618767517869516
crystalline,-0.011156700454118651,-0.013795593510422588,-0.017231298226357605,0.004780916494794951,0.01734379231148242,0.0639025902773035,0.07718781202595681,0.009645339837399014
"straw, fibrous",0.03335801597704324,0.07944680527199588,0.136938713993645,0.18129724072793996,0.19365490096238402,0.2532879372280413,0.22072934338464056,0.042201358504034836
cloudy,-0.018653612125369756,-0.01906560718457251,-0.0035992175347019373,0.010759737198266506,0.007148386764098569,0.02079363170925763,0.030214709860861055,-0.0021769153752559944
small,-0.008894218846374535,0.19587821908745662,0.23807727194239425,0.2357490455168776,0.24665796985809307,0.27252578090479385,0.2644008815368737,0.19291491673842653
"beige colour, tan colour",0.32121630661614065,0.35426649426343537,0.3556879960560536,0.36981055309075117,0.36957385196417014,0.4845341860915724,0.4264900547411339,0.18406730080067613
viscous,-0.01700838304694008,-0.028524440348631774,-0.03490346535147992,0.01604437293734262,0.011466820336226036,0.02520903631482696,0.0416494318755769,-0.009840745506157766
black colour,0.2625666839529698,0.37521773840473527,0.4252424913539098,0.44435703081292055,0.43792720771450977,0.511343317255937,0.4646059647311471,0.21348337795385253
brick,-0.021147679051443102,-0.02296911663863499,-0.02938187820963556,-0.0256667268867381,-0.0320729820246457,-0.0288997097957453,-0.0240567491294692,-0.00440444869224188
swirly,-0.020432168761579605,0.001829440067517174,0.0010842752340282091,0.009007430390399529,0.007987499723412395,0.007314650337889361,0.004913499760253348,0.00024882054911146145
maroon colour,0.2990991544100856,0.41488890641103326,0.4337036586414693,0.44555672736094043,0.4300906647238596,0.4492141135491101,0.42984152696382616,0.13619288375693273
"lines, long, tubular, vertical",0.0088965257237833,0.024848301630500225,0.04903254321649542,0.04444665444930662,0.05680805578381265,0.07378389088488002,0.07493338531006932,0.03673912669218704
mesh,-0.001717777554946398,0.07237682384952693,0.05327204076827585,0.09596716079829781,0.09166326358514498,0.15910519533323786,0.13833231023982173,0.012448546397440419
yellow colour,0.30297633039114336,0.5083959206769216,0.5136080641044528,0.5090572248464849,0.5143832029425315,0.5995075316727119,0.5533657598506314,0.2044535212585602
multi-coloured,-0.007515954230367772,0.006194486331802751,0.0723604514436591,0.1881137700103278,0.16526225453168553,0.17860955548538981,0.1793362772111885,0.05111570649457142
thin,-0.013478318804069911,-0.013749454960996,-0.012967773242811065,-0.012373669128648457,-0.020996458259363582,-0.01852133209621387,-0.0210960307240029,-0.015974167002734685
bulbous,-0.017373225368277234,-0.01642072551127627,-0.013170532974527305,-0.01860191491185703,-0.01503508143493737,-0.03674133982297789,-0.002812166515431036,-0.00396612490697712
green colour,0.018162594954936107,0.3719751869437349,0.42919577727989366,0.4910560750201173,0.45813940601229075,0.5017808854030541,0.4308283940550207,0.07017490542169047
blue colour,0.18815136667943266,0.17257859285605737,0.3464526515612143,0.39076675698630425,0.36262554692787874,0.4554033078823737,0.3862894851426162,0.09863033272979538
shell,0.008431664762211355,0.009951116316688546,0.024512000926270816,0.023716597378749427,0.032482325376814614,0.05509487243256839,0.05898562067920343,0.024873899463385918
"gemstone, smooth",-0.016889686044807117,-0.020842192656731928,-0.02292039924658562,-0.01811075616629587,-0.006391650889597589,0.015084766125058713,0.03554345982761786,-0.003252533127066748
sheet,-0.017546818470924208,0.04160877081847714,0.040831781794563926,0.05234243446166076,0.047887953259146965,0.07116806866103786,0.0838492968207224,0.03168867567384526
