dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,0.007233163605903359,0.19336001007567033,0.18419145251820038,0.20843621985816524,0.22007824064760376,0.2044453289600093,0.20526149748318795,0.19415193701860992
wood,0.0537320030901711,0.3345977503628056,0.40729418823800534,0.4014852813077905,0.38470171224308986,0.4095430190230177,0.39803776312445227,0.388665848434797
metallic,0.306936782920712,0.42651391421237683,0.43553593926594625,0.430456241070463,0.4269991025023624,0.37456059065462155,0.36587067392228134,0.35214900055084
fabric,-0.18091509191826166,-0.131003947912043,-0.13008111490695082,-0.1337677192902687,-0.12605765778573055,-0.1654002186470756,-0.17069944526469907,-0.15759839800193698
white colour,0.5443734741150866,0.6614932789632985,0.6809878757487874,0.6857837263163006,0.681566662996646,0.6776090780119011,0.6793320770029576,0.682069883031926
grainy,-0.09783905337932818,0.08488777935424982,0.13481162605233613,0.1371149063333697,0.13998656623674702,0.14383333659702008,0.14895684602242015,0.13947379634187484
crystalline,-0.12872579707679513,-0.048072358264630875,0.006220939732533104,0.0061369891593213155,-0.030853837561322373,0.012748808010197977,0.014335286453759245,-0.005386033616623975
"straw, fibrous",0.00581753862476706,0.10653327866656834,0.14050205232375074,0.14137653735611613,0.1449369846553877,0.13557981291558505,0.13356133887453087,0.11559481766069166
cloudy,-0.06606802524361462,-0.027426881236186508,0.0014940390677376293,0.010438638557805469,0.012142215957963188,-0.023733260735899875,-0.016685466662178138,-0.020148733384251282
small,-0.10532443638696179,0.18591406417582218,0.22554939524590942,0.2266947214398134,0.2237804429120951,0.24665625823006013,0.24025914707643334,0.23781388826250702
"beige colour, tan colour",0.5432553865266616,0.5611524399878514,0.5378170821739732,0.5173979482654533,0.5059542442710421,0.4168532664551138,0.4178823444834706,0.4008701347944699
viscous,-0.07390220460108837,-0.042606002110826525,-0.05188751206624888,-0.056050118408160245,-0.04665372861477387,-0.07452951309419097,-0.07614630835913515,-0.07548194120047899
black colour,0.42633447306548905,0.4376555331438758,0.4317561532028824,0.44315716718696513,0.445002077315236,0.3806809550870961,0.3775022556419595,0.3638005941916059
brick,-0.08665076054169571,-0.08677527883542675,-0.05164913402152901,-0.03836411890096778,-0.057906923711796454,-0.15449438514651737,-0.15255226496297786,-0.15681598080913015
swirly,-0.13570286296701478,-0.11720039807592426,-0.08301486668051139,-0.06889698608453618,-0.07409004216710594,-0.06761411944874794,-0.06463641145763116,-0.06540340703549088
maroon colour,0.4335651995148311,0.35912710715247875,0.24479431939086252,0.20951899725017126,0.23643215588328764,0.18806809020349396,0.17670570944142758,0.13811307929385816
"lines, long, tubular, vertical",-0.06055773581828665,-0.020543865333203692,0.005466986384464656,-0.019560993260428573,-0.037396856026713096,-0.04876322011208147,-0.04663718186984611,-0.0768610745250872
mesh,-0.0597821783801258,0.05675835998470036,0.06788360667198154,0.07702447728207319,0.084675375794421,0.027186779855264732,0.0070838635780214095,0.00023743946775852675
yellow colour,0.5074506663607341,0.5938462854071137,0.5822671118479216,0.5710774742415458,0.5674545790453199,0.4087369247049069,0.4026061090529865,0.4041841158211927
multi-coloured,0.11362165179489621,0.3499603516828059,0.30388647167511484,0.3007725722953912,0.2941841145297192,0.037422715420862264,0.009920290318028857,0.0003503182469445254
thin,-0.03375592064230739,-0.05831884213912454,-0.017846216880791643,-0.03583507571171085,-0.029979650957688342,-0.20878384068272063,-0.22063080589294523,-0.20906596246583886
bulbous,-0.08981437705122433,-0.14267007302489154,-0.11739114026139193,-0.1219060380101697,-0.14021837876207338,-0.2519010831400034,-0.24841930750470947,-0.22110630772559547
green colour,0.5020503831102416,0.5032790760741684,0.46575850499397103,0.4355863177239273,0.45225819755813407,0.13522261831583043,0.1281915929549103,0.1162727911274117
blue colour,0.512179365696912,0.5256731765719781,0.4939997663589656,0.49386862446493296,0.49467751235115953,0.40139272525586034,0.3848490761878446,0.36195113588860556
shell,-0.027890770840050073,-0.04775951225105544,-0.059032212598459935,-0.06547743540422038,-0.067245228544702,-0.2798656161052331,-0.26592444410044275,-0.2544993689085166
"gemstone, smooth",-0.1293989972926754,-0.19144633068559697,-0.21870864996883627,-0.214764764531642,-0.21983926182271746,-0.49861070691943626,-0.4824988463573868,-0.501518742787015
sheet,-0.12000004383446687,-0.0912248791864964,-0.08732456514412967,-0.10514556264053487,-0.10101754251716182,-0.27250391390496853,-0.28441548020114427,-0.3129989829645116
hair,-0.04192544155323637,-0.0001699665295659014,-0.016523041055780285,-0.04518400948768225,-0.050257666664557374,-0.17018408269813362,-0.1807910829926496,-0.1665274279962084
spongy,-0.195183728610179,-0.21546841633151237,-0.19815227980950886,-0.20959872021733794,-0.2314994729740032,-0.4228075502262801,-0.40251435487119985,-0.40031476102035335
