dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-0.14737370941879457,0.049957647138545114,0.14995656839516036,0.12515459713323074,0.20026345320571526,0.06065462473814165,0.10898077511293958,0.1815988074430428
wood,-0.012882089089899518,0.26649468274724275,0.3780205416644675,0.3528199648827445,0.3952291222364275,0.29423941818134725,0.3534875263662396,0.3757843204904183
metallic,-0.004152634042499326,0.40945061385801107,0.32885440962772994,0.3977470073075665,0.37810790103395797,0.2463986800700323,0.19592643605555682,0.2875061619907159
fabric,-0.16951793198459586,-0.20256710127001987,-0.17776669340389173,-0.16603118616037316,-0.22632602689023562,-0.17474907905289316,-0.11640146019251496,-0.13051241309504835
white colour,0.5015451471264596,0.6585770138893168,0.6447138766597954,0.6590608746384875,0.6473296829603654,0.5579660916110126,0.6204613111800752,0.6293882105898942
grainy,-0.171045739024567,0.04213184297705497,0.10487528766730836,0.08924396931146594,0.09572265691461912,-0.014512917081027199,0.01085528105742406,0.025387761998020175
crystalline,-0.17219032057359418,-0.0838411657373277,-0.11636185041924874,-0.05899860385984179,0.0165705742463107,-0.4004184400671438,-0.168360863057208,-0.21956399288533368
"straw, fibrous",-0.10322311860496525,0.1535023502980729,0.12514240782926,0.10635613296970448,0.1954740665523126,0.07866436832574597,0.05536823894040632,0.07600904589442237
cloudy,-0.12776698274364762,-0.15985908011858663,-0.1662993488414013,-0.1621566520979596,-0.20109243136330401,-0.2538581397695616,-0.20266100203307702,-0.17819557753071824
small,-0.19340296700357884,0.13616755212880105,0.20312528458381796,0.19091531505378978,0.16472694187715176,0.09208113546495822,0.09094455737656781,0.19195767311364265
"beige colour, tan colour",0.18074310107860814,0.5418296358780048,0.486314014624866,0.5529266753216162,0.48950660825594605,0.3627379536901125,0.3708704567219492,0.3681606784333946
viscous,-0.15769092136930696,-0.13410017568556754,-0.18605176072000784,-0.13199420804195983,-0.17017952491550314,-0.20492228929166334,-0.1790877188957436,-0.09800000659973862
black colour,0.21206245897461673,0.5078741357757797,0.5556162509305984,0.5218889758025023,0.514434691770949,0.43530933825151075,0.4138575331090125,0.3904893763751992
brick,-0.18980217165045365,-0.27915400043215843,-0.30844366649849086,-0.23980178641582017,-0.1977450639495879,-0.3335943122401419,-0.2848074583595541,-0.3331099250386542
swirly,-0.16157953954476634,-0.2506351268624303,-0.2340934330198332,-0.2058694667211307,-0.2702749095763024,-0.424713774914111,-0.3266265761107845,-0.21354136349613606
maroon colour,0.2586308705584831,0.4427702435628692,0.47446398502114684,0.47819804199642557,0.5191282593457827,0.25421105025761814,0.2904077063526814,0.3024950752399562
"lines, long, tubular, vertical",-0.22407343137735958,-0.012800169313861742,0.03671317920930639,0.09785584156123595,0.08397140795350078,-0.04271559675771375,-0.07834395920369941,-0.14128673760448773
mesh,-0.23553737928958163,0.010723525920596666,0.0154887079878131,0.035624728393087945,0.049834853978273586,0.019253299793397072,-0.045141586819155366,-0.054932123115644105
yellow colour,0.4109822045273662,0.5819278765891556,0.6253332322969227,0.6438627200638136,0.6059498644491672,0.5182404577550048,0.5001331706390413,0.5223025548941892
multi-coloured,-0.13997348192364623,0.17127350317609824,0.2735715400304476,0.22233338644482026,0.24393311527990136,-0.08331702087054649,0.060762518756020456,-0.10797025357648748
thin,-0.16374406786508877,-0.30961915161888487,-0.1537661196093929,-0.2822364493530445,-0.3662577766984254,-0.5543661629773888,-0.38553366467620265,-0.3875060205741725
bulbous,-0.1446111889146815,-0.21058645507184615,-0.22730366874543018,-0.2412833075697145,-0.19888264602674477,-0.30901959374002885,-0.3521672902299957,-0.22444472950603522
green colour,0.20750840621238575,0.46376248425834365,0.4402011925213922,0.504136324684942,0.40814136425631353,0.3538609569621728,0.36958150150082025,0.3001231043054039
blue colour,0.026383970213888497,0.37057228277546894,0.39036108718894946,0.43300129379184704,0.38062131091599727,0.3145694973492552,0.3322867689836727,0.3550884637913255
shell,-0.1611595378050028,-0.12460692546209029,-0.03024639677744112,-0.058731546336099116,-0.08508056755171634,-0.2949646305158964,-0.271466159547048,-0.2654622699713265
"gemstone, smooth",-0.13597118797597774,-0.23230699988192605,-0.28285564641680483,-0.22745221460602072,-0.24348099791854727,-0.4002637562447744,-0.29383986690865216,-0.27949476807913
sheet,-0.14085671842914738,-0.21135465366018447,-0.30234850667895197,-0.1551695707059304,-0.04389554950242669,-0.1514990526016622,-0.07380939512800277,-0.06838279772119749
hair,-0.13731963071071163,-0.03877120087484465,-0.06158060308840163,-0.06543363198610508,-0.07226825217650656,-0.12703644586413843,-0.15430458072931375,-0.14448564629996663
spongy,-0.14534628072466593,-0.22190411338115346,-0.10696547895492592,-0.21343680223472838,-0.1338060382674453,-0.34309157569174653,-0.3385060417926351,-0.24942766936212113
golden,-0.2046940829370616,-0.05454966739422784,-0.00711750055683269,0.010990892362449878,0.029737506891297838,-0.24885136140038377,-0.11793959761130335,-0.15292823438184144
red colour,0.0778765721605148,0.5148010308721622,0.44413606958302954,0.5052622790658761,0.4703970714782255,0.31295693797045143,0.34808276104273606,0.28412695077696337
"round, smooth",-0.14510250296221439,-0.301569919070116,-0.24140911599350812,-0.3229181517764639,-0.29358534751799104,-0.3689694076319281,-0.2900576385020943,-0.27175232640716085
cream colour,-0.008827731503129987,0.1594221718239741,0.22407256136090237,0.23175117934835476,0.2657160944258009,0.049148809171731034,0.13052697555340387,0.1579666920188606
bumpy,-0.1074644211587128,-0.19696137752833986,-0.3172315756973654,-0.29059927792697104,-0.37461680467056,-0.2569377455647488,-0.25242300680434604,-0.26489082895754357
hot,-0.0866861077592127,-0.1512842524906004,-0.15489677154381254,-0.0489954612458019,-0.049162730266483656,-0.08578961195252566,-0.15289354002878897,-0.06925055957184423
turquoise colour,-0.021072748855999857,0.07866819877698472,0.23723163624058297,0.22429215748549536,0.19039630846268651,0.016104533345511318,0.08816757152585508,0.03030135647333121
