dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-1.383383460642503,-1.5471575353920515,-1.5316842010843628,-1.662427401914258,-1.5302211962749404,-1.5960760342755762,-1.5895406624508177,-1.5418519865200082
wood,-0.9687370762520502,-1.1590519162561241,-1.07422561428874,-1.088441272469732,-1.1569478101643407,-1.1408636879237033,-1.1381057873366163,-1.1477642779960493
metallic,-0.9162502235958878,-1.0508058146354387,-1.1895719959278916,-0.9762315727320916,-0.8964030207712754,-1.0430267099234651,-0.8719720943471303,-0.837730499214673
fabric,-0.7158866356225047,-1.0359343340153329,-1.0116397153254124,-1.0006051320947646,-0.9772776641936114,-0.8899070692439945,-0.8533921306831804,-0.8783693827764061
white colour,-0.3467392784306411,-0.5009605938672363,-0.9631600457331939,-0.41339211030150036,-0.8695263427608151,-0.5451413064008068,-0.3515415568435156,-0.8245107472711455
grainy,-0.7973813852049538,-0.8758526531665942,-0.8938715084609479,-1.0347422775228052,-0.9210132719410318,-0.8507387234283357,-0.9172344014633009,-0.9705041511762107
crystalline,-0.7227362835246971,-0.8375169942180367,-0.8281156635501148,-0.7958314719695245,-0.9272927201306822,-0.9219266973280085,-0.9424280733792954,-0.8727754255276525
"straw, fibrous",-0.49911165821473635,-0.5607165389159461,-0.5749356522222964,-0.7275656209744907,-0.6209059436015973,-0.5194071033041971,-0.735444833756415,-0.7030662541256287
cloudy,-0.6181733794819013,-0.8413703221446356,-0.8312650071502155,-0.8582975816444018,-0.9008981413431654,-1.0029765446515477,-0.8947304861289056,-0.9297214053846057
small,-0.5612462285730722,-0.4167518080550041,-0.8246401988936967,-0.7752607677900702,-0.4558306229582547,-0.514303749859776,-0.4790330579162261,-0.463698515946376
"beige colour, tan colour",-0.3127260231047104,-0.3322306320195709,-0.3249746055557512,-0.8167752848467613,-0.752300113387693,-0.41496828526323926,-0.8137168265339345,-0.8220573003261258
viscous,-0.4962325396488436,-0.5656815826522099,-0.61287565420498,-0.6315130304667134,-0.7234766354333673,-0.7736304756828289,-0.7540505666558062,-0.6500301932501344
