dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,0.007307195378827114,0.20581861740640814,0.20958123919831823,0.22707126812427805,0.23151873668253997,0.17802521958571754,0.18049859710690017,0.17832403022407245
wood,0.05274329688642217,0.3496643880069436,0.41728300303077115,0.4058148759181459,0.3933946671331432,0.38942756493953234,0.3804117260912135,0.3702841681635552
metallic,0.30696143539405046,0.44169188389042613,0.4408285201933733,0.4364855471864356,0.4316892352647401,0.3568326757082859,0.3400878963677364,0.3354142269231196
fabric,-0.18065125840824847,-0.13746149648115608,-0.11169765782657166,-0.12504431354532336,-0.11304896147409609,-0.17139468091043358,-0.16180782811130812,-0.16557849093399282
white colour,0.5458002617874063,0.6804182833395428,0.6929421180216264,0.690779946278111,0.6886540497362664,0.6679350413157936,0.6712474768544321,0.6778456770167262
grainy,-0.09594610177468851,0.1169349078464688,0.14953809309938393,0.15316310977846342,0.14959794962203934,0.15305707192575774,0.1391446834888936,0.13301753963412272
crystalline,-0.12897678568689383,-0.02488157791974326,0.04503592574978897,0.017768867392422328,-1.4222890765624995e-05,-0.004499479008631435,-0.012533857802179438,-0.006682713037260257
"straw, fibrous",0.005626608483457207,0.1149870598243905,0.14228851013977234,0.1431320384011125,0.14726371178936698,0.10085611100304934,0.1068576651250998,0.09314806579930056
cloudy,-0.06495653288731479,-0.019037598006553212,0.012487321756173331,0.019947675854030233,0.01728026067953654,-0.048366886155796415,-0.044190475761432965,-0.04582914898314101
small,-0.10490196542101168,0.21285229563025995,0.2518011314211163,0.24417088418553004,0.2382962709762116,0.24436197242233906,0.2545265679776215,0.2585749154794579
"beige colour, tan colour",0.542733802239115,0.5720674024921143,0.5401558024633498,0.5215853555034369,0.5209628116747327,0.4202056419165542,0.41743793499651477,0.4050276357366826
viscous,-0.07203695184335313,-0.04689456767379274,-0.05169872789695745,-0.05210173426292499,-0.04189954130336426,-0.0940360409538393,-0.10513614459420983,-0.09384117717224069
black colour,0.42975152498952324,0.4637462387665227,0.4490432101136904,0.4635619670537564,0.4575604139584444,0.4070217789664149,0.403477134446122,0.3710816222385565
brick,-0.08770570761530858,-0.07264806430116055,-0.031203529227626904,-0.032472506720801875,-0.046187244918790206,-0.14315290538176723,-0.1318315282460803,-0.12910009176230774
swirly,-0.13460942846650387,-0.11838192391420313,-0.07005619557238557,-0.06204529040375205,-0.0743123995544175,-0.11382949216874896,-0.1150417857388963,-0.10976144577709804
maroon colour,0.43297544471705274,0.3442649345232168,0.2430282701978753,0.20468939705983985,0.23975033380272004,0.1788109361937122,0.1626470809080262,0.1334291166426577
"lines, long, tubular, vertical",-0.06259967928925411,0.019972838189952092,0.017006562679957215,-0.008190384298518715,-0.025067012893459296,0.0010776224513921351,-0.013133209686914093,-0.018336422536958184
mesh,-0.05924189548236124,0.0799419185995625,0.09028939569797655,0.09031288031424166,0.08807638037469748,0.026601213915577026,0.011763098984578146,-0.003192511875404325
yellow colour,0.5090965059348362,0.6044142126189792,0.5877781931631668,0.5737487150645098,0.5650736522932317,0.4263573599075162,0.4218000242092573,0.43380655462056783
multi-coloured,0.11289073748223259,0.3465789185558332,0.29799136806401216,0.29979847880021454,0.2945986838787942,0.06752909338804937,0.0564974677118511,0.029853135582184186
thin,-0.03431146706989332,-0.030182554052269737,-0.02020629173049602,-0.03455828603677311,-0.02937271782043671,-0.1789776616382566,-0.18490919691900864,-0.18965222085528904
bulbous,-0.08896974937436286,-0.14952436284261467,-0.1209134323723591,-0.1319460358159809,-0.15174157165656263,-0.2400225418985537,-0.2545599736110328,-0.23436619317221527
green colour,0.5014227174158312,0.5047770538333529,0.4582688874014747,0.4399005870914242,0.4444950458214228,0.12933412729331936,0.1077231081018312,0.1264394227822127
blue colour,0.5136289169154985,0.5242012925482035,0.49489839883479,0.4976093900397861,0.5015330996938665,0.40681186218104787,0.3851993523469051,0.3727114619008288
shell,-0.029042004008197387,-0.043302863355192664,-0.06264857260624941,-0.06362342715409885,-0.07372732348432916,-0.2072795009394653,-0.2213078269399384,-0.20662223635897506
"gemstone, smooth",-0.13049259518670875,-0.1979573999541187,-0.22725490430474418,-0.22604601978907848,-0.22702519820213815,-0.4043228945337075,-0.4217463116463784,-0.44912868261668226
sheet,-0.12243102943783117,-0.0913632960646682,-0.08954047885468804,-0.11998755872503,-0.11609153103890998,-0.23022970637844797,-0.22742096097124787,-0.28870795499143526
hair,-0.04344258816616753,0.004934967195176676,-0.02397469993106279,-0.04843018967614006,-0.04841902025143885,-0.14810139061692526,-0.1462005413712933,-0.10591151506243283
spongy,-0.1959946740876274,-0.2261324868077525,-0.20049803648398665,-0.22215206165172502,-0.2385707313185824,-0.3426340458705416,-0.32894067641693925,-0.3186214526394751
golden,0.06424570677429926,0.11364298099992332,0.09169017121726579,0.08094218523302918,0.0679075690504247,-0.0414635741088795,-0.05907447771357262,-0.0951665521186298
red colour,0.1321653617413198,0.16406424531209207,0.23718333281561899,0.22488203850907387,0.24789184588869503,0.01803262644589393,0.045828220063975945,0.04064639957551578
"round, smooth",-0.23528469927355666,-0.26391570458934155,-0.234461582970848,-0.24647547453945115,-0.24747838946108452,-0.37205315285493856,-0.39366621128067336,-0.4051123197341272
cream colour,0.13098246589303075,0.14200633678268865,0.04532508851449625,0.05185781744638253,0.031130570448586792,-0.14517005032347127,-0.13802883854843656,-0.17877778978355066
bumpy,-0.13503555585719615,-0.1445943435724026,-0.14676695379533888,-0.15166539656281805,-0.15678464124649932,-0.3129864415639944,-0.3176580292243248,-0.334613921452258
hot,-0.4771610804092134,-0.49759246664324436,-0.42259844161602766,-0.4270306289115802,-0.4343052233009052,-0.5605779336372909,-0.5689471046520767,-0.5679480219944748
turquoise colour,-0.48645759601909233,-0.2571773739304766,-0.3292712982884772,-0.3738853199190868,-0.3867508006423169,-0.694161723205742,-0.7027805816828456,-0.7475950370565825
