dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,0.010624214198132642,0.19527525035689663,0.2646226500765805,0.21444419201459142,0.16275421472084095,0.18574331114983567,0.1835050493283359,0.0862609257853828
wood,0.05718182826843732,0.38782017678700653,0.44177760590667225,0.4145140388754214,0.32891766254649635,0.391549538482869,0.37430937212129023,0.27377931148271095
metallic,0.15174405998796026,0.4738270037142953,0.477739529492091,0.4536618449420562,0.38090042929328594,0.4192577600949816,0.3789509847004373,0.16494641646490593
fabric,-0.0349267802939528,0.038825622455880726,0.0541451605781712,0.05990778684348819,0.05289677649588631,0.05355295835705165,0.0628905904505398,0.01867384414584239
white colour,0.5408057569852585,0.6772348538555033,0.670354352460719,0.6717279487337775,0.6527836236029882,0.6522526120587322,0.6527933641751608,0.4034651884605098
grainy,-0.006412274320450662,0.1863203937107687,0.2101012709178396,0.20027764717268437,0.135620179185017,0.1466180543000043,0.14826966897682903,0.030335331205483373
crystalline,-0.013037488194289626,0.03195055020512849,0.09697354066161612,0.08392344205622237,0.03771217997465037,0.06405377122243605,0.06711884728370499,0.009692597617672938
"straw, fibrous",0.058929815592993706,0.2219861863596012,0.20687963394534348,0.25292235115297945,0.21532873206520098,0.24904455749147325,0.22153987804386954,0.042590524117243955
cloudy,0.003639817761776576,0.04969718623526387,0.05443548052107905,0.06579776255755798,0.030996820397679925,0.019821203538853527,0.026073767383429036,-0.002047978633878955
small,-0.008894271503441464,0.2840693049612546,0.3513879923025458,0.31877116269909533,0.2605364125947892,0.2340817033870144,0.24367421660354793,0.19180147404425774
"beige colour, tan colour",0.3291973282845134,0.5506848700222768,0.5705904604891725,0.5202491757876399,0.4359117442345458,0.46683400431486066,0.4191153398791283,0.18443498713999318
viscous,-0.017226260623144585,0.027604436084986417,0.04252121090413108,0.05142530668805556,0.022595411370485707,0.03273407757746194,0.03850736041744551,-0.009985270017210945
black colour,0.3033266246048977,0.5688395509523709,0.5633329395196758,0.5515075714135583,0.4733957928223028,0.4920487470512337,0.4603351340305776,0.2137789857422021
brick,-0.02736969051971494,-0.007775100530124757,0.022479626613372328,0.017294475825529343,-0.00506573858274062,-0.027246580151753186,-0.022138462867674846,-0.004176708218002645
swirly,0.001399149568785396,-0.01040302608540511,-0.0023133768324301585,0.00029335844149747103,0.005532617639519177,-0.0030725273840666034,-0.0018354662614090689,-2.2296787209885593e-06
maroon colour,0.3612379490386539,0.5116137875126925,0.5453842375867766,0.5091935237836489,0.4542487721832924,0.42845896817880624,0.4233328215079232,0.13629629506745822
"lines, long, tubular, vertical",0.007382587685169417,0.15200369400313762,0.24176699488840991,0.15302705887383417,0.08515188852465572,0.05477322844138521,0.053125867538583615,0.03648580026235371
mesh,-0.002603601338008188,0.15642588514834965,0.2148723277005501,0.20366384707547258,0.1410293570748825,0.1484331051337875,0.13263646765827264,0.012459206976243364
yellow colour,0.4824232935627122,0.6717084150301547,0.669915320261891,0.6577973669263575,0.5759986761720981,0.5938898581144798,0.5535350241597121,0.20476372543851884
multi-coloured,-0.016208366203752878,0.2967247907779704,0.3393249451775575,0.32298017461645734,0.20693107881258188,0.17346242952165436,0.17748620436438256,0.051903231069767575
thin,-0.013463264399041552,-0.03117366160991253,-0.015218315526761339,-0.019474256351698305,-0.015352589541815176,-0.019944168727040967,-0.019214284603933818,-0.015252796098899957
bulbous,-0.014634792890844128,-0.05147347525424051,-0.019726794535786407,-0.0065912275018238375,-0.008818860513937654,-0.04130471741574748,-0.018404130949492892,-0.004598340078155294
green colour,0.3008336943036818,0.5534616039084914,0.5745155808207045,0.5723782497670805,0.4890653760133181,0.4798282805236518,0.4296030096200183,0.07129944215044826
blue colour,0.1922195392618058,0.4697142313556151,0.5010181323409353,0.4772348501489251,0.3993830773001854,0.429178451191472,0.37428881558025295,0.09869780887554047
shell,-0.003267592724292001,0.10923591313249492,0.1307477999226535,0.1256864171391131,0.0704847546120213,0.05370790361197042,0.06570252993699521,0.025096375894653966
"gemstone, smooth",0.0014111665298286447,-0.015423461402203298,0.01445623383750172,0.024929552145943168,0.004798244068066171,0.02502809542186768,0.0304319851268674,-0.0033796344411174406
sheet,-0.01692336615668877,0.034768467768419575,0.042761286615709326,0.05352439580119139,0.05871859259347356,0.07299600948726226,0.0789381918563099,0.03144924834526752
hair,-0.010703899569596498,0.0803735676555759,0.07755095053107319,0.07735303759079726,0.07098739726300973,0.06064053093651167,0.062281787478522865,0.048468077527200726
spongy,0.005961679211121784,0.009918849452614564,-0.03895215029211685,0.0012796201577774946,0.008563092041126263,0.006403592303556693,0.00884176646176138,0.006025206449231657
golden,0.023986352047612014,0.14649167984648492,0.16209726678082725,0.1380706802362487,0.11544096197214238,0.10798259664497734,0.11118679042654134,0.034490159255940456
red colour,0.23313830038923555,0.535612736330013,0.5473143287121197,0.5091000126861058,0.3497006177913651,0.38920317729383513,0.29118934796984963,0.054142015235826624
"round, smooth",-0.009523750301049683,-0.004708922079416089,0.0001926341193694281,0.000926076483260263,-0.0004503229296619615,-0.003898088297442648,-0.0035507341327511988,-0.002962695104523405
cream colour,0.08111035568140523,0.332200859992444,0.3158100292545213,0.28954792243436933,0.2099514310154521,0.22866570655035712,0.19948757244984794,0.07822434909816312
bumpy,-0.006118214325171012,-0.004531331624052282,-0.004736671594732567,-0.015079746820867435,-0.004607624542006805,-0.008724354864741324,-0.008405472263147029,-0.006100254957940754
hot,0.04643363236660192,0.08888704275091741,0.10607024579359592,0.1304780615668456,0.11806729428865881,0.0940529642470449,0.09674408116435884,0.04144918838305356
turquoise colour,0.07468131613261009,0.2556766912100018,0.30662230336505203,0.30298202489712767,0.1809379087271008,0.1747853532309841,0.149337640463307,0.024604092929760957
