dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,-1.3779807024493413,-1.371007404239716,-1.373166480794949,-1.3784146470939316,-1.3745991168706375,-2.272770734788859,-1.919381725305405,-1.6653599650211386
food-related / eating-related / kitchen-related,-0.3977252934772597,-0.3736521240567434,-0.39095784068153505,-0.36522555418719316,-0.36010788053076803,-0.6882331724553443,-0.8088281909221624,-0.6890680734138448
animal-related / organic,-0.3770232271958702,-0.3695201910308856,-0.3219736935950672,-0.3269385421650346,-0.3499618527619843,-0.6939067453599377,-0.634753225195493,-0.4641051515199597
clothing-related / fabric / covering,-0.41573478067406766,-0.4043779195733441,-0.41493489909091097,-0.4195862057243789,-0.41397359153210145,-0.7641424529561076,-0.6929584968574432,-0.5389824975898561
furniture-related / household-related / artifact,-0.5406434355599707,-0.5380753087666359,-0.5055291674672142,-0.5412195599245702,-0.5266255372457498,-0.8410846087329613,-0.771948710022853,-0.6208678990570566
plant-related / green,-0.37641605741678363,-0.32331582937498515,-0.13900797021364864,-0.1294878934667092,-0.13249507546420536,-0.6646745152951381,-0.4749565387723558,-0.47217470591878064
outdoors-related,-0.5140333711473708,-0.46597244270218785,-0.44557293772766293,-0.45538658274810784,-0.4792972873704957,-0.8754678173866157,-0.7351466875974189,-0.6365284899702857
transportation / motorized / dynamic,-0.3159541508192334,-0.2683834342451188,-0.31287039797212235,-0.2926219958152194,-0.2479780637242861,-0.6628268066220582,-0.5417167009680448,-0.3290454387896189
wood-related / brownish,-0.41166926981656116,-0.41440887820186445,-0.39634583539268986,-0.4003067097864461,-0.4079109311731397,-0.7744518325084766,-0.7374464838684596,-0.6440993275995763
body part-related,-0.31030436874850964,-0.3088886166705864,-0.3031223639674039,-0.30792705031630074,-0.2992489940575178,-0.6267486435377874,-0.536746029593842,-0.4301571855427706
colorful,-0.44498920622744875,-0.3623420625216476,-0.4423925200281418,-0.35404114147730015,-0.3619644913306932,-0.7244980713280769,-0.6604933079410198,-0.49193377529357374
valuable / special occasion-related,-0.45471983806814986,-0.43394073869414873,-0.44403841283243906,-0.42605833109547886,-0.41742862523132596,-0.8639418233309708,-0.7471882958708502,-0.6157664940321168
electronic / technology,-0.3415309596232101,-0.3344594613350069,-0.34204106297893033,-0.3399551751216494,-0.3265257017388721,-0.7427794287978007,-0.6142602570171001,-0.47413128083722156
sport-related / recreational activity-related,-0.4019209932470298,-0.397489455475986,-0.4031401636243743,-0.4005104886442248,-0.3907640570740776,-0.8644277808628822,-0.7464402817530467,-0.5476712825500074
disc-shaped / round,-0.3848038156675331,-0.3848178356227552,-0.3849576718505925,-0.38726766159384596,-0.38711337035420934,-0.7669834280518173,-0.6682070473302935,-0.5712989991557802
tool-related,-0.33691975224726334,-0.33879259311167265,-0.33023459668335486,-0.34163514823237273,-0.3418089595410587,-0.6734504699671322,-0.5812055906605851,-0.4767429733708244
many small things / course pattern,-0.38463400000003434,-0.2866087605668568,-0.3993717321389496,-0.2847023873919152,-0.300182240568851,-0.6768120289844148,-0.5928228382387621,-0.4735119094737583
paper-related / thin / flat / text-related,-0.34547429743803515,-0.3408135348621033,-0.3458232524096838,-0.3501645283127366,-0.35515135899116457,-0.7370343889683011,-0.6170925192247085,-0.47421401789493545
fluid-related / drink-related,-0.30747386583702063,-0.3064657407929343,-0.3077382710646941,-0.3034920482871355,-0.2921998921179154,-0.687532087389432,-0.6132873788013329,-0.4580040927111573
long / thin,-0.3540613749100321,-0.3569976777905899,-0.3500762316803401,-0.351596925466342,-0.34860347682400805,-0.6775372910934818,-0.606028031073278,-0.4819553012469602
water-related / blue,-0.2656890686407154,-0.24490393533634913,-0.24513155487923965,-0.2514368754148979,-0.25884431491991444,-0.6326654869020416,-0.4405440663632121,-0.3436362282752943
powdery / fine-scale pattern,-0.30876841488042905,-0.302734244294953,-0.25351802763660136,-0.25962971351810005,-0.29344279004152996,-0.5302289242117169,-0.5193922731639931,-0.41119659743278314
