dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.0357838319680468,0.07964072424516111,0.08812984004944724,0.08941469092561183,0.09611782704333116,0.13777761750555728,0.13578169188058076,0.06684511968573292
food-related / eating-related / kitchen-related,0.11951962702808872,0.1434184493540578,0.16530008659530637,0.16367299742107078,0.1689581085308034,0.23056496200954069,0.2215116498685894,0.13022581465987582
animal-related / organic,0.005195025212574866,0.053432205002894806,0.05679991610418089,0.061251563333607595,0.06844339681743783,0.0995998587875292,0.09062145960972023,0.03196377719585075
clothing-related / fabric / covering,0.010923274323551113,0.03277095119407247,0.044272329875278515,0.0474613341990775,0.06344117209488276,0.07601012711059374,0.08416851936018144,0.03526191461915895
furniture-related / household-related / artifact,0.013798638073581726,0.05255570452192326,0.06610355854346417,0.0638381651099309,0.08812757075923894,0.16056706440376634,0.1523160726259598,0.08325324481765495
plant-related / green,0.01742316986503123,0.27359608709264205,0.31526793385207985,0.3221452395371487,0.32787897763989904,0.35482429182396447,0.33096308218538784,0.11131699717030175
outdoors-related,0.03763270876226732,0.09105611995868457,0.10635737370693088,0.11100538279606809,0.11538022215156263,0.11254950700818256,0.11605985077954117,0.0451266221899016
transportation / motorized / dynamic,0.05225860429097784,0.09381377974228078,0.1011882074879702,0.10191373451408858,0.11309038735105104,0.13465896716668857,0.1333475853947309,0.09511953909567816
wood-related / brownish,0.041481060391840185,0.04674389162110315,0.061832539392630226,0.05816646652873814,0.06320110345841712,0.07130652692620953,0.0694094683153379,0.04194041926038883
body part-related,-0.001048842660194671,0.024315928693664057,0.04050279586553829,0.0412535977169769,0.05224628538862908,0.05968561158384589,0.05319896347080666,0.018883618022159654
colorful,0.0003011509938560808,0.08555026212706673,0.134394683712741,0.12302385793689585,0.1365617388386534,0.19920001241647123,0.17458263145196784,0.09892351329243732
valuable / special occasion-related,0.0020245232920527156,0.0305083291219006,0.04341622568651704,0.043208988804295134,0.045257970574272055,0.06417244312723647,0.05509435759046888,0.030403233244638783
electronic / technology,0.014409997220600101,0.030451173559524758,0.03587884975236455,0.03694723640450093,0.04435235833789153,0.04292796762542128,0.041458931939273413,0.029959605015344004
sport-related / recreational activity-related,0.005451682934801028,0.007910462794626594,0.022273316788679942,0.023008833662991113,0.022676711870743382,0.03261250948771477,0.026178081971483746,0.02217146986006291
disc-shaped / round,-0.0019779272443509743,-0.0019777699177667696,0.0001679805512400101,0.00011525005207846384,0.0023209981301377525,0.014022737036560096,0.016223221559175882,0.0024100594743785564
tool-related,0.004479982521914505,0.016544538887580784,0.014021697371497388,0.01282597537056096,0.01461078027642948,0.07419588680892553,0.07693285424730811,0.02875081700219484
