dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.03884872757943766,0.08391626451803853,0.13865927357268215,0.14029955886070894,0.13806060389380176,-2.2107155993806717,-1.308976891914201,-0.39964152389214325
food-related / eating-related / kitchen-related,0.1114012282977616,0.182977814145437,0.22577648421848542,0.2228990696836463,0.21721983483165036,-2.1826887413918774,-1.1073372584602084,-0.17626857627940842
animal-related / organic,0.03195532668655161,0.05878845772018578,0.09701292085966165,0.10289848922778197,0.07693662825058599,-2.478170806007076,-1.5307132762579578,-0.36095504980576054
clothing-related / fabric / covering,0.013893796834439809,0.05137317788752541,0.07413690418327748,0.08124713538042591,0.06708029111159246,-2.7735110224346964,-1.619551343286308,-0.5469992188088745
furniture-related / household-related / artifact,0.008539007475634842,0.06154020410427944,0.12887910841207767,0.12100228077961939,0.10405608846095245,-2.485252253266056,-1.5703754562364831,-0.3172715445442836
plant-related / green,0.2018629408732755,0.32050649585981444,0.36050807852277117,0.35353772595851357,0.35663748187337535,-1.4322155198893811,-0.8111299594587663,-0.08733005973187415
outdoors-related,0.03575740097314747,0.1078315214029785,0.12592531115186748,0.12601188466308727,0.11842843534903627,-2.666994421198423,-1.5648145983842467,-0.3387569439629705
transportation / motorized / dynamic,0.03188664973839086,0.10429440122508753,0.12967718292240854,0.12671213218296154,0.11016710654249398,-2.2076461305531856,-1.4167668096331705,-0.38559279340167496
wood-related / brownish,0.026550494702526694,0.045457748595889726,0.10002441948413368,0.09587930966369515,0.08534579798342283,-2.946348852066241,-1.8304250195628378,-0.5192683790795627
body part-related,-0.009552673883228058,0.05670985082301546,0.05945788027092275,0.05611798981911137,0.0456037815580953,-2.715687601490868,-1.6443327229437652,-0.516970003940407
colorful,0.006455074909600023,0.12884068959034325,0.25935631987673696,0.24040572163939228,0.2299544054335357,-1.350058809680932,-0.9645830966023027,-0.15825470499633934
valuable / special occasion-related,0.001943532033442874,0.06140790873119454,0.06335352604727498,0.04976000415978267,0.04783263459009266,-2.961816819122074,-1.9104376390050255,-0.5946199816444847
electronic / technology,0.013305277928355053,0.03150194340783964,0.06500354471449306,0.06449386179288448,0.03955695706766913,-3.2431118029646697,-1.6756944434866816,-0.5997272554464735
sport-related / recreational activity-related,-0.038215091526368185,-0.018337019778194963,-0.007554156444283167,-0.023162216669448753,-0.020008633132701504,-2.9942675970892862,-2.116555999062485,-0.740586979355046
disc-shaped / round,-0.006870354436963266,-0.010502197385338608,-0.006345946419267256,-0.011498219054450354,-0.02542578878310453,-2.6800718076694148,-1.8321474910883524,-0.6100140927145007
tool-related,0.0007374768154355116,0.01818773421338543,0.02498181160109586,0.019601598873076043,0.037572981014769705,-2.477546961925124,-1.5637729478472617,-0.4450227015954532
many small things / course pattern,0.013274062421962085,0.12055798029681238,0.12987148994275868,0.13583940521804,0.12712417666517717,-2.3168662408893175,-1.3419486928005848,-0.39882526382955846
paper-related / thin / flat / text-related,-0.009718736619511592,-0.0063452038144567015,0.010611994287181459,0.0036901865356362418,-0.015157547659284875,-3.1119819388677987,-1.8290978727796579,-0.6140986481247876
fluid-related / drink-related,-0.009086421617932817,0.01837879570124471,0.03913102371070386,0.0472394107919439,0.03240989780239183,-2.8175008608613497,-1.94965640272475,-0.6202057197149742
long / thin,-0.0026515544324215547,0.0011446710411870842,0.006950969577072685,0.016597769290352747,0.012638528793227766,-2.722808904147694,-1.691910177644898,-0.49809470513258935
water-related / blue,0.023785586003734326,0.04601525775872924,0.02617207491813811,0.028512064546904237,0.026739893252374657,-2.6486540398678926,-1.4230927291426907,-0.5233891685543521
powdery / fine-scale pattern,-0.006908565042988235,0.02778938303971592,0.06584085509049659,0.07077040591567742,0.06274528767587925,-2.9734080225504007,-1.7456528662338275,-0.521381011761335
red,0.21844416303005465,0.39481381133428384,0.4653690465360862,0.4591358314527052,0.4541399824176807,-0.9110692593394256,-0.5818834752974752,0.13662270674860827
feminine (stereotypically) / decorative,0.017380382687769237,0.027033557812449326,0.02783749180324354,0.018795630576504442,0.03263885880791424,-2.914406455216222,-2.050091616227257,-0.6590843319754851
bathroom-related / sanitary,0.0267417037489034,0.07777933750778726,0.07577803068443807,0.07306410548669182,0.07740599067037734,-2.8398703301663586,-1.938157843478691,-0.5034132493594354
black / noble,0.0038124061185507373,0.09900356427453744,0.13031473646340713,0.12987203830026467,0.12827860630704996,-2.5080350321329603,-1.7647665574073514,-0.4426263115400846
weapon / danger-related / violence,-0.010910210227668716,-0.008013106236999667,-0.007890306716036155,-0.011179753551529148,-0.015125762047246416,-3.318175170422246,-2.27741332325012,-0.8232194693357808
musical instrument-related / noise-related,-0.005685120358234552,-0.009327293457035323,-0.013261429206502385,-0.017984745072352037,-0.02585717813481807,-3.4795998581505017,-2.3227369364859287,-0.7706536164067463
sky-related / flying-related / floating-related,0.05761237391376436,0.09465373682606161,0.10563109364429199,0.09835999393349341,0.09558856734807275,-2.9138941405950147,-1.6276361274746876,-0.4966825073394485
spherical / ellipsoid / rounded / voluminous,-0.010708039958886018,0.003657418057238582,0.020513714115097236,0.007142105238615559,-0.0008658392053890629,-4.042799424997898,-2.2831336802944557,-0.7768915613028644
repetitive,-0.007616702561291789,0.0489522346583585,0.09354872933039046,0.07898387080595212,0.06586560589831558,-3.003674991482721,-1.7918815406600075,-0.4863033993185207
flat / patterned,0.005405203877342113,0.0399990668838033,0.05320967418479509,0.06905959594747825,0.04087594708023484,-2.8379782836132175,-1.5324875031256606,-0.4556694538645849
white,0.052574573417544804,0.08029580966607885,0.11897095092411962,0.12529607036849472,0.11908498031218713,-2.4419731418479,-1.3362094371388833,-0.39636869932412033
thin / flat,0.026821559430547804,0.04123411421148271,0.07002249569557573,0.06474629874383844,0.05667252183274472,-2.7621923952445093,-1.7073175759838501,-0.4394325893867042
disgusting / bugs,-0.012992348427357914,-0.01572442295556331,-0.028404287340061795,-0.0432337005690409,-0.05654825418705696,-3.7625716062508423,-2.447491666750998,-0.8211647005517673
string-related,-0.011616332018658571,-0.016758788296040328,-0.03504618293889171,-0.04238330853063782,-0.05157301177009392,-3.1327651723580807,-2.4007464602334907,-0.823662024092903
arms/legs/skin-related,-0.026683558813873253,0.004270037359449785,-0.0030373436476368253,-0.00265170061152008,-0.009567836642153304,-4.431665915988292,-2.717087256615398,-0.8828552815976651
shiny / transparent,-0.006682156295142194,-0.0013686947949302474,2.4802677307533827e-06,-0.00601869720361522,-0.017035647335863414,-3.935533870427618,-2.813408670724116,-0.8481680135801601
construction-related / physical work-related,-0.006522704257921208,-0.00430261878199435,-0.0023348825069966273,-0.01265230135466382,-0.023856395731734127,-3.3668726428128535,-1.8839343250504883,-0.5947431483560738
fire-related / heat-related,-0.013758208893563818,-0.01974411152578831,-0.03372532630541858,-0.04971241421685306,-0.03679812946048207,-4.055407460410564,-2.8008028603521735,-1.0502063916497764
head-related / face-related,-0.00897424879719887,0.009240263349660948,-0.001617148106954469,-0.00949382256048834,-0.013328033277046658,-3.8689879083691068,-2.3323786857393,-0.7154922798889446
beams-related,0.0020857791693684293,0.020155169732497723,0.022720338493973136,0.0076330042184045484,0.010921916421984234,-3.34778358006781,-2.3373233309626285,-0.5832090494157055
seating-related / put things on top,-0.028067049320273117,-0.018950703057652684,-0.017344621162555994,-0.03424979733228715,-0.04842836216043496,-4.417759527650777,-2.787400431402421,-0.8963393304331555
container-related / hollow,-0.014863500034757771,-0.016267662521799266,-0.02779922220465736,-0.03362670881711297,-0.04524882241982618,-3.4263657219235704,-2.317631994889499,-0.7498551289438278
child-related / toy-related,-0.018539236736741405,-0.024825117292310774,-0.026982405737649227,-0.03679063501027004,-0.041641299864262696,-4.385320281766168,-2.914353433302199,-0.8577922923757626
medicine-related,-0.012924282345851324,-0.011810707406949627,-0.035141356084199674,-0.03501324151058018,-0.03695068449158902,-4.738600580118186,-3.0035796253931575,-1.0163994490900472
has grating,-0.014896491114327847,0.02207316348271259,-0.0047035571587561555,-0.014746543696977244,-0.017351611201623596,-3.8579171436431507,-2.3901602138383646,-0.8837381149719562
handicraft-related,0.00024668741024760357,-0.008544433824144748,-0.01876297741658083,-0.02589452599198263,-0.03398766371196824,-3.170086141191941,-2.0454555626941966,-0.6682982693494914
cylindrical / conical,-0.00759254087009521,-0.0081093385193988,-0.018208783876695556,-0.029970665691604538,-0.037834541969959404,-3.9245113976938497,-2.5612526879156543,-0.8436846025804717
