dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.006364736943615323,0.054384564804454374,0.09976066670411113,0.09787265457702479,0.08857648298883739,0.13342128047712554,0.12958265465766167,0.10698317302202302
food-related / eating-related / kitchen-related,0.001389086631023362,0.11771246737369903,0.1544031524158042,0.151697140099392,0.15285256855941864,0.23649658965301504,0.23498036292731367,0.21111032477892583
animal-related / organic,-0.05457382815865717,-0.009041277961093597,0.028983380626422472,0.02795128874462055,0.02384507827971589,0.07706479236479352,0.07260867807142239,0.05956711913810483
clothing-related / fabric / covering,-0.06900048515324886,-0.02336181581166652,-0.017632035377193787,-0.014355437974460438,-0.009420379048820348,0.04580310569266074,0.04018839217417157,0.028305243959751723
furniture-related / household-related / artifact,-0.07425990711421045,0.0413726906859261,0.12067861967590084,0.11482070494744827,0.1168013482977118,0.14010223705530667,0.13238392485908732,0.12936370543723075
plant-related / green,0.30258034808051265,0.3466903395443194,0.3733957440437384,0.36944949561991447,0.36572797156794457,0.3202922266779647,0.311674377888175,0.3051604692496689
outdoors-related,-0.01995210894301097,0.085717741889646,0.09470675921486929,0.10031095576267371,0.09185879134794642,0.07116006489928109,0.07130342474202563,0.06543718364242365
transportation / motorized / dynamic,-0.008306440732796783,0.058472607700873716,0.10099981490906593,0.10453439042735543,0.09519747597130969,0.11231894653378252,0.11027508799541039,0.11316637077121809
wood-related / brownish,0.0026012889625199875,0.0448916809314623,0.09025480611637662,0.07863699537046094,0.06429156187477597,0.03467297482857973,0.026662350508600198,0.016214560849637648
body part-related,-0.058840027777863055,0.00209486373604878,0.01891996570684836,0.015296898860394658,0.006710164783393624,0.030096687771231413,0.02450974089636996,0.014035754484802442
colorful,-0.028030917522307696,0.17707799600304758,0.21826719236730044,0.2118674300885314,0.2002218179663564,0.16936993387349042,0.16412585259131401,0.15024077131583466
valuable / special occasion-related,-0.0419308646182099,0.016284022401844445,0.017222238163513502,0.010004793213359486,0.017652246156431517,0.020594364057105873,0.010560938067347281,-0.010535283422136454
electronic / technology,-0.03824804086121136,-0.013902122556243702,0.014947805588999375,0.018936366313584353,0.007422735875887399,0.016420192816120227,0.013793015121080398,0.00734390326252452
sport-related / recreational activity-related,-0.051673252970933184,-0.0328361013092924,-0.03306531364310974,-0.03288080113415591,-0.03469465639661932,-0.04836901217186388,-0.05405128461080936,-0.05760275581552278
disc-shaped / round,-0.05373497678609682,-0.05052474022039781,-0.04555596377381839,-0.04317914950908608,-0.04909074541944145,-0.02392090065736998,-0.031688425020528446,-0.04025874058237224
tool-related,-0.03638601927788794,-0.022679020105466387,-0.011620999563065115,-0.004218954508176298,-0.002080506055118847,0.08231341972436826,0.08048544961973694,0.06818323398688632
many small things / course pattern,-0.03600687796612856,0.10127208831211712,0.10593669346766936,0.11536921105521096,0.09971262651640109,0.11827848969647699,0.12419485852014658,0.11576819670788437
paper-related / thin / flat / text-related,-0.031831382717863586,-0.018868959151682473,-0.007488073309809195,-0.001547210592372461,-0.005834372242060504,-0.011234455279481581,-0.019859077765785927,-0.020984616566397996
fluid-related / drink-related,-0.03003471591609641,-0.011461661724357608,0.0038501029986364845,0.004526140460552797,-0.0005434794361811268,0.001523390590163487,-0.004882932704064369,-0.016635508451531465
long / thin,-0.02407787969762838,-0.014449148670820079,-0.00028825472573748014,0.0016369256154651125,0.004064197774639733,0.01641496618171655,0.005339403955258626,-0.010234323907095078
water-related / blue,-0.012064216758450218,0.024644171630022728,0.025443365653811834,0.027773520533445915,0.02299146542389654,0.0268938412571073,0.030020705699545812,0.02995986069270823
powdery / fine-scale pattern,-0.01785719969735322,0.009337626557722512,0.04731443674950127,0.057725039169615334,0.04917827819957756,0.03385787027144867,0.023730657269362177,0.017328193773444377
red,0.32515792181386394,0.43357844109062926,0.44258354148899126,0.4384595422810039,0.4525461512221874,0.37875637352177305,0.3727450349846579,0.3565516322998047
feminine (stereotypically) / decorative,0.003302597446790123,0.008779979759451884,0.017115297100334503,0.014198301221677579,0.00047709908607356243,-0.04935023217934981,-0.05712642855285284,-0.07339164768713892
bathroom-related / sanitary,0.0217617908982772,0.04909946173114643,0.05911333261231805,0.04858300421129954,0.052549812782145856,0.006078609504472643,-0.004457540242230729,-0.004430404498743834
black / noble,0.0006482140779062728,0.05614163110717609,0.10499132605625654,0.11441219831342482,0.12064389443490782,0.06969359722937532,0.05782376962112225,0.05218272211236556
weapon / danger-related / violence,-0.01235860455957256,-0.01654711692427755,-0.013546327530825375,-0.01126336776610658,-0.012907764426594515,-0.09317513650660851,-0.10077920492899613,-0.10361826767552515
musical instrument-related / noise-related,-0.011593351394256468,-0.011563900657201276,-0.006210859468746099,-0.008037301506289807,-0.010698365085949924,-0.05669562459607984,-0.05578381110835351,-0.058737159244878635
sky-related / flying-related / floating-related,0.10405021576490547,0.084568108991626,0.06136197717674826,0.05918238423873656,0.05501982784107597,0.02212451734701413,0.016543554827123174,-0.0024699982986964852
spherical / ellipsoid / rounded / voluminous,-0.007945846844772708,-0.009010423429614011,0.013045432017599733,0.011592415085376728,0.006699885607257483,-0.05814911348432501,-0.05289905088072892,-0.0589706474073378
repetitive,-0.0034528395260500335,0.04871864526320284,0.07667323286576926,0.06879555960611031,0.06161122288950107,-0.019151433066275935,-0.032507724111302747,-0.030029046208516708
flat / patterned,-0.004020025747443956,0.03555951776668339,0.05217667153636778,0.05076649916936724,0.04571798087722858,-0.007885131538656142,-0.00444151733482705,0.000603254000470399
white,0.012278184001201665,0.05864254151273268,0.08226441934835083,0.09239990125767174,0.10597235987105968,0.11021347722736796,0.0945705408525314,0.08829727363576004
thin / flat,-0.008572323349025811,-0.006756854426593439,0.0063299247086348485,0.016258578499920084,0.021787557752160003,-0.006644618887067022,-0.010127274008175036,-0.014742542908173884
disgusting / bugs,-0.024079951816310896,-0.01712916164799947,-0.023110108107204663,-0.026646866849228658,-0.016656492113256614,-0.0704980620098386,-0.0687801033198168,-0.06890410246997127
string-related,-0.015266284845435097,-0.013327784495080219,-0.02534833245421836,-0.025278474397559526,-0.037782722676265326,-0.1239492904639714,-0.13172402523105478,-0.1419343654617487
arms/legs/skin-related,-0.039105660618346236,-0.015903188944676204,-0.020713281102372583,-0.027141801871159898,-0.03433661541167109,-0.18525456477830504,-0.17596597075482173,-0.17344396298063222
shiny / transparent,-0.023223025223984162,-0.021624623804470743,-0.03117781367726079,-0.03770313819179042,-0.03776872750491069,-0.16598790672863778,-0.17041746194254534,-0.1750139342657115
construction-related / physical work-related,-0.013436657490664217,-0.023970464912503285,-0.027249190427057913,-0.03284285721744429,-0.034417625670646254,-0.1705203925290507,-0.1588804695712902,-0.17388996680350727
fire-related / heat-related,-0.03524904848822961,-0.038658787154081595,-0.051843095317023136,-0.059605201640618846,-0.05642332349004129,-0.15839532086974586,-0.16068399076178588,-0.15512306241865842
head-related / face-related,-0.028874222278560225,-0.024688898682294326,-0.024816834080634363,-0.031657576760329355,-0.03348743369877625,-0.1098384233313241,-0.11336215308642875,-0.1349473688317219
beams-related,-0.03525397059330926,-0.031064743703479725,-0.03053290941152048,-0.030750530029852074,-0.03278731529984451,-0.12145596501573548,-0.12401194525095824,-0.13146550982935717
seating-related / put things on top,-0.07813763855395542,-0.07939516892983722,-0.0650783651971516,-0.07507032749316818,-0.07776265165108803,-0.2429460118217321,-0.25591547944954113,-0.25620794804114483
container-related / hollow,-0.062042405018968426,-0.06492570760923075,-0.06921248611314354,-0.07541293538282759,-0.07280216255962801,-0.22226144923417812,-0.23193622196508032,-0.23380127968437497
child-related / toy-related,-0.08172982687296818,-0.08688826318169139,-0.09616824653144693,-0.10266373651799846,-0.09664050842691557,-0.24483090832416243,-0.24386493066354048,-0.23654795810829726
