dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.08701717644927076,0.164281010430689,0.1907210253319469,0.16620902415932426,0.1257410074370452,0.1372810119451009,0.13265677662282582,0.06653328799960823
food-related / eating-related / kitchen-related,0.1554980524452364,0.2624684170216631,0.2758209808201064,0.2538927267475407,0.2008262902747473,0.21159130396467318,0.20528603435485637,0.1295351565995051
animal-related / organic,0.04828986046763806,0.13953571766413386,0.1301739826090783,0.11527302777560111,0.08417355613764299,0.09360040783227808,0.08336190414387457,0.03103106717042814
clothing-related / fabric / covering,0.049857770879144,0.11509007171025121,0.11029739904488223,0.11155374766697523,0.08297610691579127,0.07740642025296596,0.0741037605861703,0.03523992769437212
furniture-related / household-related / artifact,0.0511224036714385,0.15420571773032588,0.16468632688656926,0.1507066385567375,0.1087160505915491,0.13322097350449724,0.1399778379997617,0.08260017181444579
plant-related / green,0.2284657145205986,0.4007448221030737,0.40928605877860436,0.3893982028283455,0.35389024346026043,0.3439006648798175,0.3246329714532288,0.11132526844607282
outdoors-related,0.06445276745705042,0.16998167058450897,0.15027037887523886,0.15007680542307056,0.12573985255503806,0.10902156188912104,0.1140259205866786,0.04475058076281346
transportation / motorized / dynamic,0.06368546569633704,0.1512394655951479,0.18574392623840563,0.16700756512806492,0.13036209196614323,0.13086135573958446,0.13308634699122457,0.0945919552578135
wood-related / brownish,0.04239068487334141,0.11451570979504333,0.13667556710614426,0.12130513959990541,0.08505050378622736,0.06576127217455119,0.06413741046873389,0.04218383154750416
body part-related,0.012644560493680235,0.08262823131651276,0.09799286366868365,0.08831688908492796,0.07026642970273045,0.05653063175203299,0.05004513655804865,0.018995577771024008
colorful,0.006881856402129571,0.292211400289924,0.28558821532010625,0.24739801183596577,0.18344616537039815,0.18069628740371413,0.16159780923173783,0.09878373830777798
valuable / special occasion-related,0.006291680326123261,0.09320170230915847,0.09001640494924112,0.07901300233079322,0.06452786595776383,0.06395879947985006,0.06163611916559275,0.03045811113960628
electronic / technology,0.03167732340594431,0.06531844908723694,0.08556407847336212,0.08142548191798304,0.05719523736507037,0.040879411928402276,0.038619424515148104,0.02950394188483496
sport-related / recreational activity-related,-0.0011218931404644028,0.03405387388347425,0.04793982095894689,0.039330699623729815,0.037258772374242466,0.03193245034685255,0.026839609911094908,0.02223457266252249
disc-shaped / round,-0.005489697300262497,0.0038559077153047516,0.003963482632335258,0.0053165318859832444,0.005081675786075879,0.008296132446629856,0.006773571555072522,0.002519111314874034
