dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.009834489541633773,0.08932695302745017,0.11519689368262875,0.10837355329209922,0.1056933998381628,0.0917905598488107,0.0909039358480522,0.07306342438461637
food-related / eating-related / kitchen-related,0.0028017966507393743,0.14836018571306797,0.16552661675728056,0.15961427169305092,0.16570328999083098,0.20022381737500683,0.19240831156391786,0.1732467466351285
animal-related / organic,-0.05402786809463829,0.018283578780907316,0.03924113647080244,0.03602238516247637,0.03288818270054069,0.03308993179123491,0.0227973289138248,0.015372699037598503
clothing-related / fabric / covering,-0.06682736612496448,-0.010555607081777019,-0.011173557182415427,-0.01158355636483166,-0.006903013609831888,0.028121210623966643,0.029419186777997975,0.018539518245866228
furniture-related / household-related / artifact,-0.061990775861311055,0.09783958070691115,0.13073251694010513,0.12743309568471192,0.12552664632175503,0.11732810797953208,0.10723163076503883,0.0920522997090647
plant-related / green,0.3030393032124465,0.3675939827406588,0.3800482081956814,0.3711013998321772,0.3706224069729727,0.3122415287123668,0.30642608124530024,0.2939751491366412
outdoors-related,-0.011919925982275991,0.10704418380676026,0.10290788861056628,0.10525307832998343,0.0916292122257888,0.05143223765449804,0.048741313711422776,0.038713079703699506
transportation / motorized / dynamic,-0.006704958905228109,0.0889099625342944,0.11010520440708019,0.11758793473683812,0.10352646759912205,0.08411040501482142,0.08497208626438843,0.08500356961124532
wood-related / brownish,0.005071437399916412,0.07774724738087055,0.09593457162930709,0.08631972710270917,0.07703401695489612,0.0007030877112171541,0.0042075180717427215,0.008939431581903811
body part-related,-0.057671396708779986,0.014447514296110232,0.02262229189536603,0.018811982303050968,0.012700842711758153,0.00791580800005084,0.010357518154560475,-0.0057248830671061905
colorful,-0.027022704624640726,0.22271839636022447,0.22962752386349883,0.21923021930390582,0.20952369239368118,0.16586549899879693,0.15804816422771636,0.13115251041499132
valuable / special occasion-related,-0.03961822026918158,0.03573745911532704,0.03134101400325369,0.026282710511063744,0.02996257959897066,0.007157783893181224,0.007802621742195548,-0.010962468212435007
electronic / technology,-0.03781555827454852,0.01046088366237441,0.017898272597831978,0.023270838178284604,0.0065755483319792415,-0.008306785236900881,-0.0028777764744323696,-0.013141831120869673
sport-related / recreational activity-related,-0.0509753786548411,-0.024493007074528762,-0.025774634326220503,-0.02567633918709682,-0.03208789566505251,-0.051846529147404743,-0.053357274315469674,-0.05937270198303544
