dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.06697215670467836,0.07147171532718885,0.13023430601831393,0.1330296160580075,0.12967998328581004,0.03946497967573642,0.05899718028626123,0.03697864628524583
food-related / eating-related / kitchen-related,0.15308921211530038,0.14496611875270174,0.20671176354839838,0.20624216191810393,0.19964499549666867,0.12899702959264792,0.14489679755946178,0.10458825346784169
animal-related / organic,0.058420937739855815,0.059907312180510555,0.0710499620473957,0.058337118885531336,0.06517295777789386,-0.0015552632083984052,0.002306306613815001,-0.0033558007149875778
clothing-related / fabric / covering,0.012931739516119834,-0.04041383051874718,-0.06978274461655758,-0.05409042554290788,-0.03025351691865793,-0.04996255118118842,-0.05523834005313723,-0.05247924856330775
furniture-related / household-related / artifact,0.017754732685123363,0.06351137203540055,0.06175707654956706,0.06613181341307699,0.060115836054612425,0.07139216406169355,0.07102028600074,0.05355151567666479
plant-related / green,0.18699632952067696,0.29710662585131775,0.3371072828784526,0.3145875513726394,0.32746432070730397,0.26077870096634426,0.24293416700957388,0.2558877978237914
outdoors-related,0.022222175586731306,0.0928380276363357,0.051468935930279444,0.061822668179295534,0.04676831755839983,0.04713593519099742,0.035781681728143624,0.014784063668958436
transportation / motorized / dynamic,0.014130096975067185,0.03889469015247331,0.08165435376937785,0.081033821698996,0.04951919283517693,-0.017027488543953962,-0.0014543191112932007,-0.0062724787943817415
wood-related / brownish,-0.001318972130589291,-0.01119712942766895,0.04096148240382737,0.019027468660043255,0.047863261130819644,-0.06131645914893212,-0.059757325246393656,-0.09063796885488717
body part-related,-0.025677811491892653,-0.05148039014204164,-0.003099189499268784,-0.016386797081502324,-0.03330329432971456,-0.06328296867261037,-0.07449938263944118,-0.08441793490185501
colorful,-0.03317581527486254,0.20366203013373996,0.24179459825110325,0.22610045049682198,0.1936873804464557,0.09736464570609904,0.09317823134909942,0.06802867640185575
valuable / special occasion-related,-0.005783450166724791,-0.05614074689604922,-0.07943294826805812,-0.058532539353289594,-0.039167201397865836,-0.08935654411642276,-0.08162627852811069,-0.10330045380786271
electronic / technology,0.002297555545962793,-0.059811084076565935,-0.051009669070819254,-0.056399813821641755,-0.08112900787291316,-0.07866942971625479,-0.11034737497196725,-0.07932149174355335
sport-related / recreational activity-related,-0.07259004890707246,-0.18743759668520668,-0.17023240671520876,-0.120450786677046,-0.17629571425582086,-0.1920929551132379,-0.19378459470850562,-0.17912616223868938
disc-shaped / round,-0.024859139408315033,-0.11455249321566319,-0.12922698967324917,-0.13416852112636357,-0.11570393130101346,-0.11430468656201351,-0.12139976768665697,-0.13023737360643198
tool-related,-0.007386787739833112,-0.0854309043080172,-0.03352706277627362,-0.007815444271334415,-0.013137053357896977,-0.004785973817204181,0.0021707631960238725,-0.0237537684650597
many small things / course pattern,-0.00048655452002255295,0.02911411272777791,0.026845385362225395,0.08675492786978133,0.0648688976036483,0.04454812982180282,0.031103092645237605,0.015383748373031437
paper-related / thin / flat / text-related,-0.014068582454720846,-0.1594336561245883,-0.13323169032874604,-0.10529699846308034,-0.13088056952157678,-0.15241144935031817,-0.14890699124044618,-0.1485512065529385
fluid-related / drink-related,-0.029716106450975933,-0.06486972053429804,-0.08624521557294322,-0.08906398792399363,-0.057803944292408295,-0.09005534313447536,-0.08299132042676524,-0.09070680279201346
