dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,-1.3899200076158933,-1.4859906200493658,-1.5314113501046447,-1.5606020836316632,-1.5444191243173186,-1.5701031438322217,-1.5040143912501844,-1.4789487458766009
food-related / eating-related / kitchen-related,-0.37224159600171003,-0.34082759987563516,-0.4109712644220951,-0.39316209390054224,-0.36918872865383956,-0.44529307465637213,-0.5801074398363513,-0.6155063365477964
animal-related / organic,-0.3190231689996992,-0.36503310498127695,-0.3362925097088483,-0.3696986595175613,-0.3809880902237799,-0.41546005488463766,-0.4053731625904109,-0.4115101156731651
clothing-related / fabric / covering,-0.4128096260818963,-0.4452123479797614,-0.4825473146478283,-0.5235380198082902,-0.526398816395089,-0.4652359885728232,-0.4656108336998217,-0.45597512116812355
furniture-related / household-related / artifact,-0.5318969680679431,-0.5689500423912419,-0.6019049037630007,-0.6176638435712005,-0.6223994502622454,-0.5896528995649863,-0.5749646346863728,-0.551154754959023
plant-related / green,-0.1808378038603604,-0.3174314135060752,-0.1954092449044078,-0.1913515748663701,-0.19797816538092383,-0.3550183851995208,-0.2813336290852646,-0.39664528365936147
outdoors-related,-0.4993074450786641,-0.4959646650562217,-0.5299551207687425,-0.5490668902638549,-0.5643099497945545,-0.5416169593739715,-0.5226513945116,-0.5643026801737203
transportation / motorized / dynamic,-0.3261414214176366,-0.28775923398622716,-0.37569274596579394,-0.3077591763726808,-0.29644531512106287,-0.3449288840830096,-0.3435154926280066,-0.27058304363846486
wood-related / brownish,-0.4235976298157458,-0.439390679383062,-0.479446641421857,-0.4671650112290362,-0.4490398190058753,-0.4950984112164103,-0.5297157935039729,-0.5509962223467368
body part-related,-0.30936265748356506,-0.3179425325568812,-0.32473475463079504,-0.380448590120247,-0.37077938985868397,-0.3656452413549871,-0.35750508010231163,-0.3677535184503731
colorful,-0.4660004686302748,-0.3285705806844159,-0.47769648495416606,-0.37672245767135015,-0.45153691112222094,-0.41466989207175664,-0.4573210447361129,-0.43967816576992713
valuable / special occasion-related,-0.45993173928473263,-0.45715709547710826,-0.5414464043284912,-0.5127151118791862,-0.5165892644547492,-0.5452887867021816,-0.5480203629800677,-0.5374160534213102
electronic / technology,-0.34540360166463957,-0.38438554114636414,-0.42717270218732084,-0.38958656110162804,-0.4273575584794467,-0.42125127918582983,-0.40081351751749383,-0.4019568294704894
sport-related / recreational activity-related,-0.4171331070167641,-0.462308043999468,-0.5251438206222443,-0.49968221386837053,-0.5051078777202318,-0.5014497518933836,-0.5058888347406889,-0.4684991844572761
disc-shaped / round,-0.3917448821243934,-0.4234717937939154,-0.47532089772344976,-0.4902387478914967,-0.4735734277621686,-0.4657923546785565,-0.4534803699406351,-0.4751602295240567
tool-related,-0.3440021827840769,-0.39683951756515845,-0.3892977917674032,-0.39101255176899974,-0.39379959162664324,-0.37526869662917384,-0.3902474505649982,-0.405301975628116
many small things / course pattern,-0.3908572962811234,-0.33255885558634635,-0.5546054431147851,-0.35454667458801636,-0.3808879866942201,-0.385221151984529,-0.38570692832604814,-0.40443259870993065
paper-related / thin / flat / text-related,-0.34826901205857363,-0.41037028431553035,-0.42752295451215105,-0.42281720543358214,-0.45187881788567874,-0.4436864749591316,-0.40482776342265403,-0.4161726677496691
fluid-related / drink-related,-0.31085265890693026,-0.32994045205144085,-0.3766680544069867,-0.37572228391849083,-0.3799841399008894,-0.3931048503297565,-0.4030552300993415,-0.3831353145904608
long / thin,-0.3654343605693471,-0.40745160106584444,-0.4409039391768501,-0.4216038918386784,-0.4347666155025032,-0.4312888299095732,-0.42671162748254243,-0.41668473456914734
water-related / blue,-0.27792140315395386,-0.27199563642941715,-0.32337943924712564,-0.3276481900881536,-0.33670434556634987,-0.35419399293131004,-0.26904897334101174,-0.2787804443034809
powdery / fine-scale pattern,-0.3187805753750672,-0.33463685628840345,-0.29639108917763624,-0.29163369730555244,-0.34354681070726434,-0.31578315024853865,-0.32475586272853474,-0.3466860917919756
red,-0.20160537263337663,-0.004961168876830513,-0.21757622476424143,-0.20319152300039067,-0.18906126729607609,-0.09881936828077098,-0.21493811642578864,-0.14656554505210684
feminine (stereotypically) / decorative,-0.31095807783196405,-0.3394902303285372,-0.3845906884868857,-0.3827193706517571,-0.3903891955720149,-0.3827084315835494,-0.387996714200342,-0.3940229524787171
