dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.0420187723476515,0.06906834539598738,0.07929370740473873,0.0824602372033193,0.0840725635303966,0.14627210768093257,0.13887550399736148,0.11864698545995433
food-related,0.12323047782656649,0.1454502638131282,0.16258927576037419,0.15993298781351672,0.1627041977896465,0.19193103355944052,0.19559604531772723,0.17524857397428018
animal-related,0.004818014017904493,0.007426356625023112,0.007408218740487027,0.0096660056054797,0.012925049103649111,0.07109444741233606,0.06313677062800183,0.06253257402355406
textile,0.011982984227846383,0.020058651056205523,0.028155323403004306,0.028445579179208758,0.03128948775630025,0.07230678791223222,0.0632526025418979,0.06484975442426133
plant-related,0.019283719297991775,0.04939619261364658,0.057257039126833775,0.06012837265422799,0.05444904385391991,0.25371416006838354,0.2482765094221543,0.234363891072919
house-related/furnishing-related,0.008735544551243035,0.045241308622934406,0.05537984358619219,0.055918584949830596,0.057575189161624296,0.10956046459464852,0.10957390543463275,0.09888516177941098
valuable/precious,0.005043915669335819,0.01751600119993424,0.020225159921555047,0.0205272296986182,0.02000960807504304,0.04934860451624423,0.04000539423552196,0.030821145787825133
transportation-/movement-related,0.05740755856231938,0.08032892443490935,0.09483236494474612,0.09875734945219716,0.09647296684751905,0.1280135784211811,0.12235975365714613,0.11971806086422399
body-/people-related,0.0030117833626094326,0.008358897081095162,0.008916341410238782,0.008942783268115373,0.011048327579277317,0.05620973941314078,0.04250614034697886,0.049033326379443354
wood-related/brown,0.03722515437343743,0.04370799466941533,0.04379626575054307,0.04458676926664862,0.04496133886897469,0.0599050970615993,0.05524397272946435,0.047892560495734204
electronics/technology,0.015334423111679207,0.02465923487408661,0.029264533655490865,0.031795147217472564,0.031935204370941994,0.03517483097358476,0.030964591202652825,0.031167960066941225
colorful/playful,-6.015625319610862e-05,0.05737642012414157,0.07377230515207456,0.07836311732637224,0.08127200603640428,0.1943981758130774,0.18300703558186726,0.15969366675347108
outdoors,0.04917040290443264,0.041321581507382854,0.03493242628888549,0.030316077242712902,0.032734433705775334,0.13349865773304426,0.13122843207007695,0.10553955941689952
circular/round,-0.002347732143771486,-0.0027258531093004024,-0.0027900539300111937,-0.0021744247425592445,-0.0022236807024824667,-0.005135945825790689,-0.009185791097334306,-0.009484913270686457
paper-related/flat,0.01393137021830837,0.016097286475795447,0.01743548296213404,0.018572605168753475,0.019434695982319394,0.016232434646248795,0.019024349277694252,0.0358458168484066
sports-/playing-related,0.0060570721237600544,0.011875844561565874,0.016923932825541277,0.01955705793022855,0.019656923164574347,0.011677210313596253,0.006333957334220375,0.010852727365139314
tools/handheld/elongated,0.007171561354884615,0.022189116284245025,0.021347080060030166,0.021695638171184584,0.020645986895192592,0.08935980583386516,0.0865523034694623,0.07044976672475822
fluid-related/drink-related,0.005027568908579028,0.01369598660513116,0.013060247584747331,0.014829028197639094,0.016520705169670635,0.031860043352500145,0.022232919765163173,0.019254217450057065
water-related,0.05654883572289893,0.039669066081846616,0.03896437164021438,0.040018016292644565,0.03571543499271512,0.06341158210398579,0.06304601750034089,0.06732725069754952
oriented/many things,0.004159776063945131,0.061527836744123765,0.059195996795769035,0.058078383390533284,0.05661910942112203,0.06259935988997511,0.06165933822479153,0.06895394911549324
powdery/earth-related,0.0030450979816869506,0.005458393190488797,0.0131733121493125,0.014266202297212427,0.015964115462133832,0.10168404883049087,0.08958190999434112,0.08713681092724557
white,0.12754897309805224,0.17582861853781306,0.19063603262563267,0.20243022527984422,0.21741151415996296,0.3401807107831264,0.3405296202836764,0.3279499171420115
coarse pattern/many things,0.02291637901962662,0.08336775282525444,0.0902221471075293,0.09125562179914892,0.09315432697209836,0.11176037894274671,0.11081501688242767,0.09493357201825658
red,0.08097975520278267,0.08237100534514352,0.0685160268624111,0.06469635374300797,0.06563097933756401,0.4425285956379661,0.4265264019668292,0.3654164841938764
