dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.04191718421637014,0.06897627963923525,0.0793042773809246,0.08246889057427653,0.08402203749912229,0.15356177020987305,0.14707631949242417,0.07302043611675402
food-related,0.12324119089679197,0.1454694916907544,0.16259477413643697,0.15993665357708897,0.16256171636223427,0.19615272518400906,0.2096645337362827,0.1326976955904685
animal-related,0.004830964529031867,0.00712312371967716,0.0072637387398742925,0.009831503611142933,0.01311143329161557,0.07796334721266118,0.07823208941690951,0.03123097942721642
textile,0.011985729570765047,0.02020586939256841,0.028206243245146978,0.02815642720579814,0.03131629163374483,0.08136530422408483,0.08055758269501267,0.04236630681774989
plant-related,0.019268813993123635,0.04942755176346658,0.057277286724570775,0.060141095076416295,0.054444944582944244,0.25972687459587507,0.2512311525195823,0.09313310103112704
house-related/furnishing-related,0.008480458840279148,0.04532183575160831,0.05517470192896701,0.055961190576290676,0.057595042213622216,0.11566859956973363,0.12204691035971249,0.07458754132249035
valuable/precious,0.005101827757907129,0.017196647080987004,0.02035306407466364,0.019820239324301325,0.01962959373980744,0.06585536716386187,0.061611331289688875,0.031010661857207356
transportation-/movement-related,0.05741349930359574,0.08034681561224521,0.09484759416551225,0.09877111899250646,0.09647879866320053,0.14011783963442237,0.14071431898184672,0.09908980343772167
body-/people-related,0.002758651278254365,0.008528343414932804,0.009044010254577683,0.008984307497106325,0.010929350658473447,0.06363574198928323,0.06047551180818311,0.020372270108370394
wood-related/brown,0.037222735510444416,0.043742605261491874,0.043808342052233495,0.04460302337537492,0.044974657729192624,0.07201741195266242,0.07247408913459563,0.04208036920599667
electronics/technology,0.01515792089682455,0.024680004141040435,0.029293925235160945,0.03181700271360932,0.0319544831612556,0.05266899982803441,0.04995773374576862,0.03237186927157465
colorful/playful,-0.0002697368036848058,0.05704453911759355,0.07385367216676031,0.07812081648466995,0.08138314498277899,0.19945397941797216,0.1875683546733582,0.11160899436324578
outdoors,0.04918691741243941,0.04134607713743199,0.034963152303082,0.03016309012304752,0.03277184717172621,0.14341413671120495,0.14013522049794958,0.04960763835599524
circular/round,-0.001915707327391214,-0.001915468281184829,-0.0019693618610883146,-0.0020837800491972924,-0.001915497767897234,0.01150244303130532,0.011126938031140066,0.003159120429904072
paper-related/flat,0.013471733591818302,0.015634552752244568,0.01662237608884376,0.017723713635214855,0.018907534082481137,0.035387261515318014,0.04041178432106063,0.03161257821685459
sports-/playing-related,0.005593412745099169,0.01194194416848271,0.016982317704709815,0.019601782820188207,0.01971991784075966,0.04134244112247243,0.04168520658417174,0.03136053860516963
tools/handheld/elongated,0.007488621043421628,0.021940983001808356,0.0214336861801393,0.02161008219147076,0.020524391674081488,0.0961104678990029,0.0954336824003923,0.040285770477423655
fluid-related/drink-related,0.004962827674141135,0.013773527067974634,0.013148609266579458,0.014889277518629784,0.016490109226206195,0.05214460954545974,0.046269806714817285,0.026495259341350774
water-related,0.05656979529255557,0.03972231465540521,0.03899581507190386,0.04004650510003305,0.035742277010859524,0.07904198330858969,0.08136304603459743,0.04125601457320516
