dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,-1.423971499827346,-1.4185746985529968,-1.4175762485197998,-1.4249832607104005,-1.4213339366882973,-2.327184562320891,-1.9739074851473566,-1.7134093149248182
food-related,-0.42050689072608316,-0.3968353273508207,-0.4137313906289759,-0.3886812436314466,-0.3836497021131149,-0.7157868019696345,-0.8424884208977654,-0.7176883177872895
animal-related,-0.4008382550726717,-0.3920066074998101,-0.3436459164174299,-0.34826876865038336,-0.3752507980174915,-0.7311427334951417,-0.6679775332777285,-0.4842801573937614
textile,-0.5077901252299155,-0.4938501771883945,-0.5040219853112478,-0.5127784694518298,-0.5069603489814307,-0.9020150495604493,-0.8148418263913975,-0.6410060413876135
plant-related,-0.4264342361589015,-0.38187468964319904,-0.2545524779366841,-0.23661608337160245,-0.23846788241894945,-0.7726711245383,-0.6070878004778784,-0.5606084667522406
house-related/furnishing-related,-0.5940603795916268,-0.5916853325327123,-0.5556143716492388,-0.5967547024913955,-0.5770564855386067,-0.9340064191932782,-0.8473561674912378,-0.6851423102571021
valuable/precious,-0.6480354421219716,-0.6259980698776078,-0.6418943021005867,-0.6251421541832849,-0.605718091853374,-1.1778232587251436,-1.0118471017947415,-0.856558778548828
transportation-/movement-related,-0.3855177028050918,-0.3372559411249212,-0.38176200315216535,-0.362668936675991,-0.3158854309165049,-0.7697582131998362,-0.6475842982792388,-0.4124173764102317
body-/people-related,-0.3824924600840123,-0.38140853463878677,-0.3789645926946352,-0.3801559379807167,-0.3695705547354875,-0.7291999434901226,-0.6447935656698731,-0.5105995760840847
wood-related/brown,-0.501392042823199,-0.5022134035879295,-0.4829900645535459,-0.48582497737214014,-0.49250099894785815,-0.8863745503112463,-0.8258273032468795,-0.7430171580307923
electronics/technology,-0.4322790407618824,-0.4250425137789977,-0.43130306540234464,-0.42981318844730776,-0.4119219563717751,-0.8906575412137852,-0.7373857367849412,-0.5895219516314658
colorful/playful,-0.5247478704724367,-0.4275408145367856,-0.5218591793834997,-0.41964266752989277,-0.42604150647180683,-0.8218593093174291,-0.7666054709101433,-0.5741025325709095
outdoors,-0.575456463991441,-0.5131195548937033,-0.4659749373440034,-0.4688487686194849,-0.5270024112281291,-0.9555534068789666,-0.8022848317649676,-0.713715682636427
