dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.0865730166151718,0.15529946476593592,0.1845571601796675,0.17226395523637894,0.1726376502499679,0.14648947181232586,0.13769720059429813,0.12254480147849622
food-related,0.16657302103148042,0.2538259631390365,0.25140525882870923,0.2455182082941073,0.23781246013813717,0.17951481408489744,0.1966928941590449,0.17987423643981792
animal-related,0.06396914794481001,0.0939838028119615,0.11046046573839452,0.10897098801859184,0.08875849673860181,0.07147929141620091,0.06706265529517696,0.06676555081245517
textile,0.04230206093186184,0.10134339895218969,0.10385169244119041,0.11217629530247264,0.09404977327679764,0.06829736999210301,0.06643276141462462,0.06701407872286025
plant-related,0.15330279448628414,0.2967150894712527,0.3123015909150223,0.29519574846215246,0.30691927491434867,0.25081475402842335,0.2567414286388423,0.23806522578831524
house-related/furnishing-related,0.017455067015204273,0.1311577400641657,0.15327677780604188,0.1368078569233503,0.11532284874470267,0.1151990726553922,0.12039752906307999,0.10810422581224077
valuable/precious,0.006649469143076847,0.09538354101397328,0.0783203326126557,0.07451997462290605,0.07670107923769331,0.0407680507595608,0.03969757072244029,0.03654973941198125
transportation-/movement-related,0.04023292251944799,0.1351419421568284,0.16132881583430503,0.17099519973191113,0.15123468767520254,0.1298664113091783,0.12870595981280808,0.11736544492486845
body-/people-related,-0.002954217311583074,0.08485701204868834,0.10131986642963375,0.08560835121107269,0.08701589468288873,0.05552698905068598,0.0480828755917051,0.046672794926818306
wood-related/brown,0.008370380475989925,0.10248638292669543,0.11279138301494585,0.11621873954047623,0.09951280019114783,0.056772449077503784,0.06137373014603209,0.056897173340974216
electronics/technology,0.018130424887884744,0.06795238701558359,0.09110736203857661,0.08651747871721904,0.06730165888827433,0.04100500530074869,0.03800350483454418,0.03828018877115125
colorful/playful,-0.03517635627856763,0.29855284421199624,0.30218837981043434,0.28413961102551644,0.2724495827933101,0.16841190205621326,0.16607290838419875,0.1606337127299724
outdoors,0.09406559362822786,0.22685366843102028,0.2071191395198455,0.19552380493521937,0.17799808994927768,0.13448153275359764,0.1236087508214756,0.10475712989637775
circular/round,-0.026645938122366486,-0.004381749577631933,0.0063008222328635455,0.003901957737819761,-0.012522910451325142,-0.0005160538753856692,-1.1041459526239805e-05,-0.008843068732891979
paper-related/flat,0.026589661598913628,0.06264867934270024,0.054063705962327124,0.043338948735189065,0.03048855984182819,0.02249110846965796,0.032144957333166246,0.04538787187020754
sports-/playing-related,-0.01503542702325511,0.028136763765121975,0.03465324930160851,0.03880397495864707,0.040497951654352216,0.01756467819198959,0.023028105313316116,0.016271925519829367
tools/handheld/elongated,-0.005225147846131817,0.029369475535391598,0.06463355820633587,0.05954018294457619,0.06865755216349412,0.07896606217340363,0.08375032947903105,0.07581588305636877
