dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.0077118368014775784,0.03539551449612266,0.05419038320487046,0.05079970034526782,0.050330798071274496,0.0288867232229173,0.07846725018025191,0.1087074268341196
food-related,0.15331251624319664,0.2339919920383916,0.1865239781359711,0.19297287911344485,0.21787315366512205,0.17374214255401366,0.041708421712056465,0.0011897515332891517
animal-related,0.06201234734497918,0.02776997363006628,0.08380631489867663,0.06587282280814688,0.03846263356305635,0.03464813305022907,0.046293413470058886,0.03385111493424686
textile,0.012842733526310934,0.050331836572844346,0.03044925951230426,-0.00023959044910282223,-0.009580149693451112,0.024424996164895463,0.025875389397331805,0.04972506271187771
plant-related,0.15275848003220827,0.10710353323131216,0.21523833793309033,0.2108582217974756,0.22271321474605232,0.09772704972112167,0.1412489760406035,0.033281390197746785
house-related/furnishing-related,0.01592729866778919,0.04187465007001079,0.06865539809511234,0.031751766925098734,0.025576143169819376,0.031196372363454294,0.04415607101878549,0.0691785015751688
valuable/precious,0.009021103905120786,0.05602175166557377,0.021635069737357404,0.026797627785936196,0.057516837605812166,0.021348634591777382,0.018748768441482655,0.030006733166796584
transportation-/movement-related,-0.007737288779582574,0.059692096929177985,0.009073878151924508,0.06820486879048082,0.0737668335674675,0.05190254276002593,0.08178960589899609,0.12215060337714911
body-/people-related,0.00010158939005167067,0.05012144573668664,0.045368774625720754,-0.004977913862627803,0.017362619933544154,0.01386938300237639,0.013766007756543797,0.022541999317470918
wood-related/brown,0.028940596545285024,0.05372519673054821,0.06600474682784963,0.06288674453961907,0.07693012083514639,0.03611537064294135,0.00406642776326771,-0.0020167734991669573
electronics/technology,0.0017928284629837865,0.013460289218631738,0.03055839365246138,0.03940787013074054,0.024494628132692653,0.005266911382049599,0.01712254658465384,0.03710854448725087
colorful/playful,-0.0058937367180595945,0.2074250468776213,0.07954996615694432,0.18751564119754072,0.12237627508204407,0.1340783894754347,0.12507659420292472,0.12481883478753619
outdoors,0.060471912183589493,0.10296072821814461,0.11656971256941018,0.10475854406186402,0.06440981817758906,0.07106468320129244,0.10061800825491296,0.035087926730758556
circular/round,-0.006091439599457571,0.0025312935727148655,0.0004566495703872686,0.006732514910405163,-0.0076844199663654855,-0.00344877871381577,-0.0028088251094904315,-0.004412628406597285
paper-related/flat,0.02481666062755683,0.03126551419729162,0.018419200214111475,0.02470168333409284,-0.00034039028365517865,0.02280937468640465,0.02706125912433177,0.02444110263159638
sports-/playing-related,-0.010578470837809606,0.0151530720304337,-0.012647243452748036,0.0028103471499727473,0.009079181649425005,0.00978577893771615,0.006900898889789064,0.020763873106817377
tools/handheld/elongated,0.004409463200134689,0.007421026438827916,0.037886176548138084,0.025430083444022755,0.03685439662783385,0.020185739147500104,0.035864268830312795,0.04130790252860472
fluid-related/drink-related,0.0004786678176124104,0.023149741588763706,0.014866374088930323,0.018339621408330675,0.01731264719238046,0.005863558326128171,0.005439903235149535,0.01956182818316987
water-related,-0.012137861382295556,0.023505215007765035,0.009581978559721538,0.018173938836262504,0.005279069896140132,-0.003633005293041114,0.07209710691877835,0.055804999797952726
oriented/many things,0.008781694297462561,0.09023057197010198,0.010181924515680119,0.09435416163588173,0.06808984881570834,0.06561362660216874,0.0677694285764946,0.06441008780025326
powdery/earth-related,-0.011160392593017487,0.017494121079991265,0.09717045044666683,0.07518872318434588,0.03030831794423161,0.047700235845712036,0.06024819077556276,0.05013825071321565
white,0.19404125155839547,0.1265883177795335,0.15203142121861757,0.18686053864446395,0.08176009119892869,0.18675996753844026,0.28521520432926173,0.15370651863384532
coarse pattern/many things,0.021248188565631487,0.13465927057796856,0.05575365911861696,0.1560007373088339,0.13254458279827497,0.10360076764507797,0.08715651438618877,0.06507256577611975
red,0.1005094581741981,0.32212776193718473,0.17253431128899133,0.19337081844903425,0.17119695610027263,0.22256140893723453,0.11188163069345625,0.20741712679979685
long/thin,-0.0015369357372976289,0.029625778828635596,0.01423753797313243,0.02868859389191436,0.026289383876119676,0.03178215648999616,0.02694683143027299,0.01477600952660485
weapon-/danger-related,-0.011965848833060289,-0.006449520407320497,0.001132480409536507,-0.008124564380863397,-0.0032582525899320647,-0.011231085144967068,-0.01246345994209519,0.004915589007032817
black,0.02431829409251085,0.07325054983206081,0.09772891033765119,0.03975972241518344,0.1541137419495836,0.05759834900639227,0.05831876427960081,0.1974241395320403
household,0.007180529961380855,-0.0006014890312384669,0.023029534238240057,0.01382050616372077,-0.007824548705479106,0.008396782046117046,0.009414739567974562,0.014704045453677983
feminine (stereotypical),0.011823921304377594,0.04116221805533404,0.03459827042042396,0.019292691905581694,0.029819073350935144,0.025151941513310905,0.019339562547722955,0.0029780791396357698
body part-related,0.006930230414023408,0.040505928406063485,0.06257158961036824,0.02796589957274287,0.026172273887977604,0.0074629325480026765,0.01617978997517544,0.011379479517877655
tubular,-0.007599309943823407,-0.0005015882990080378,0.0008557612769992673,-0.007115393876404585,-0.003761289205973073,-0.004347956254612928,-0.00010421746875399762,-0.0032934223847349564
music-/hearing-/hobby-related/loud,-0.0028521968803636444,0.008628815770941878,-0.004628936191671373,-0.0006741274207322512,0.01795698471718754,-0.0033367514193067827,-0.004979791689042612,0.011435895793519113
grid-/grating-related,-0.0030325023384047967,0.06449789632720204,0.10267084039603136,0.0914260583561669,0.07915564955856536,0.12097535248874614,0.09588758132787378,0.0673332979574992
repetitive/spiky,0.007561525427719262,0.09006604982308075,0.09082727586683381,0.08981165413836856,0.08639870750099954,0.10600895875581529,0.10061221294258382,0.03947226023051509
construction-/craftsmanship-related,-0.014000089868678067,-8.183730554067736e-05,0.009568135476308859,0.002257028680537898,-0.003948267065793765,-0.0034619086084135553,-0.009584636572133487,-0.014048700465544961
spherical/voluminous,0.0018433793616852157,0.037216831917276205,0.02716443016789294,0.02184627628811009,0.018764914489418527,-0.003724060195785084,-0.010801590240003822,0.005191979593268892
string-related/curved,-0.0042941662536171155,-0.010093021403059899,-0.008770828552716825,-0.011940013701185581,-0.005823004226044759,-0.012762525409824477,-0.017721931513678735,-0.01534628240040381
seating-/standing-/lying-related,-0.006729778205420089,-0.014201568778464457,0.016446212515725533,0.0020237049951985497,0.007678327966196941,-0.00827598985719935,-0.003747458593030828,-0.0009492101824588595
flying-/sky-related,0.0007332389746457224,0.08544839696388074,0.025676100851212413,0.020674586836944897,0.04722061324532778,0.03614878259012222,0.06787899340390446,0.07267794918400994
bug-related/non-mammalian/disgusting,0.004917687318555686,-0.0004433928055207481,0.011155237430129472,0.008188662674066927,-0.00543590135679195,0.0024597286325660495,0.0022655861623881446,-0.004714567823458138
transparent/shiny/crystalline,0.003846236368806988,-0.009842001319617655,0.013277673670486378,0.011689330553132926,0.0073240995698132805,-0.00038491505383220215,0.0013248692165239717,-0.004823114889534352
sand-colored,0.06945304960890197,0.07452546337755206,0.16882333656479187,0.1337672374492217,0.10684797715822314,0.08568848833592269,0.039223225506087034,0.010224328561900253
green,0.27162211212882315,0.05444044631063072,0.3555730029873102,0.2678945116517395,0.2944991960360296,0.10822711362922921,0.25869292603498284,0.058219701095958754
bathroom-/wetness-related,0.008652061017510815,0.004605118716258572,0.02701774969785975,0.007609152610572378,-0.014376693724833078,0.0030449226614924774,0.015837009502066124,-0.006528017132461317
yellow,0.09815580869367158,0.18970401731962383,0.15134727544081505,0.1572263958194393,0.21216510547621192,0.1318760676321915,0.10145059629856445,0.061688370711100116
heat-/fire-/light-related,-0.010121949638356664,-0.010930688507553521,-0.007167977876724185,-0.01527311243115892,-0.007585056227092046,-0.01789900239654929,-0.012060891926225503,-0.005933982671645133
beams-/mesh-related,-0.0020343127870385835,0.07634908317536881,0.020676922594586644,0.03403182209827493,0.04380179575372367,0.051222311361947326,0.027048670450591783,0.0378358303045524
foot-/walking-related,-0.009988041419077831,-0.014930126725964943,-0.01226365318540834,-0.012404781768190265,-0.02000716661746038,-0.007378662061199748,-0.009750001207148529,-0.0162001244648049
