dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.09275641958708059,0.1625820282747099,0.18877336454573568,0.16932172758750952,0.13282068542865255,0.1496803284039856,0.14013752472910346,0.07267828482242245
food-related,0.1599981167687352,0.25694298876827226,0.25885068758480934,0.24881512359435087,0.20129480681200218,0.1900642630662298,0.20316132698285327,0.13233712957053878
animal-related,0.04715126384363466,0.10208635356579487,0.1152546795841658,0.11012061211678537,0.08357034890767434,0.07470759053031806,0.07286158097730588,0.030991356613271348
textile,0.05490165522474688,0.10798418677714527,0.11133464305496621,0.1136799658984815,0.08675011636107366,0.07749163665979586,0.07580898660965385,0.042021961053942514
plant-related,0.17368595639932183,0.30605645973565976,0.3197866086830927,0.3020035159825003,0.27664983681221045,0.2505685968027188,0.2502762578108453,0.09286521838780193
house-related/furnishing-related,0.04303255262164285,0.14325007138997092,0.15854999524606794,0.1391669407144991,0.09946596258978158,0.11744894257794325,0.12259636014769026,0.07453564964523818
valuable/precious,0.020874637791778672,0.10543615011029794,0.09683919253532647,0.08606063107385753,0.07513723407773465,0.05587760537172515,0.04910487060391899,0.03076064371411502
transportation-/movement-related,0.0703730123319809,0.14667148670878627,0.17290341570860468,0.17417114671155498,0.13875199742104183,0.13461798184285423,0.13606508407435292,0.09835820657547667
body-/people-related,0.018251088197069,0.09672965755731855,0.1079436036834105,0.0980476605120254,0.077039653501628,0.05853155797276277,0.05701113394339641,0.019612045382082832
wood-related/brown,0.03862194656274731,0.11424504509814803,0.11963770295381593,0.11659054081440579,0.08551190816071663,0.06562204787107417,0.06903445872037928,0.04202722288885241
electronics/technology,0.03541481974099947,0.08178086872037649,0.10179465676904209,0.09353503868451829,0.0691946806173005,0.04908176440910483,0.045033892356535765,0.032139421797852785
colorful/playful,0.012418933488258732,0.29850693278329077,0.30818710218033074,0.27723528284848487,0.20801450305703384,0.17413327429675485,0.17053442410075714,0.11097663733341123
outdoors,0.11773429006718183,0.2321290864418808,0.2104403296498435,0.20410489244726493,0.16674874409684715,0.13920570755327022,0.1284640823568759,0.048825902676360666
circular/round,-0.0036661715713703913,0.008610324099204814,0.014520312095069321,0.014403887596943443,0.009050331220598506,0.010801921852955365,0.009826186347623445,0.0025883569037506993
paper-related/flat,0.04289579393907028,0.07467041368411542,0.0631348284700507,0.05521788029653829,0.03953852715786865,0.03488388175849744,0.04028697026417116,0.031538799524706285
sports-/playing-related,0.00159341541008029,0.04516520465611418,0.053039588884296496,0.04951250474751678,0.04884202242527291,0.03988636982519245,0.03945388119968485,0.03087517109384963
tools/handheld/elongated,0.019591387536972427,0.04383913286287344,0.07039755126161218,0.06646932890687529,0.04910189682607846,0.0815380984490649,0.08863385451582018,0.040079963709864774
fluid-related/drink-related,0.011180858657702686,0.05505277163848066,0.06583377808325885,0.07180428896548507,0.0560552886736112,0.046376746514287026,0.04442138108817706,0.026647730592750052
water-related,0.05766653702561897,0.08435349618796606,0.08295172165583142,0.08470880273889536,0.08164420289453789,0.07602678335379554,0.07776300800750124,0.04021487162977111
oriented/many things,0.007649752383645625,0.12301044426534069,0.11375653631354188,0.11856218387667139,0.0921117845497974,0.08716624203751944,0.08912195459794059,0.057478251079701725
powdery/earth-related,0.0030084873365030518,0.10285939983520176,0.11539847097130407,0.11572746155055202,0.10335816868239012,0.10570582361893788,0.1054016645000142,0.04312559601250199
