dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-0.04553163699431636,0.1510904397870053,0.39460788626660515,0.5580907322514147,0.6609716678713327,-1.3746619815039203,-0.4585982096785419,0.6928767134507794
wood,-0.056795014573747506,0.07879313102289665,0.3809005968451924,0.5229774168814558,0.5575979961932709,-1.1646116383709935,-0.8876289912293529,0.6194537539348023
metallic,0.08051416190963039,0.32660579559512826,0.44932117004077804,0.4408185283561637,0.4725739512243604,-2.087182603457923,-1.2817059320301607,0.4461329432532223
fabric,-0.21290022587436958,-0.14035131274086932,-0.050218651554212554,0.06469620440495877,0.1786280917445749,-1.8783233472739418,-1.9617205664579511,0.26819951783098867
white colour,0.4616518010748239,0.2609827866143334,0.4278430767554437,0.5088618944457343,0.5538124854937658,-1.0215399613573464,-0.7101404572341247,0.6205887415657904
grainy,-0.08019290270827537,0.18235619179060972,0.31034100050635705,0.5314028952345654,0.4653795493317642,-1.6677400683653847,-1.1047173866218576,0.5541793135115243
crystalline,-0.09999602653116266,-0.10575838779595954,0.2231618396631106,0.3076150193377649,0.42326666921900963,-1.1935334621416274,-1.1432474852446721,0.4938417245243607
"straw, fibrous",-0.07918541874055748,-0.09035037229938436,0.05185779993340968,0.1335393164557749,0.10484361462319722,-5.414014412171548,-4.438925376734845,0.09566772011637582
cloudy,-0.049074414221124754,-0.009175545338390578,0.055232955867091746,0.12567218886763384,0.24568518397421615,-3.268279958976229,-1.959829192375531,0.3010098452745936
small,-0.07533761586132934,0.13962912683425138,0.4075434941267079,0.5336920705925593,0.5762155433969096,-0.9463788967063392,-1.4964549123184994,0.5392169815727306
"beige colour, tan colour",0.20451890815253418,0.1727269236026379,0.420768739084828,0.4011071903079061,0.5451106550996976,-1.5825614831188306,-0.9495870501677286,0.5357905950813213
viscous,-0.11421151783579941,-0.08623027966971077,-0.03823449650089071,-0.015658849722366586,0.014433642210030451,-5.113727775531771,-3.4875892759568132,-0.31227090989508893
black colour,0.1750661523679382,0.06648356461916557,0.3683136789939868,0.36323609062225326,0.32157390209186937,-3.2195663471082248,-1.647087169593728,0.33472770712215266
brick,-0.10939912626030299,-0.1112469578415245,-0.09474245032462696,-0.09885286376181697,-0.00557953732973353,-3.999072095587823,-3.4974304817587303,-0.00705242880105007
swirly,-0.02934589996257412,-0.03903902429599219,0.059031889005482806,0.14058372639534888,0.3511959374388461,-4.353094164250052,-3.9951374851086534,0.22370290979028679
maroon colour,-0.13432291815433375,-0.22791431169995086,-0.003954552983551673,-0.05865441710648043,0.0388656739153825,-5.409328516256023,-6.316313052696976,-0.18174067494297808
"lines, long, tubular, vertical",-0.09870722458105777,-0.04154510542476336,0.25350485253545846,0.43635694910858946,0.3483099470173088,-2.5602348902367726,-2.59367697614658,0.3625484921212084
mesh,-0.03240092997982913,0.036005685137190394,0.18762092511523648,0.40155922644053205,0.4409298102909629,-2.1730034921718278,-1.8266419524383022,0.3178315962437034
yellow colour,0.23835154680835086,0.2110982777272108,0.18297342060931696,0.3555602232681904,0.37373058705287765,-6.239081463654505,-3.453655780441818,0.26292121550009884
multi-coloured,-0.06667317469771802,0.20321380040633938,0.3727722326310499,0.2927103140952174,0.30756958690481195,-2.1284254871672643,-1.1946676566852408,0.40624814981644103
thin,-0.07218548034494006,-0.13560908307037,-0.1975947715907966,-0.12107815812105945,-0.11626352516619312,-5.054310708104216,-8.942334033024965,-0.3769929065614737
bulbous,-0.09566758325493478,-0.13503513502973513,-0.07957782826674971,0.01733169501174282,0.004744323671775829,-3.577678607920748,-3.755761078783054,0.1741474634021678
green colour,-0.24059607851942388,0.20883177105338846,0.36505708819370725,0.3323106171299439,0.21920050042068717,-4.762041464800838,-3.518846865929908,0.21546279688229256
blue colour,0.13295663492342494,0.2877791854132057,0.3096469561139405,0.30132061425083867,0.25924466936107454,-2.4339526066910158,-2.2243473779155907,0.23551944540416714
shell,-0.12266808167982021,-0.28196125711305764,-0.330105633020673,-0.45785197184949605,-0.33367730522275935,-5.869533811884538,-5.0494379253124375,-1.0235651906227623
"gemstone, smooth",-0.15231758610018362,-0.15772630411394045,-0.20269372417757872,-0.30335735314263457,-0.24502930631620473,-7.40945461345059,-5.525337354082842,-0.29206756059232053
sheet,-0.14227327131947948,-0.08175196011485936,-0.11151120260053324,-0.11825464693635634,-0.13945611083824275,-13.709940723318862,-11.685421768986304,-0.5404477767694493
hair,-0.06887916539737513,-0.04756213510160413,-0.12384640173745858,-0.18573667821211948,-0.13888592889858503,-11.922540269575045,-13.919339625244586,-0.5247816894242398
spongy,-0.20470324777686782,-0.21968759552395759,-0.3334027782200738,-0.4331024224245736,-0.515910620749716,-14.129569134645015,-11.052912381157771,-1.5771229326093228
golden,-0.005765840140703649,0.06417564386622299,0.05787410729021305,0.08440306200650897,0.031178717756908437,-4.3694879213245645,-6.375371879866803,-0.30524067508191666
red colour,-0.11954588624226552,-0.33608094412264583,-0.05889518075343556,0.03307662701876266,0.018822705750317793,-3.5999912234623617,-3.0291311945587722,-0.040172635698165246
"round, smooth",-0.12331709358023275,-0.19682426460592697,-0.31957768131266356,-0.3957492741828846,-0.3553420616060926,-9.300517942682037,-8.47519519256198,-1.1128170088543183
cream colour,-0.10899857555151031,-0.13207825950817348,-0.18807902588182251,-0.12594474939751912,-0.2565222148268952,-12.903027642698024,-8.496445492336683,-0.5392427949762931
bumpy,-0.06378241461562859,-0.07537714161842837,-0.11840425068616338,-0.15117592708730035,-0.12750367341864619,-4.4512884827894545,-5.116964562449484,-0.5314030938009724
hot,-0.22739838110612096,-0.44011048289838195,-0.585898808649514,-0.777190771452492,-0.6192169131209033,-10.08015177749922,-7.004392107613386,-1.0995951109426598
turquoise colour,-0.1344222343705075,-0.08755247790608256,-0.2653459732666773,-0.20589613304719193,-0.3847865084899735,-32.49036513696343,-18.061629201975194,-1.2942600918594414
