dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-1.3705252826664385,-1.3910392408864456,-1.3606372218475191,-0.978657071154825,-0.9694204691992847,-1.6696685434585485,-1.0635168826135781,-1.5381268237923873
wood,-1.0301614477642134,-0.9473465538691213,-0.7336516884210433,-0.9251425759877874,-0.7295715745624813,-1.0125775897385196,-0.8280847074493765,-1.5024085521714916
metallic,-0.7508986215100864,-0.7512415091680538,-0.5994986089719534,-0.6171863412097207,-0.8072341501413385,-1.0667642308862066,-0.6508030218031517,-1.453239606619929
fabric,-0.708939285655739,-0.6750800585906562,-0.591129306049331,-0.719817195857938,-0.7475905620595202,-0.6804260889411864,-0.7123342797194654,-0.9172497437703278
white colour,-0.6884270618809629,-0.5227115788267109,-0.6145850732473013,-0.45417376277531285,-0.569146245060729,-0.597890023415538,-0.47087584347934586,-0.8430870703606661
grainy,-0.7712240088312536,-0.7157220369572665,-0.6427393931750336,-0.47393889359614794,-0.492600913358511,-0.6796410455767259,-0.49869104098776007,-0.848554713424648
crystalline,-0.7011102075709614,-0.6769376554968551,-0.691020795195161,-0.4582904405429993,-0.5290288215929375,-0.6789669577990609,-0.6842914485051965,-0.6884466595453338
"straw, fibrous",-0.5379328991801702,-0.5034649466003032,-0.48187078413683326,-0.43999582268535864,-0.40500282364687923,-0.7778028131552202,-0.4412375773787123,-0.7855409930828929
cloudy,-0.6652400099143265,-0.6173515762380375,-0.6539347572583414,-0.594809837345855,-0.5343912071560604,-0.7535186746515619,-0.5642599081589483,-0.6328542820188026
small,-0.5627542005060668,-0.520134684768307,-0.5160290472830829,-0.0846610803818657,-0.35017350460158636,-0.6699677716613639,-0.5455846432607343,-0.5208898112560922
"beige colour, tan colour",-0.626087106318781,-0.37979807969125123,-0.3443796303743192,-0.3493692966573476,-0.13169912847638665,-0.8704244653679509,-0.7692457177587071,-0.9095399065401715
viscous,-0.4575085315301908,-0.4303676080592327,-0.4378935828031787,-0.48216210085893385,-0.4375961839458953,-0.5245737572599551,-0.5711994134866347,-0.6295869053273453
black colour,-0.14582117470240918,-0.3901023959964225,-0.27090870033620496,-0.2989470044327258,-0.2953734180311729,-0.29115584869107747,-0.2290485698146676,-0.4559995324334538
brick,-0.4328385398249517,-0.430723402044189,-0.4009804866404514,-0.34460651825820654,-0.4048082240188695,-0.36854205651217153,-0.5558337557826247,-0.5649100661386295
swirly,-0.5614093740578554,-0.5417432462445875,-0.49316339031880396,-0.44601907194607815,-0.39613486186797986,-0.5870963021655473,-0.48277664998433756,-0.5341185654437901
maroon colour,-0.36559463430671535,-0.2519792303563204,-0.044127333854848017,-0.17788181142853632,-0.09482918620182046,-0.4458561402558623,-0.4461236366392132,-0.5640245035627969
"lines, long, tubular, vertical",-0.4074232235099078,-0.3391730896717575,-0.2766194041871992,-0.20379275672311548,-0.15791965321371038,-0.5765428616320176,-0.18201733682738785,-0.6412302123706441
mesh,-0.40130002056191016,-0.386563867945539,-0.3081504712770453,-0.3328514707828898,-0.26455189456388606,-0.3697342427424477,-0.07502560946552328,-0.5421704957232785
yellow colour,-0.37999436500306016,-0.11724486747437157,-0.28471475078769926,-0.27758000141990236,0.034124952058974256,-0.40707662771575226,-0.29381124997389474,-0.24920589393972326
multi-coloured,-0.3354055393397959,-0.3503927262644184,-0.35150091903248093,-0.3414041441088065,-0.35913033396321814,-0.1884003233091045,-0.44645511550326633,-0.4746921646950213
thin,-0.37393997147728086,-0.39293459425198596,-0.3838568405372853,-0.4053591763913247,-0.4028116840212146,-0.4311817078817093,-0.41742012941349627,-0.610873989206969
bulbous,-0.3736441431852231,-0.3900632995181097,-0.351292726438609,-0.32817259006700095,-0.25398234123651187,-0.4656339712257844,-0.3153802318717722,-0.4692781902929284
green colour,-0.06860546003309098,-0.2521114572298977,-0.2166136181409517,0.02540217659848787,0.03252968730457617,-0.290819130624997,-0.14436492054919703,-0.19613477071144558
blue colour,-0.15630175358165155,-0.30971489991047907,-0.18014050963133066,-0.16328328921573565,-0.19106253871607692,-0.3789728325600099,-0.20155174319917224,-0.261519846621737
shell,-0.30246697522933697,-0.23339663161356894,-0.2478859788959049,-0.1683159735869426,-0.20775888317718283,-0.48018856081311045,-0.28920988071651976,-0.37864347840502766
"gemstone, smooth",-0.3388343753127421,-0.34088706234377764,-0.3567622231455527,-0.32071693462749495,-0.24349582869831354,-0.20937531507004814,-0.4194408026702652,-0.44046237223426754
sheet,-0.282973606819926,-0.23098086740642776,-0.24887076696312715,-0.2682187014075652,-0.25193423434201456,-0.2842821584089512,-0.2460073475782416,-0.467156691716355
hair,-0.3065100178501754,-0.2687592944943167,-0.28301423710587725,-0.2699830890796633,-0.2795890217958894,-0.43517477390508263,-0.3622286311607923,-0.4740684917528717
