dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-0.04552896959507774,0.15109128672212746,0.39461024065483274,0.5581080143030545,0.6610002392833308,0.6757059521958333,0.670796619625774,0.6929849740880517
wood,-0.05678641827651455,0.07879609180672542,0.3809032031913161,0.5230079684835045,0.557674094630207,0.621223300521903,0.6633303635022612,0.6196214556053857
metallic,0.08051771791498233,0.3266066402249601,0.44932409527004846,0.4408476157058244,0.47264721201951454,0.39383292794414737,0.47372937471593596,0.446366956948755
fabric,-0.2128967347988439,-0.14034966976289415,-0.05021202869060067,0.06473536169295231,0.17872559031407392,0.15654875645155852,0.23962285486058024,0.2684786731861066
white colour,0.4616593405513589,0.2609845040127632,0.4278476651664459,0.5088999721195392,0.5538752317059259,0.5860661188303639,0.6183568120059976,0.6207510557962237
grainy,-0.08019046102871981,0.1823584163942907,0.3103447999507297,0.5314453039120239,0.4654658836999565,0.5436776048163787,0.5452589342165075,0.5543512979680532
crystalline,-0.09999249305307864,-0.10575645428277895,0.2231646537475557,0.30765827116129846,0.423302920257602,0.4095365301439153,0.4453455160064405,0.49401998918348716
"straw, fibrous",-0.07917033905589496,-0.09034817297466072,0.05187144899157956,0.13361914990339058,0.10500829898234598,0.21549253908601634,0.1690125289506156,0.09611661639436817
cloudy,-0.04907198957722584,-0.009175002863931015,0.055242018276527395,0.12572799277346397,0.24578670470885444,0.2852467590131247,0.35367821311186404,0.30125012343919816
small,-0.07533573444165376,0.1396321996537467,0.4075493538787578,0.5337160262430843,0.5762624437092412,0.5176417343423606,0.5794697006347707,0.5393878098059858
"beige colour, tan colour",0.20453229452845276,0.17273100846619785,0.4207726200850754,0.4011489175094474,0.5451390967705446,0.47592702391098757,0.5026764777776782,0.5359638804105279
viscous,-0.11420833125953725,-0.0862293584047358,-0.03822851926203787,-0.015599170691691488,0.01454380411524997,-0.15611973772453366,0.004388365452339471,-0.31175904449620706
black colour,0.17508540359711536,0.0664852901436914,0.3683218564710927,0.3632941604507741,0.3216756000150159,0.35673240422631686,0.3133390588137018,0.33498090061651037
brick,-0.10939407280589682,-0.11124587929736926,-0.09472923826111047,-0.09872419938223664,-0.005369188755309151,-0.04081976104152749,0.0632206876195203,-0.0064680958548706145
swirly,-0.02934370115054623,-0.039038213490504216,0.05903745248649669,0.14067901977549893,0.35126091756270794,0.3171431816236106,0.3493540406813397,0.22401847092591712
maroon colour,-0.1342629545474776,-0.2279021685746631,-0.003926265596819434,-0.0582544632771814,0.03911786708399597,0.12380891665260436,0.13260694915668345,-0.18109950368498562
"lines, long, tubular, vertical",-0.09870274367514108,-0.04154225682089481,0.25350937215516767,0.43639821312011007,0.34842213164045843,0.43527429290950553,0.3564359523790144,0.36279868714169916
mesh,-0.03240007773864325,0.036006824421571805,0.1876240327662187,0.40160695522176415,0.4409821629669485,0.4405910058306298,0.4752393330309591,0.3181049407884212
