dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-0.0073424173220677956,0.44018123280701493,0.6355267796903814,0.7292813931521565,0.7556630038807166,0.6993588506263787,0.705095202012884,0.732897083947241
wood,0.07288691090058422,0.43146715742419806,0.5709133539268703,0.6764006287235043,0.7159234372497274,0.7542223048118842,0.749212096967637,0.7558470270757367
metallic,0.40400169809761133,0.4453041779934573,0.5186018925938767,0.5005540732840584,0.5085432831454119,0.5052182918020225,0.4958229380287295,0.5491429938032814
fabric,-0.25938812706370984,-0.0794338282522967,0.08804734424715532,0.1815509641953515,0.35976900226891984,0.38992980369446884,0.4242992712602531,0.48071891515563064
white colour,0.5529794984197561,0.5239165572976432,0.6527472637058296,0.7026374513346983,0.7396704191687854,0.770524643535603,0.7611465836369303,0.7328909580410571
grainy,-0.08353315270433014,0.269730409134697,0.598939986907784,0.6742877678020511,0.6933890359594822,0.6889407159954735,0.6850873251822985,0.6710706076517643
crystalline,-0.14329062590926983,-0.021200447228148078,0.4092860633870908,0.5308751121302481,0.5611089648777503,0.5337310580289991,0.5268143034423547,0.5965425732883252
"straw, fibrous",-0.031066903742678474,0.2085668533891718,0.25619746144828176,0.30825029931406267,0.30757968239674305,0.356649757970279,0.3662105918681241,0.38516498427612184
cloudy,-0.08515447239806351,0.020445819141770284,0.16210636663123662,0.3685563888855051,0.4065523155213702,0.4634902175982174,0.45324574900571335,0.5025114276164694
small,-0.11607329083958517,0.25533622866642325,0.47089875300516254,0.6131106741090744,0.6364422484947709,0.5430202871226791,0.5665290604398316,0.6074935614542749
"beige colour, tan colour",0.6367523548148485,0.5494782881576341,0.5549087013829191,0.5814420394306253,0.6462614802154388,0.5333462685977227,0.5309707156240796,0.5900884826049069
viscous,-0.062479253141167646,-0.03616261357370905,0.02509235720146652,0.029978142793874805,0.08268501404448118,0.08436709399076649,0.08572670785216,0.09474849086252135
black colour,0.4689523717993837,0.18762603017295212,0.46380435940267095,0.4498042239303251,0.44284890496807405,0.3912973711486373,0.3297571619255889,0.37108062005097553
brick,-0.08788271454217854,-0.10452970172233914,0.00838660306850717,0.10150022658136226,0.215022812783669,0.21136591147478886,0.23359711853766713,0.2680320995335647
swirly,-0.09698640145686468,-0.0807730082031934,0.20792485592921572,0.3944256022599364,0.4321434398867635,0.3955718880443455,0.3783261482947844,0.4079794758240759
maroon colour,0.4484443219925994,0.47523516211095007,0.2736178899314145,0.23751101659444043,0.2629124901819851,0.2249514841547612,0.1914993795274192,0.220335121519894
"lines, long, tubular, vertical",-0.07194856250865259,0.13987963897842465,0.4009601422872307,0.4552995657033754,0.5234659675813299,0.44726256545505916,0.48244029986878856,0.5250065242944374
mesh,-0.0720757195665627,0.09923852738053801,0.32479790847232637,0.4332471190288233,0.4242923789605791,0.4372466190273475,0.437310741839452,0.4668581054564352
yellow colour,0.5326673392400798,0.5356700873069149,0.3403430926641521,0.4422419214981369,0.47347679230739653,0.34697810860137873,0.3504897704611583,0.38670862200535716
multi-coloured,0.14647158318534592,0.3542083409931055,0.2403701089825178,0.2649934218465636,0.3067169493584999,0.2344197853983491,0.2702600359315343,0.4437420046458508
thin,-0.041109883132652826,-0.08448965376487727,-0.13072371787922318,-0.06686605746868755,-0.10797095224491615,-0.026024260906632225,-0.03671477174654586,-0.01837139788850588
bulbous,-0.19264770833854541,-0.10636820621636989,0.1430598939659054,0.21012277392597153,0.20376561167581903,0.2144492185081958,0.2189097148224461,0.2605023467418482
green colour,0.5655992720016204,0.39926683206473135,0.4082269333894974,0.31258375604702693,0.2744062982293585,0.28114190092668645,0.23411513936291892,0.21764591468198963
blue colour,0.5556856165472798,0.510442216123008,0.4369644994606022,0.39111413759719815,0.3726754656679418,0.3375155824662734,0.3288217393354705,0.35496259314644407
shell,-0.04094916696907164,-0.09788343259941432,-0.3283294402848318,-0.2174394176213375,-0.13358988171592667,-0.22001501814038993,-0.19427732226272332,-0.05567358710783684
"gemstone, smooth",-0.1438966995938495,-0.19720288954059353,-0.3159105536919748,-0.19494496991354476,-0.1804654062950431,-0.18037660290404536,-0.20727044251266852,-0.07692701448535463
sheet,-0.12673666325961974,-0.019303267671347147,-0.027766127644556927,-0.11342134561245217,-0.11787680637332856,-0.12278638727104788,-0.1287960265277422,-0.07014680298538428
hair,-0.012887928440004592,-0.04026854217964333,-0.05962559690816614,-0.0260076996962166,-0.106491759215475,-0.11070592438055678,-0.1639534975618769,-0.16761810729921872
spongy,-0.2626711600082697,-0.18845047629091827,-0.39237375687998294,-0.31739803528940475,-0.4732699930412797,-0.6434735971138815,-0.6827490961657959,-0.5040595455772697
golden,0.07066861520132302,0.060595921439885944,0.07498073058771614,0.0982428956586335,0.10997524143830159,0.05453134584104542,-0.04095901337206022,-0.001240844037129063
red colour,0.19368956161928036,0.1571588332640558,0.045928698308983565,-0.07914306701222944,-0.04852392700002981,-0.09902221512262135,-0.09529765042824814,-0.04698402597934531
"round, smooth",-0.23571285067329723,-0.23663532821090386,-0.3546993110917737,-0.2424959266236816,-0.1587986001697336,-0.3769028376918876,-0.31033452700830116,-0.2222017912819143
cream colour,0.14922606993618684,-0.012815710266182046,-0.10846026778495274,-0.057935097154045975,-0.05498746293704758,-0.2776145838179368,-0.2907646847502475,-0.2845406202635067
bumpy,-0.19358193508094831,-0.20989591722993284,-0.20681832158252092,-0.14370195225641944,-0.16725755605072842,-0.24756710050635009,-0.27419019986913523,-0.25786977843478665
hot,-0.5612643806070156,-0.43486706272456627,-0.5567711916422523,-0.4941180739397765,-0.4200294257333856,-0.7986831513309615,-0.7708276970893171,-0.5884342117841269
turquoise colour,-0.33027619168212674,-0.7215238538578874,-0.6838437363301336,-0.6027652132477165,-0.7201071668646613,-0.9303411005233265,-1.1180781076199096,-0.7873167279439137
