dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-0.00621581345260448,0.46916930926162326,0.6656599339780221,0.7311155102226619,0.7550181484520506,0.719817875262242,0.721826705374893,0.7335864823387668
wood,0.07314881095782724,0.48425289612979094,0.5784167037813426,0.680961406898224,0.7222504316286684,0.7466579466819858,0.7355562155853699,0.7584250260146036
metallic,0.40738780632483296,0.4317667453470039,0.5279466514448785,0.5100890450654477,0.5221030220190975,0.5204300621175141,0.5091337937675213,0.5544385109289942
fabric,-0.2528727823400872,-0.09070641170625328,0.0929966092590441,0.20554552826647682,0.3645986181519641,0.4214220070144413,0.43246787854209146,0.47727354220487256
white colour,0.5691851413508331,0.664432741543628,0.7096191591884682,0.7238724167909952,0.7496707923324794,0.773154051181473,0.7584129501415022,0.7298027735872166
grainy,-0.08222868948880004,0.3351714776923077,0.6143123293908298,0.6761971275577279,0.6904513716526601,0.6966519528164067,0.6922627344094,0.6740643883452772
crystalline,-0.14825678875572967,0.10376051168348374,0.44709949473270544,0.5303762779410774,0.5703213479109026,0.588336473394221,0.5834979146860273,0.5981993884433471
"straw, fibrous",-0.027812854489280704,0.20896028289118312,0.28427086022702835,0.3222721535228864,0.31596149132520696,0.3685949485889505,0.35594497274392645,0.38287673581585635
cloudy,-0.0734309440036717,0.0485071594809464,0.20078009435131872,0.38826403275248456,0.41555140590618195,0.49152038338737525,0.46606827608388046,0.5052224020952858
small,-0.11155781659143538,0.3164111686320138,0.5012926730627537,0.6172580745981878,0.6301928151017537,0.5730588398403206,0.5882723507344355,0.6079800644454101
"beige colour, tan colour",0.6374734762660925,0.6152694196051363,0.6125111559285427,0.5830676733108667,0.6464899192473962,0.5782685836832,0.5642608171538674,0.5926398811856306
viscous,-0.06531079916872203,-0.025392511276583474,0.03416561462994126,0.06203891014680468,0.09900405860364213,0.0811256139784609,0.07281620146816767,0.09131180715236778
black colour,0.47870548810273367,0.4792969433802002,0.5010157453876878,0.48121309236176646,0.4667993208271085,0.3971049237413996,0.3270874068352518,0.3748834679722456
brick,-0.09038007194607142,-0.07083405745572262,0.02129048113300147,0.11212611182166721,0.22804938656573034,0.26947135768003233,0.28129718697919337,0.2740697358032576
swirly,-0.09565330297055494,-0.06330569492467676,0.23294529473456854,0.38826170393777015,0.4376599897019374,0.4012887421048944,0.4034893904439296,0.4113823261433966
maroon colour,0.4381567763294771,0.47630358043492044,0.30471548088899886,0.2625512703859457,0.288641484800622,0.24815522788887368,0.23092805836733216,0.22078356497510096
"lines, long, tubular, vertical",-0.07240867529897947,0.20937982463110835,0.3840309494262662,0.44985843691933836,0.5051366088023383,0.48487133572923735,0.5191082096374895,0.5236992161886724
mesh,-0.06979246560797263,0.13345848084998674,0.33507246403145574,0.4283055990156647,0.4140728159360664,0.4621044051911401,0.46752326834959756,0.4684244287626063
yellow colour,0.5335586700894044,0.5766498862020027,0.4212365881601303,0.4474188474431545,0.47771425549464225,0.40566096686685127,0.4341463270707938,0.3862541666314018
multi-coloured,0.14303203095857914,0.33744152059574667,0.22641428316067663,0.25593708122016634,0.30147778549687254,0.30729698301733566,0.331184441069,0.4504858820947498
thin,-0.04755414313380017,-0.06717856993210548,-0.12487828174716613,-0.05794506999287654,-0.08899573851339834,-0.030727432717805602,-0.03640596843380216,-0.009470592305657577
bulbous,-0.18616760841508753,-0.10458096860052077,0.128474611199307,0.201986235338982,0.20332859596460126,0.25849328643365493,0.2872394679769629,0.2662859079535426
green colour,0.5640486135381845,0.45345551349934626,0.39044096647879045,0.29948050898046885,0.2864805158068986,0.3531838983598175,0.3008801310361874,0.21466830952293936
blue colour,0.5549035975374421,0.5449926559911724,0.4385584813089376,0.4073622709596082,0.3969775065297648,0.3869743794689898,0.40597282719464883,0.3550854082878172
shell,-0.038312189383874116,-0.101700779209978,-0.32562764931160987,-0.21271298162913732,-0.13890383574250584,-0.1528046762664262,-0.11337514787457534,-0.05231745092280595
"gemstone, smooth",-0.14422345167306644,-0.22744434955006348,-0.2984402787796026,-0.18593355718122526,-0.18509037541522008,-0.09042808917232899,-0.09471329727733471,-0.07139361362624999
sheet,-0.13321877118968936,-0.032361307754451174,-0.007004357333591371,-0.07386272384154821,-0.0808111646817286,-0.06733793496593382,-0.02053066684195177,-0.0715390158409475
hair,-0.010409721363210533,-0.03248584668710671,-0.016112783403032994,-0.012451755042357914,-0.13375016123881694,-0.1074482685723726,-0.1298411175470205,-0.17881227010968587
spongy,-0.2641572574408083,-0.21042383100504117,-0.4400810974349909,-0.35659190054475387,-0.4924194463214505,-0.5893974344230498,-0.7560133116805609,-0.47964430502505123
golden,0.07839019912332394,0.11134510778150113,0.08675066294158165,0.09108339217678017,0.10058061992476167,0.06687840928248995,-0.01585628246859213,-0.007097355752425138
red colour,0.19640360969615173,0.19245768420635057,0.04571822584927195,-0.0033321547417739404,-0.028298601662708766,-0.043427192884092435,-0.030932793360166445,-0.044803600669356604
"round, smooth",-0.23911835454211836,-0.2542745392798716,-0.32058479139602886,-0.26754020755655555,-0.17601786893854607,-0.29218059434554283,-0.1700247277762304,-0.21817545341425593
cream colour,0.14737219736840085,0.009631360747336093,-0.06525588425465097,-0.047536370399425175,-0.08598714605358773,-0.21191274619467676,-0.21087202890830584,-0.2614294065316528
bumpy,-0.1995285422062812,-0.2047742074280817,-0.19884265454473712,-0.15530018343809385,-0.18021802844281432,-0.2204016610292479,-0.22421813737573482,-0.24937354633573197
hot,-0.5690080953904573,-0.569529841490364,-0.5944857630803708,-0.5197131156784467,-0.4518668838581329,-0.6791008051706511,-0.6839279355484776,-0.5842616434528981
turquoise colour,-0.30825977439952806,-0.7074825262763337,-0.698268333042615,-0.5989896478135793,-0.7268594075796566,-0.67234158152838,-0.7130133737400867,-0.7616217153492962
