dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-0.13548824504909313,-0.21123949443361054,0.20346044715748093,0.40914485242671395,0.5617861088662861,0.44521696870063854,0.547536424187397,0.6410551405893964
wood,-0.14357580432512057,-0.09992742217605528,0.13627654738134715,0.40351537104884916,0.47697496060802963,0.3718038673403006,0.3557479264089176,0.5433735050615066
metallic,-0.07302378234762723,-0.12759122430206676,0.22116773646598506,0.20198452583149407,0.36317970549715595,0.09693192997248026,0.2605748307266921,0.3867118458954285
fabric,-0.4218300359557217,-1.2627231210334815,-0.26557828038847164,-0.4671766343610435,-0.08511637807783791,-0.02592791140715378,0.11100544625980283,0.13503574052459405
white colour,0.466468358885757,0.30751786004246684,0.3012541137665386,0.5453517211457343,0.5402371592175204,0.1797172435417243,0.44473949609913543,0.5154808225471226
grainy,-0.21943752177285267,-0.3933549561718342,-0.02452541573659649,0.36879024976942043,0.39972772732610035,0.35035092275550067,0.4090492638493563,0.4322848281223706
crystalline,-0.2682052491090231,-1.0261877495757843,-0.15871984269196093,0.08530339704069276,-0.012160945512910592,0.17491963065482308,0.305878449092075,0.35391358846932863
"straw, fibrous",-0.2888581543936142,-1.0141764848583066,-0.601838181578905,-0.15140021834394718,-0.13291110167860504,-0.5269479138084,-0.05688644050450854,-0.07603988930555049
cloudy,-0.1422780622440946,-0.7206220187940555,-0.48412267123615554,-0.11653912618974091,0.061255161728592265,-0.1943568823292678,-0.10231350446965104,0.18147929712315636
small,-0.25094065472245874,-0.3011754523124467,-0.011694646935719621,0.29903612607088575,0.45867324050207187,0.44110523744105423,0.24568839385540656,0.39986406328038193
"beige colour, tan colour",0.0351392628887099,0.3643401637909017,-0.008695973249350609,0.2333473022668377,0.3568768933301203,0.25800726602349083,0.4974645140664606,0.40911939108905415
viscous,-0.30403413751022396,-0.9447344269780468,-0.42549700480654096,-0.6813064126293955,-0.658655277910061,-1.2439925027715926,-0.7964624678161122,-0.6628890845211065
black colour,0.12206391805172997,-0.19726932490390148,0.33562826603528,0.340552394956599,0.13529898065940252,-0.01171278678487151,0.04641565971240062,0.20574128895040103
brick,-0.25509660433991377,-1.6341971495050736,-1.2484897592225555,-0.780028564650412,-0.5708574559971211,-0.4742729578340425,-0.37562858934381094,-0.2291949067798586
swirly,-0.13819065855174956,-0.6625452974612147,-0.5177280946790497,-0.29231858239628133,0.046875302477606476,-0.17523430967119716,-0.13267406504133966,-0.03587282572091098
maroon colour,-0.3498577978932052,-0.769742113662863,-0.3721244383662761,-0.21953915466597893,-0.2206679001770299,-1.2503889159671056,-0.8928884288791773,-0.7916491751415794
"lines, long, tubular, vertical",-0.32502591980975726,-0.800198642322805,-0.025223179534448793,0.10881856682665063,0.1761370632885937,0.0014215872869002722,0.21348705580925645,0.22316290795027266
mesh,-0.26049875423521573,-0.99166764683746,-0.15005831269259023,-0.0645145863878562,0.1971124734802431,-0.027397268887886007,0.14215861748826922,0.15551562500927843
yellow colour,0.11649430005056813,0.09494652072034651,0.0066919705039433005,0.1116439263774428,0.19943463745752943,-0.4735325213348288,-0.2855395057576401,0.0042261048692267544
multi-coloured,-0.3501773928142655,-0.5347079281243576,-0.31333424707984525,-0.23461894520949794,-0.09082209824892382,-0.16850387339437983,0.2260549350281944,0.29325007810420084
thin,-0.300299989475489,-1.0005655238021856,-1.5693646558703,-1.2831317436922751,-0.8434666588227493,-1.868080870296821,-1.2148899637055988,-0.907995410600195
bulbous,-0.27242574089671423,-1.557014879302944,-1.1278009900075054,-0.45019011403555675,-0.22154772271178275,-0.9286676588913337,-0.42752782406156686,-0.05275129069648299
green colour,-0.3878092105743292,-0.04810526301482822,-0.012345428838970319,-0.29921126326296515,0.17580012292368835,-0.45492619172996107,-0.7053298702036365,0.03360134327532706
blue colour,0.0026682258104571586,0.11065944853574454,-0.0385921589026494,0.14542945672824742,0.1884262712899179,-0.10750815247471715,0.007051474063045182,0.10449946131124666
shell,-0.3839241253930534,-1.9693669938723606,-1.9217765320921132,-2.1192371845227815,-1.7977575790430969,-1.7161671183721077,-1.8770480747747058,-1.3251419597631235
"gemstone, smooth",-0.4552394775636353,-2.4809968469475514,-2.290348713426622,-1.6784084326988034,-1.1952390398544288,-1.50350122724279,-0.8923007465283106,-1.150781506354034
sheet,-0.3390763301879599,-1.4417052529375112,-1.465140793480468,-1.3865273576036579,-1.284638088559307,-2.110002100992361,-1.450939204766224,-1.2503906045636166
hair,-0.25531027152064867,-1.264485555954483,-1.5046818065995589,-1.2703480025850589,-1.2321289744185826,-1.7450936933714327,-1.1876449558355575,-1.1246921196941944
spongy,-0.4245518310569567,-1.8794690786023331,-1.4314294889467862,-3.701644366132791,-2.2491288882186016,-3.5286543086702986,-3.8401301558672585,-1.987642563231023
golden,-0.19360659804232047,-0.7710508000413524,-1.0211508416409243,-0.6350929981666072,-0.5395582618572559,-1.3777038947413964,-0.8976711435823408,-0.5956970525577813
red colour,-0.7379428968505323,-1.0402557844922455,-0.9728382588353537,-0.3579341497070606,-0.7988094119126788,-0.9634354808898529,-0.1904129817352756,-0.0890074935162907
"round, smooth",-0.46055519957423596,-2.663147181533396,-2.8267574550706676,-2.231192584546469,-1.5396547305974948,-1.4723397545001653,-2.5695209041699245,-1.647602467274027
cream colour,-0.353842420419195,-0.993376880148749,-1.278383126103297,-1.5673875161266848,-1.6502732568763065,-1.8368529919718841,-1.3261520884362936,-1.2631604050951346
bumpy,-0.22303418467461444,-1.5650400340946182,-1.4875240054631678,-0.8813456434689527,-1.1665359474893524,-1.324666330839665,-1.3063866302959195,-1.3336890017972578
hot,-1.0922981326412788,-3.6299002434691268,-2.898201477219693,-1.766546104020145,-3.0093881789250387,-3.728394925208824,-2.250324046266531,-1.5144275183364728
turquoise colour,-0.506620793848915,-1.919837318108336,-1.9746347277193954,-1.7137961828900097,-1.933170652049353,-3.8157583503931733,-4.119410197379949,-2.160140912161001
