dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,-1.4034188048722718,-1.827450408994598,-2.5015017805061026,-1.8092141948712843,-1.8204914147162743,-2.526074499162889,-1.9276132375523916,-1.907846944260974
wood,-1.0664941100055105,-1.3151040355310615,-1.3879494869164573,-1.5597519990260116,-1.5025048837785637,-1.5457364235619195,-1.5624522910141576,-1.8424511598885247
metallic,-0.7923532504762127,-1.136291659721913,-1.3870365875930926,-1.3087577304571418,-1.5006622878775024,-1.7997840397991824,-1.3617500790026495,-1.7693901233617462
fabric,-0.7633556705495603,-1.0200094481668192,-1.2015165019375509,-1.2983213520131835,-1.5314221646026422,-1.1577791978715575,-1.3006813760168643,-1.1907966623723674
white colour,-0.7027086230931772,-0.7275293803525982,-1.2133754692149261,-0.9246530761720013,-1.190727596307966,-1.0589413050783172,-1.1144540073433014,-1.0440169463908568
grainy,-0.8097273068127666,-1.0479121041225086,-1.5355013547476712,-1.1198481328687304,-1.1950971127389614,-1.1909242895932377,-1.0853243709927631,-1.0292410725987624
crystalline,-0.7546227834966659,-0.7920924171858432,-1.2268956270471327,-0.9894934186208459,-1.256961607028535,-1.2212851980769193,-1.388887958402142,-0.8901311048856728
"straw, fibrous",-0.6075833153383359,-0.7124393364408856,-1.1280386856817999,-1.044511261660328,-1.0541767662531947,-1.238706307416908,-0.9135741142287521,-1.0832671952254427
cloudy,-0.6999602526535429,-0.8441518508338341,-1.17367239152042,-1.1373812952305866,-1.0661529583735727,-1.2998270006999642,-1.1649929810482234,-0.8334030650064308
small,-0.5982468618933741,-0.7566632864016958,-1.1737256609059097,-0.5542831621106448,-1.1750803996139516,-1.31701378406905,-1.3955753773472428,-0.6875602904433371
"beige colour, tan colour",-0.6787328206775474,-0.35648247753312856,-0.8797018258362068,-0.7532482475728317,-0.603120411765071,-1.341432863859994,-1.4672522588312615,-1.2027062715857557
viscous,-0.5084195694717621,-0.6573854030818274,-0.9809105387385746,-1.1553253248827642,-0.9891667700575164,-1.010839420442485,-1.1857058309197246,-0.832169146319264
black colour,-0.1156260052050131,-0.3600949887150975,-0.7564564986847084,-0.7328383471732871,-0.7281339320096374,-0.6055186698938468,-0.6726389184705766,-0.6586249596171303
brick,-0.4891628248427027,-0.6192825744839743,-0.9040048163572316,-0.7406210346974,-0.9240117013486624,-0.7199847822274787,-1.143045475989481,-0.810611072002094
swirly,-0.5734113030784012,-0.678764602668595,-1.078073956610222,-0.911179739890869,-0.8558880213286943,-0.9986681017142225,-0.9651583997600466,-0.7564789495639981
maroon colour,-0.4028172638716019,-0.3106310263172072,-0.3325594897365276,-0.6733462977945075,-0.49531873907361534,-0.8746591182967747,-1.1227133840128083,-0.7506852722022914
"lines, long, tubular, vertical",-0.4942847092147189,-0.6743447440859018,-1.0012849286819487,-0.8695949609366798,-0.7532234908686575,-1.1423006931874387,-0.6893529171738717,-0.8834074215465273
mesh,-0.44890567818152904,-0.7948474059423316,-0.914162185970298,-1.1287128921323926,-1.074721425534245,-0.7436031665440479,-0.6207965449256865,-0.7399705795708951
yellow colour,-0.4472117179356989,-0.22311076274006214,-0.8168264980428508,-0.8331748706884368,-0.34955366578687763,-0.9053218699936971,-0.8177608969701524,-0.44873974995920585
multi-coloured,-0.41951902009647024,-0.8330347553063928,-1.224192909829608,-1.1908104563128243,-1.0465977424224029,-0.6334347626182641,-1.3835413456228953,-0.7447644616657989
thin,-0.4199803647218143,-0.4815101002052533,-0.8234227319077709,-0.8085564615267504,-0.7787222653200343,-0.8056249163008211,-0.7912233869266967,-0.766834722137345
bulbous,-0.41316939554465515,-0.5827419107333847,-0.735582568503123,-0.76650719987292,-0.5751146051244942,-0.9428438429955805,-0.7425052931102984,-0.6399005169069452
green colour,-0.12743361583106427,-0.5258631189884424,-0.8581872448732273,-0.5461750880596732,-0.3716005980356749,-0.7291627321888123,-0.5638318903824144,-0.39960611458078343
