dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
mineral,0.010999144604161848,0.3741247593246432,0.477928099696843,0.6146600934023335,0.6972670347053447,0.7131160164328554,0.6995202727825282,0.7605643098047599
wood,0.048199400623493704,0.42845338681791667,0.5025184546806915,0.6280347407274148,0.6613741786233859,0.6829052428610219,0.7055194623422716,0.7517957264247688
metallic,0.15262738451878743,0.4833697726949524,0.5734132618592296,0.5198426898162003,0.557978920617135,0.5359335509344088,0.5686172936612058,0.5968494126551609
fabric,-0.02999765276401578,0.07480354184066451,0.22118199797061,0.3222680993395953,0.4383160202051628,0.43852764897450336,0.45095918168980864,0.5696670577548724
white colour,0.5435348101801083,0.6446784072420533,0.5431488006583283,0.6051815492548496,0.6407750765328836,0.6322393818269866,0.6352498273985865,0.6916263495707262
grainy,-0.004070061950510073,0.3227394837239326,0.4889047860747914,0.6348164428577336,0.6191881479208571,0.6138411118403369,0.6172700218236402,0.6630485910515012
crystalline,-0.015157367688128254,0.13447451880332373,0.33963727617432315,0.42516734580716686,0.4849402701728901,0.5368969242588257,0.5190875187783661,0.5783287778485402
"straw, fibrous",0.04415998907345542,0.2023182948039257,0.34303811370151405,0.47115288796849164,0.5145906450698197,0.49153311774865305,0.4645410957104986,0.5386700834660593
cloudy,0.010293704556228023,0.052284659381540366,0.15365923536971493,0.30981311129335787,0.3482864771630464,0.39848169015363566,0.4251519147876619,0.44348222343790855
small,-0.008901474887563987,0.3170880356239749,0.533009443684603,0.6148132889919028,0.6696831641195596,0.6147499145916082,0.6482272817549224,0.671841683769365
"beige colour, tan colour",0.3268493339931051,0.6263847051553043,0.5987010392934355,0.5784847999326715,0.6287868420714227,0.5991678513202934,0.6131829800272468,0.6497174595700779
viscous,-0.01729788411972666,0.06159122289873298,0.12128381056976745,0.18596132243321906,0.19924491373730313,0.2189918473938125,0.23968532931043118,0.20692626687245397
black colour,0.29906496652599757,0.5160920652871475,0.5466456319813173,0.48224760994734495,0.469076503288788,0.4542353267527639,0.4346552327576607,0.41126641777602857
brick,-0.02872744815587036,-0.006641996781945325,0.21296750851080892,0.2388563922073217,0.3305436957065244,0.3796324508466926,0.385262459418639,0.4199929950902549
swirly,0.003406279564393433,0.000707145481100846,0.25583732717592067,0.29873583597409425,0.43287947021538886,0.39015822572242165,0.42495124332333944,0.4658054412293934
maroon colour,0.35328780542766947,0.6168724078942063,0.637241959755247,0.6130680679499294,0.5705147141367414,0.5502729074829249,0.5526739973279653,0.5248904484135073
"lines, long, tubular, vertical",0.0059012575755317265,0.25821641530439177,0.5018018533250734,0.615777578828576,0.601756150274068,0.5820365873892912,0.5588015332299869,0.6263520481953493
mesh,-0.0012622276870879467,0.10953635076882995,0.38577579530800576,0.5169837063727574,0.5700595676548397,0.560192738271106,0.5717811178373933,0.593215530994329
yellow colour,0.48232291693480234,0.7120695661920766,0.5185668981936,0.6273771653192166,0.68887209535637,0.7042724791023098,0.6475956252593573,0.6377887795044783
multi-coloured,-0.03830793511532882,0.36706332156215904,0.5545871146963285,0.560966255749352,0.5815195133530509,0.5993593563362322,0.6007642732932432,0.5916456771108765
thin,-0.011692262991891855,-0.020853314397598632,0.04939890414031023,0.09460247949309453,0.13313704204847387,0.14969398528899314,0.16544439302585112,0.16895894448641768
bulbous,-0.012045671348013931,-0.008894520004840478,0.14910762994006432,0.2296723695748183,0.2944229003334613,0.35682293957270783,0.32045973128097327,0.40114825833984
green colour,0.29590951186955106,0.576948805821144,0.6559409441496931,0.6060158675166749,0.6191346911260424,0.6677128099297325,0.5551754578072148,0.5419598233286841
blue colour,0.1852847885814377,0.5127044077761885,0.4312702340757115,0.44154443055738624,0.40140457154319786,0.44108295207146053,0.460420549870418,0.39837647702709156
shell,-0.005297264962444981,0.12805107724898412,0.1593657271654122,0.19544642449236327,0.22791954612608545,0.20840708719370893,0.21350706692635313,0.19028568724946915
