dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,-1.3258766423707495,-1.2517726701040597,-1.12505389278044,-1.060483095647545,-1.0071381402545758,-1.0873834464103913,-0.9926377033379088,-1.266833931841616
food-related / eating-related / kitchen-related,-0.3963098709609425,-0.3095177420113848,-0.19960171947077732,-0.05542872332768467,0.029828410856946097,0.030226798889142925,0.04982196078098999,-0.04221819014475048
animal-related / organic,-0.336410116575218,-0.28682863232568945,-0.15394453568519584,0.01714039612312601,0.0896337411415451,0.20574438280663754,0.20114854688716932,0.1750044519212639
clothing-related / fabric / covering,-0.37867469190332215,-0.3547749704285821,-0.3106120364981788,-0.2530126859227164,-0.1678871241547908,-0.1301718267216576,-0.12146320438253433,-0.1235366162627114
furniture-related / household-related / artifact,-0.5303704150224715,-0.44556814516486276,-0.32992962679504423,-0.2503891382011192,-0.18067999482761077,-0.20709492200840374,-0.1811814334818458,-0.2436451961535342
plant-related / green,-0.16086365523240542,-0.039104758243226234,0.005374458980399455,0.091068635944767,0.16413312060361418,0.10568307672064581,0.0890846987311964,0.08364827995044033
outdoors-related,-0.4656276312248995,-0.379781399228873,-0.3245144516854275,-0.22999666367990068,-0.18277526936369703,-0.21336551640857238,-0.19218604353281044,-0.21078247024704977
transportation / motorized / dynamic,-0.26005908133524525,-0.19291203565759663,-0.08420893364376303,-0.001741497529631042,0.0762582459029969,0.14097696889909217,0.11088005919847033,0.15095458568466225
wood-related / brownish,-0.4124753846639959,-0.3828978308398143,-0.292651030454429,-0.21656976550548301,-0.1743421184880376,-0.15663003123128783,-0.12880673916282448,-0.24233169160053225
body part-related,-0.3032475444287108,-0.2578471002423466,-0.21420182059892734,-0.05976929933378394,0.03801366167115161,0.11053611290101673,0.10291434232000862,0.12518496718980465
colorful,-0.43776283561693186,-0.1654487203108379,-0.025961853281870395,0.0013529522842331554,0.014680877208544385,-0.005575063635702593,0.002704242197822948,-0.07511481521279917
valuable / special occasion-related,-0.44985846398846974,-0.40073807163616837,-0.34494164230623126,-0.2715231644312648,-0.22529823484089695,-0.24895757088768522,-0.18785501595002962,-0.3107841055194722
electronic / technology,-0.32174090294602453,-0.2642151728277906,-0.14554612372952058,-0.06719296669860575,-0.025237668674925384,0.012711654179893839,-0.01021924925745421,-0.02634258294753611
sport-related / recreational activity-related,-0.3934993369142028,-0.3651365393147372,-0.327080482777069,-0.31134597026559274,-0.3047133286535131,-0.3672581633202108,-0.30559795875246487,-0.40795504281132877
disc-shaped / round,-0.38401002264191786,-0.3746287795340004,-0.3330978880915316,-0.16702134604897156,-0.013710241709381288,-0.013427278095532902,-0.007796257773948101,-0.08415158337357131
tool-related,-0.3384270894319876,-0.32473888598048406,-0.24352987361900258,-0.20963926397474886,-0.1734460844367094,-0.13780391619021515,-0.10677761433663391,-0.14172216434685447
many small things / course pattern,-0.3852558929050369,-0.27278490456136817,-0.21821490236361596,-0.12857429959224986,-0.07202165710095532,-0.05652949761216863,0.0006579857847789361,-0.054516327225579087
paper-related / thin / flat / text-related,-0.33649181482022494,-0.33357605706702054,-0.24466646969791706,-0.15466332113799353,-0.11498858007709045,-0.13150974491949974,-0.11567121400935387,-0.12450500320242064
fluid-related / drink-related,-0.3076132212493561,-0.28729604279870635,-0.23977799628169416,-0.1961335237906805,-0.06867499428485102,0.016333034259620738,0.03130059384163175,0.027424770560306566
long / thin,-0.35488649872843614,-0.3397808966541789,-0.2452686215363229,-0.1491641152504979,-0.11733269657858059,-0.07154021067543748,-0.04775114143410941,-0.07705565435227713
water-related / blue,-0.21904130914716902,-0.18781338634623834,-0.18686823053794321,-0.16079754054582618,-0.11152837627793732,-0.1157873428581846,-0.13826794910756468,-0.09673713848939158
powdery / fine-scale pattern,-0.30530891987994213,-0.2115552163568717,-0.13919730875132252,-0.10408299606599947,-0.10401557997913935,-0.1369170391443233,-0.11011554980293115,-0.16966401999520264
red,-0.07572421618023917,0.06317553562782552,0.10959264879478281,0.13734544440678687,0.1736925119296442,0.204437315068714,0.17756991035119363,0.16641725757629433
feminine (stereotypically) / decorative,-0.29423885289743557,-0.2893185806293195,-0.25079308050833893,-0.22085572828405997,-0.19313412263134921,-0.21626494141133734,-0.20069620760296547,-0.30368319354943973
bathroom-related / sanitary,-0.27959019779218264,-0.2523454212358798,-0.2368938370619582,-0.2291372986094795,-0.20068907495971855,-0.23623451145121455,-0.2166406152055822,-0.3010312925860623
black / noble,-0.3170277890121067,-0.2805918275627661,-0.218326918911403,-0.20675318420359035,-0.18874694187352103,-0.19210917003776795,-0.16140823075195887,-0.26151953826496244
weapon / danger-related / violence,-0.24134566240661415,-0.23617829445887328,-0.21941331858523516,-0.20720362827956573,-0.1855607989683612,-0.21887949190810385,-0.18123219110309852,-0.2713634278796264
musical instrument-related / noise-related,-0.2127902018194454,-0.2054597157699969,-0.184313416988086,-0.17930776677797278,-0.16689783307994732,-0.17966248261811701,-0.16632757870702797,-0.2380609837853611
sky-related / flying-related / floating-related,-0.16915867901558412,-0.142244082050607,-0.0810411702446916,-0.03643869363719254,-0.014844617821115236,0.015375149884108041,-0.001457089824486557,-0.012083239979592042
spherical / ellipsoid / rounded / voluminous,-0.2295631805913121,-0.21260026066128668,-0.18231965351466473,-0.10498438779026276,-0.01235608765117191,-0.023613719610969364,0.027800366726072112,-0.05118236312613811
