dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,-1.3249024547120798,-1.3237524205340936,-1.1411963221719557,-1.3674866360916993,-1.3358935020434255,-1.2264229772154756,-1.3737221296503699,-1.1740157753731846
food-related / eating-related / kitchen-related,-0.515032675988127,-0.35840808945944613,-0.41645504442750325,-0.22816216840830905,-0.19304234673591503,-0.32887303504100496,-0.17191448852971325,-0.05241566538127174
animal-related / organic,-0.3634864890835736,-0.31866122224590376,-0.2547756455264414,-0.05086345939426162,-0.17956285277594164,-0.30488508491646327,-0.2213506251037849,-0.5602313614804071
clothing-related / fabric / covering,-0.37955426193410724,-0.4079901409461415,-0.35203412217996677,-0.31192149794843016,-0.25503998340533474,-0.21954628857729208,-0.209835549261143,-0.30532294138904015
furniture-related / household-related / artifact,-0.5395823774564885,-0.5222831549862563,-0.4347632350233117,-0.5194104235305728,-0.32746856256014945,-0.25118197647337626,-0.31755572458990833,-0.34384213927083396
plant-related / green,-0.3530488019080871,-0.2947756558010646,-0.2681728333102984,0.02303798353969133,-0.04201511389844148,-0.20320874168961667,-0.1653239013884289,-0.29013452140323337
outdoors-related,-0.46744067499164355,-0.48489446591149865,-0.4536648269300827,-0.3945973992757661,-0.25999228377701966,-0.4177183212255715,-0.39130802382344565,-0.4683137589146926
transportation / motorized / dynamic,-0.2600590752820626,-0.29264486784222643,-0.23477203471552865,-0.25878813018497904,-0.19100031792875094,-0.2644588819859728,-0.26660500105736196,-0.12047147643663014
wood-related / brownish,-0.4544377260996224,-0.4118467493530431,-0.3451903441538544,-0.33211577677988435,-0.2660917711884456,-0.2944099756456948,-0.21249445544389856,-0.22599956875653526
body part-related,-0.30398270450961373,-0.29314098987018666,-0.2523949283209521,-0.17713924036540596,-0.1634212533407844,-0.09939182962284643,-0.10071723902555485,-0.15021894041101747
colorful,-0.4424561488774552,-0.4540575412999732,-0.4247100751201669,-0.30553614128741513,-0.20734597857837045,-0.38340689751840396,-0.1004000539054426,-0.25221135243324033
valuable / special occasion-related,-0.4527967753008868,-0.44961854852421257,-0.4420936538659086,-0.406744330698096,-0.3372373268696658,-0.3684339547884812,-0.32447677724205226,-0.29427420131582394
electronic / technology,-0.32174090193931826,-0.3315981214751955,-0.24931934000861222,-0.33557460425295793,-0.2849739838038432,-0.21327899249859827,-0.28801916845413045,-0.20023984461896704
sport-related / recreational activity-related,-0.3934993349633489,-0.3967394293579969,-0.3770492202775926,-0.3726125908140674,-0.3884619607862565,-0.4426275331327978,-0.37503740739463365,-0.39864195503860844
disc-shaped / round,-0.3838048918825703,-0.3731871938837299,-0.33559554506502476,-0.31983012625313934,-0.23748321617683543,-0.16030320707549306,-0.22463344087077464,-0.2305600225047506
tool-related,-0.34192309515566843,-0.32646416842139714,-0.24862111104598705,-0.26550471369987627,-0.2856980989955282,-0.24541950800276235,-0.19348316382663566,-0.23814557375277334
many small things / course pattern,-0.4084255973754316,-0.37041209451395085,-0.3914958548966836,-0.3296949894633361,-0.19670079825800424,-0.35814457228072505,-0.2155832140366034,-0.24179930711031639
paper-related / thin / flat / text-related,-0.3443928364810014,-0.3449757714037478,-0.2934404406266491,-0.31926810458130706,-0.23414543558839251,-0.22856704126599325,-0.17911358471292238,-0.24124334838143158
fluid-related / drink-related,-0.3110743058013443,-0.29710837265826706,-0.271748426713615,-0.28902652944960616,-0.16244861164169544,-0.08536387068755213,-0.15013397837479525,-0.016186580821925478
long / thin,-0.3573579529662625,-0.3562411043968825,-0.24107149702291109,-0.24693614148241982,-0.19391893492409928,-0.2355447955174541,-0.13301874392366253,-0.19886372723025225
water-related / blue,-0.21904130944755518,-0.2411078172881862,-0.20233423388967786,-0.23571936257700776,-0.14898003577389973,-0.23985433879409923,-0.1934551629104897,-0.18471145463121696
powdery / fine-scale pattern,-0.3075000425551955,-0.2325855297474111,-0.23152593748083072,-0.14164059902480575,-0.11503317074479669,-0.1781171785049256,-0.12168518001060136,-0.2506832185823531
red,-0.19586694199074062,-0.14181540452461516,-0.15572822409914644,-0.09672048651944243,-0.05733783863840047,-0.09921891671073713,-0.054916947938810745,-0.020765433645852482
feminine (stereotypically) / decorative,-0.3138702611606121,-0.3022770958751204,-0.2866895498464963,-0.23836052175681255,-0.2321972067989999,-0.23690605426992883,-0.20589327465862461,-0.2475737501321087
bathroom-related / sanitary,-0.31416201356108675,-0.2513406779913474,-0.24134032642751357,-0.2652986826110375,-0.26267439489938194,-0.23580447158336626,-0.2256986883692207,-0.2624020895346304
black / noble,-0.3170277887127875,-0.2843231131418278,-0.2589201128720593,-0.2895846994010802,-0.29185120424680155,-0.2119379693401644,-0.2812683408482626,-0.2802880525853313
weapon / danger-related / violence,-0.24134566441450556,-0.23711706374483077,-0.2201237021165523,-0.22800507564301498,-0.2260250239598589,-0.24548007968283692,-0.21543012739370004,-0.25271981420096656
