dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.05452517346628871,0.14384684540013515,0.302125496082568,0.39775088766749656,0.4603120064595726,0.5254624385801643,0.5458963846141183,0.6252465454070303
food-related / eating-related / kitchen-related,0.12248066600326768,0.21690208024521418,0.3387450267645884,0.4839943097487265,0.5806609201498982,0.6455437897511166,0.6316144140175146,0.6901020732755723
animal-related / organic,0.041306779850663555,0.09303306444064396,0.23752305692022857,0.41454230007602655,0.49173436303700435,0.6609833171882973,0.6300307626040214,0.7164131640789909
clothing-related / fabric / covering,0.03574065743866417,0.06800459864806518,0.12112848477935112,0.18498179791139668,0.2827042490725117,0.36795002055299075,0.35080748819644414,0.4778483971477411
furniture-related / household-related / artifact,0.018567510623942463,0.11206311788925005,0.23921745345984513,0.3302805384327522,0.4037473437912239,0.44918681885128864,0.4397890870904325,0.5433156393684713
plant-related / green,0.2236493071073501,0.3461613916384547,0.4048341833956205,0.4948010576835338,0.573167882229844,0.5585694518979086,0.520356412918427,0.63739903444051
outdoors-related,0.05008187675286724,0.13799828611427345,0.2085775918572823,0.3089349673413453,0.36454083576343066,0.41294178080427624,0.3937530920396932,0.5096626187592044
transportation / motorized / dynamic,0.05505665011461702,0.12152764289980778,0.2409335731561233,0.33291198019554136,0.41430448300883005,0.5217344296302999,0.4695742321475068,0.6056413418648912
wood-related / brownish,0.04062196120486217,0.0762367629920937,0.17684502330056384,0.26109436824769183,0.30882259730338024,0.3813007000160339,0.3824807794328329,0.4257311375002548
body part-related,0.005817558664458655,0.056007024744238576,0.1087627841412202,0.27110186642667167,0.3687044545358308,0.4820029686502163,0.4535202167028345,0.5631179984193484
colorful,0.00949302797513818,0.28514379107857557,0.4346095674158742,0.4693059117730545,0.49061318017846844,0.5313114619657984,0.5103642494534992,0.5713985389946195
valuable / special occasion-related,0.0070794701467867815,0.058687720170985,0.1273578962537606,0.21151245786247663,0.2592637771743673,0.2957080658971174,0.3267811296237948,0.37439196370508276
electronic / technology,0.02072436229259267,0.08077011334094708,0.20521186407633718,0.2867104008144524,0.33635554420207214,0.4178033332830128,0.377289653810739,0.49217272859983074
sport-related / recreational activity-related,0.004852279999056908,0.03709386628017408,0.0930843988078972,0.1189808682099337,0.13037383985088435,0.1535684793196731,0.16199657564553283,0.20631992124156717
disc-shaped / round,-0.001532769732276451,0.011270701525344373,0.0600694344298055,0.23617467550590876,0.3936968032034843,0.44742724667554234,0.429871935841902,0.48056616532329055
tool-related,0.004011798664413924,0.02297693222466679,0.1131775298754818,0.1546390358582922,0.19284038470167664,0.2792028867304196,0.28085906120525705,0.3680635416770556
many small things / course pattern,0.019505371167244046,0.14299719235596298,0.20238113143362746,0.2984812337084496,0.3625709707634496,0.4300213348585108,0.4536303028737376,0.5126638519120457
paper-related / thin / flat / text-related,0.012210388087511403,0.020130577522027737,0.11385004117823327,0.2102995934310241,0.25688910901605244,0.28921876687382364,0.27687589619713704,0.37875247242636345
fluid-related / drink-related,0.0028047589735776812,0.027485385977836674,0.08074373353124109,0.13335055645012062,0.2622232976185104,0.39378061261063324,0.3819229677308319,0.4802497450335561
long / thin,0.006225671164401647,0.023259792556582615,0.12798598960316776,0.2294247890800859,0.2710595779657158,0.36012034654886294,0.3625519987731666,0.43723315778068506
water-related / blue,0.04616679628878362,0.07506633311682975,0.08603226148276177,0.11478491266351254,0.16664631172491928,0.2171497299488493,0.16868628996764345,0.3373868162151039
powdery / fine-scale pattern,0.0037278503069626545,0.10495686989677877,0.18272616700670596,0.22451382294944566,0.22662136865393456,0.24350017968111082,0.24742573328512818,0.32289615957286266
red,0.21825640547299385,0.3564230320125109,0.41151803069400217,0.4442198704704049,0.4831560386251793,0.5484201741875362,0.5075733842100654,0.5826996563734481
feminine (stereotypically) / decorative,0.02780803476641669,0.03391827400619307,0.0831957487492948,0.12014670585259368,0.1550581473182494,0.18337441095005202,0.1747075230560371,0.21392628394296387
