dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.020175936432436835,0.19982275066942753,0.37652092724690706,0.49236418327418346,0.5422906275433222,0.5795810312188643,0.6038461687155185,0.648738312358217
food-related / eating-related / kitchen-related,-0.022928217458137622,0.3259196905668098,0.4572427430890694,0.5680051904864853,0.6275357154807288,0.6362269316319706,0.6590341141885782,0.7013740507987084
animal-related / organic,-0.042241561899776035,0.09139326990797803,0.3825727335484755,0.562480770475924,0.631412656684309,0.6380694668115595,0.6581089056709982,0.7708902957565933
clothing-related / fabric / covering,-0.06919104155613545,0.01560715139429566,0.10906041188424256,0.26366283815269476,0.39869602865742876,0.4171579501754847,0.44314398228711954,0.5082428982609761
furniture-related / household-related / artifact,-0.0735457406103887,0.20672000060175635,0.33617662695774236,0.432978679835916,0.4671020260747599,0.5256030517634083,0.5408544612316105,0.5561807628558629
plant-related / green,0.30711790157027713,0.3978032959837253,0.4823539197413673,0.5747401294105459,0.5963319946650346,0.5936349014593522,0.6267524867470546,0.6661997264235487
outdoors-related,0.006370079328033162,0.12718437617602732,0.2521642084516824,0.3665740146660756,0.4134636728026201,0.46179860839377385,0.4977721656006774,0.5277799074580252
transportation / motorized / dynamic,0.0021320126397647134,0.17386556858595462,0.353672704595835,0.47913584806033843,0.5613748739119622,0.5285703622184419,0.5601533471932304,0.6497183475183936
wood-related / brownish,0.019648242611245325,0.11224715727960333,0.24256272514732222,0.30971716719148024,0.3822809671186171,0.4204193631123223,0.4020642988854841,0.44020076304159206
body part-related,-0.05324022051062836,0.04582742493422687,0.1464411653215132,0.3643788472025486,0.4632673495201378,0.5249279885780733,0.566908523112034,0.5896590713825526
colorful,-0.034903625218502064,0.28989391043862867,0.4415083323018626,0.4805012128333769,0.4774423245807783,0.500775991971455,0.5455732837494293,0.5790491610587383
valuable / special occasion-related,-0.039299908408028085,0.03838004850405345,0.11249326451796829,0.1788788366663138,0.23873770898571064,0.2791275067047069,0.28904596814967,0.32389270080355514
electronic / technology,-0.04284407579141321,0.08549157235221351,0.21448759626887265,0.32090749945061087,0.38019177495173795,0.39273896057846236,0.4244337527674965,0.5117279655889567
sport-related / recreational activity-related,-0.06261117563278669,-0.004753190598019952,0.037708051212049246,0.03893981482848441,0.062451692178093064,0.10778220622347243,0.12409691084435359,0.1555942958834383
disc-shaped / round,-0.04759575216981236,-0.039040906043477965,0.10101044450603511,0.2549208648624097,0.3880170233733784,0.3984662227719893,0.4230883430694126,0.449302047716699
tool-related,-0.04267793951812533,0.022743174240379905,0.11086773160078758,0.1796945183721385,0.2728965954274751,0.36152894750045644,0.392584421072969,0.4120302713404301
many small things / course pattern,-0.05987524335599113,0.15584613739029823,0.2755644205846893,0.3431601878457124,0.3952278682953386,0.3865980402809666,0.40672318616430525,0.470116841990575
paper-related / thin / flat / text-related,-0.034017867635474784,0.03676615928554883,0.11562063753580812,0.18395826949614139,0.25143336399535615,0.3197673928890681,0.3231302308180882,0.37507377506266426
fluid-related / drink-related,-0.03814298049273042,0.001761365345974908,0.08510308751916047,0.21104659004478094,0.37660169679646327,0.418140094401669,0.4402262315628997,0.49556782024976365
long / thin,-0.03845877178636938,0.07602693975306354,0.16115731968664943,0.26455535563699584,0.33120385713392675,0.39521248916855545,0.39405547746788516,0.4185548606518318
water-related / blue,-0.013915097000177202,0.05583274841150284,0.06821426393859517,0.11907735436093318,0.1933728258268326,0.18014760337468178,0.22086120858470631,0.3106496124073842
powdery / fine-scale pattern,-0.01952229139393654,0.14155080008872017,0.19111678744840938,0.2384700775702704,0.23284765736658314,0.26431569474484123,0.2941983291076702,0.33088855494620684
red,0.3350093919677872,0.41039281872737987,0.48292324629023564,0.4957723396435491,0.5245783427725146,0.507992435352371,0.5304749564145936,0.5374862609538563
feminine (stereotypically) / decorative,-0.005883138907698338,0.03134418448171929,0.07034106416527564,0.09217604168065235,0.13552176606637117,0.1324122148411206,0.15537780757305714,0.17928785069527786
bathroom-related / sanitary,0.01529079995444238,0.025445209717748142,0.03830940159859282,0.06261964289505965,0.10173152544202732,0.145737815983289,0.15140733608687737,0.15800790691209546
black / noble,0.002510679086025558,0.08019368675827017,0.0860720194835933,0.12925512439229117,0.1496118697903726,0.20290074107542355,0.1897674978562554,0.19794324679834358
weapon / danger-related / violence,-0.016369159192526773,-0.013402055485988084,-0.001008095083453764,0.02399275145367725,0.07924083375063826,0.05988747522804862,0.06184670938012463,0.09912704280945053
musical instrument-related / noise-related,-0.010806536133470546,0.005342677120397576,-0.022057973752610614,0.02976647906546891,0.02505853457375138,0.03439206416779189,0.021795890537603557,0.04971794409421294
sky-related / flying-related / floating-related,0.10471644094042584,0.08678922371054557,0.11736586817617556,0.2110611936448989,0.26653970068281757,0.2930848492280068,0.27707476795807956,0.3464947063839889
spherical / ellipsoid / rounded / voluminous,-0.01332362802461634,0.025223052565498883,0.08051263439259948,0.16862695553911936,0.23288308205291114,0.21485449052709443,0.23770305886459814,0.2806667619101987
repetitive,-0.014367963758673986,0.08436373019569979,0.12629409431534983,0.2104020671347108,0.190889326980641,0.16644989511008068,0.16943262675251045,0.18069163082206335
flat / patterned,-0.011672441296305337,0.03577021741329513,0.07168260193525679,0.10396373510512964,0.10243702701230446,0.15120819655710555,0.1442441595224448,0.18651630359110163
white,-0.0006050998721740308,0.039335295187602856,0.07658453684508393,0.12974189059272523,0.21754183529325477,0.25814713695908387,0.24926304736966295,0.26356686946393665
thin / flat,-0.013008246548008561,0.003717795456701434,0.029284596329236114,0.07629737011630704,0.09590054620850844,0.1460762872153837,0.1451633400888625,0.1431480867381411
disgusting / bugs,-0.02949173616050277,-0.029342489472040455,0.006517603814127993,0.05381551963352418,0.06401123969933423,0.08569536955726052,0.09561960625327492,0.27047017134003537
string-related,-0.009512208820768798,-0.04021009898037965,-0.03201971081093956,-0.006244109440061518,0.012976978196852451,-3.8938797381316004e-05,0.01949002515995969,0.09775485713989882
arms/legs/skin-related,-0.0407370973279797,0.004693436373602244,0.004210666034036881,0.04037648633126044,0.0849911377752128,0.08701373843936955,0.08450615818295766,0.14882909895504973
shiny / transparent,-0.023153544638210198,-0.022534315302345963,-0.03637280857971744,-0.023565278216597853,0.004950452405626404,-0.011752348800896695,-0.026279071182034743,0.05446688232333992
construction-related / physical work-related,-0.015608472913225379,-0.014908110407596997,-0.034700146428402856,-0.025271481337946898,-0.0003537217597678999,-0.009534956965778617,-0.027970619078108317,0.03257918306661657
