dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,-1.3149763825825134,-1.3753884297145484,-1.1876517582419681,-1.4091994712738476,-1.3892517182893669,-1.1999125757953988,-1.394966432047703,-1.0191153341340202
food-related / eating-related / kitchen-related,-0.5219276372926218,-0.3034452524110478,-0.4359234486041066,-0.25196790858847096,-0.21914294346644514,-0.3128922089577093,-0.18645807714367946,0.014779198163303198
animal-related / organic,-0.3421173932993149,-0.2765222492271038,-0.2606032525977764,-0.05465545864512111,-0.17856734307449695,-0.28854632486885623,-0.2296232275723462,-0.43910883404785417
clothing-related / fabric / covering,-0.37374597941270604,-0.43929034236301057,-0.3656503479859292,-0.32387072377349435,-0.2688561385730437,-0.21128941004168245,-0.220311097760167,-0.2353744481619584
furniture-related / household-related / artifact,-0.5341844368513444,-0.5281825834848468,-0.4539209558977897,-0.5545724673588297,-0.35588344674511063,-0.23838206044943933,-0.322052008051916,-0.28488734280213257
plant-related / green,-0.36756197890774867,-0.3165401012303324,-0.2697162023987476,0.0005727760860534392,-0.06574664763220484,-0.19136870169769238,-0.1637679394406526,-0.20673575148413215
outdoors-related,-0.4682709159196292,-0.491567298035245,-0.4670338098562892,-0.4216154909004288,-0.27794762951909746,-0.39970698861663645,-0.40316228214981087,-0.39246877434851757
transportation / motorized / dynamic,-0.27178551573855936,-0.29950965350813785,-0.23811294360552648,-0.2661206713822697,-0.18073884318894207,-0.2534460427631997,-0.27713196290181186,-0.06737421619431694
wood-related / brownish,-0.4663351613673923,-0.3851392867328336,-0.3613161775281324,-0.3526671239899388,-0.27355382918656,-0.2843905246635645,-0.21573514569921448,-0.1617978630226744
body part-related,-0.3156644266666997,-0.2955945894342531,-0.2652335591330368,-0.19448828458974088,-0.16546028689027814,-0.08813541563046812,-0.10263767081560671,-0.0965714271374194
colorful,-0.46630937960642993,-0.5032123520469669,-0.4657317474274274,-0.331355454962877,-0.2401061767178303,-0.3708680986539661,-0.10774107096494001,-0.17631682620209577
valuable / special occasion-related,-0.46863062758314133,-0.47272003619251657,-0.4559337306114759,-0.4365131649638261,-0.34457560955422895,-0.35524769161359604,-0.3278154564674498,-0.21707341710173478
