dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.028572399524121585,0.24240048817642568,0.38472925925444823,0.4933434081584755,0.5449232058617539,0.5867829571020267,0.6107117360488051,0.6494991634348738
food-related / eating-related / kitchen-related,-0.016618316877131,0.3421829329297451,0.4656640802251581,0.5686431546993668,0.628730707732071,0.6455351762559488,0.6610538260091592,0.7023268095736919
animal-related / organic,-0.0354694241741378,0.10879564262658144,0.3917426341595737,0.5653935455402455,0.6348030465507122,0.6687923202455331,0.6916123496246479,0.7752318825617511
clothing-related / fabric / covering,-0.06210636949684849,0.02369112693697124,0.12448951722439112,0.26953971663457726,0.402505597488857,0.4359818631260957,0.4546930787411629,0.5087118982676444
furniture-related / household-related / artifact,-0.04726265372020788,0.22852735613063074,0.34822956514861686,0.43737477811006353,0.4686975091201129,0.5200854164876836,0.5341631226799926,0.5485385412484296
plant-related / green,0.3121497948116584,0.40973056575624867,0.4858734391489339,0.5753709185844713,0.5978698646897069,0.6014320627599095,0.6431126802587391,0.6658723617037857
outdoors-related,0.03141343992264274,0.14611811101165376,0.2539025785103554,0.36813364341434673,0.4146847672702415,0.47302806087232474,0.5096536048440086,0.5241917191951156
transportation / motorized / dynamic,0.006063075056346501,0.18845637981405358,0.35885764187505004,0.4826271329019461,0.5655003481820084,0.5602297078890626,0.5879971405658461,0.6506684545101886
wood-related / brownish,0.022345173686233157,0.133648521965187,0.2522620887355487,0.31489017736274094,0.38536220563967677,0.42408748834958854,0.41563225050505137,0.4396727213312211
body part-related,-0.04741527769194228,0.06938087573349819,0.15806262490105202,0.36787201111334034,0.464055267129665,0.5465355830126178,0.58424348620529,0.5875859414929047
colorful,-0.02942070218374445,0.30800072170508186,0.44753558342462235,0.4811227426595737,0.4804971674603866,0.5085885718193026,0.548382323209155,0.5719589213900916
valuable / special occasion-related,-0.03201967927548736,0.05767091526330047,0.11491670315606739,0.18484667336223085,0.2444157052887693,0.28776668841697395,0.28340907566459994,0.32213577185785247
electronic / technology,-0.04172335007928256,0.08777949672039947,0.2195296805967625,0.32680658945873214,0.38102870321539395,0.4089212369952057,0.4452163503156326,0.5097487565496801
sport-related / recreational activity-related,-0.06305362977233352,0.00996630162839741,0.04288423004971627,0.03955104982284312,0.06495278995175366,0.12219386617679362,0.12396774489490617,0.15111294993001595
disc-shaped / round,-0.04593551835271339,-0.03429527901946964,0.10228350142659379,0.26158244906052175,0.3899310177669828,0.41506231120635056,0.4270732746938056,0.4503276253362188
tool-related,-0.03509626299424538,0.0370816525891531,0.1152956145662611,0.18150148494876941,0.2759490510245748,0.3707910211159117,0.38993871289574433,0.4032152614566698
many small things / course pattern,-0.05280012574320379,0.1630563197581391,0.28265833479262387,0.3459443112013426,0.39557874363816425,0.4030061569060674,0.4155836115768891,0.4731220507190158
paper-related / thin / flat / text-related,-0.02726062653083481,0.047737739791077836,0.12366814092240012,0.18597816315316537,0.2528756914399898,0.3357763015189744,0.32938722097894296,0.3773178315117822
fluid-related / drink-related,-0.03188014629792931,0.008604756146307258,0.09363992373709441,0.21881948588756356,0.3817835099389436,0.4500148357010868,0.46848901124131476,0.4954523722247154
long / thin,-0.03679344353639334,0.09146405100403773,0.1668280579847215,0.2667774556007191,0.3338532842836582,0.3804081707469992,0.3875390068076755,0.41730458775432766
water-related / blue,-0.008840301299863318,0.06307666840409018,0.07287520986601163,0.12010211252444151,0.19331071889657817,0.20691312102594947,0.25186025038367543,0.3147189284485016
powdery / fine-scale pattern,-0.02068452264756958,0.15815876974416293,0.19427006849332323,0.2419779090576426,0.2349098976476661,0.26652138491568755,0.29799062661777914,0.33469019495447494
red,0.34146547599766686,0.44139375259566005,0.4894768751149304,0.4969751208633058,0.5256475677497796,0.5197951407374009,0.5374604750881685,0.5403203552260327
feminine (stereotypically) / decorative,-0.0007347872347313822,0.03971426566272416,0.07664172700854646,0.09503481089656944,0.13598346498255112,0.1329865774200298,0.15028727570398748,0.18316663705141514
bathroom-related / sanitary,0.02143282375904638,0.027860693091893495,0.039382447232749376,0.06685245319010637,0.10156847593572982,0.13179312768645685,0.13925135968386004,0.14950547828476343
black / noble,0.02772295475444614,0.09523959701413315,0.09073482895761215,0.13173904315578042,0.15442785298710326,0.2069822594148904,0.19191536422486863,0.19585592846953093
weapon / danger-related / violence,-0.013862910979979937,-0.009513032621278016,0.0003980416990340241,0.025642990441428103,0.08049781472243367,0.07183285802212167,0.09097900043902911,0.10195711562210708
musical instrument-related / noise-related,-0.006001612540649959,0.006550615330977949,-0.017269538094239412,0.03323165090484148,0.025417396362037093,0.045330660206004444,0.010110895952633592,0.04885210634892494
sky-related / flying-related / floating-related,0.11552181230204242,0.10621795916925394,0.11630052159999842,0.21549565642261376,0.26866316741884455,0.30713105269957025,0.2754066256679293,0.34873707084311173
spherical / ellipsoid / rounded / voluminous,-0.013870704979975002,0.03037949388755561,0.08533397287978917,0.17033672272835948,0.23422893505654835,0.22618448995905985,0.24264196467148222,0.2766461241099019
repetitive,-0.01593121448718592,0.08440092546828068,0.1258323264725541,0.20905147499068183,0.19144624885818967,0.16661567488699433,0.15680389825991997,0.17081377541888282
flat / patterned,-0.00934244595170346,0.039300744820457346,0.07509647096153245,0.10414712844813442,0.10587445829872885,0.16262476488908656,0.14255198738762762,0.1784753620999191
white,0.030619532580768404,0.060030400645897916,0.09300674451297768,0.13370827776360641,0.21903871872228703,0.25705892921225404,0.2569726069557155,0.26075461795065624
thin / flat,0.0006706584123394421,0.0031569180139757293,0.035203060511455685,0.07719022532862765,0.0987780402756201,0.14471246582254377,0.1335758519172682,0.13925469293775716
disgusting / bugs,-0.029019909707023627,-0.02460508081772448,0.011122700928524788,0.0534775442585522,0.06814458905071834,0.11396427283543238,0.14586790198610006,0.2759770039836881
string-related,-0.010580638714529545,-0.04107408251099739,-0.034061573425711665,-0.005753467832659165,0.013151778959565541,0.01659801708304561,0.04162896838097472,0.09882187621005178
arms/legs/skin-related,-0.04755517917486708,0.01195179078886579,0.0002702290439220434,0.038494155189594294,0.08352651544389444,0.09701384946546925,0.11436028532020168,0.1596868692301186
shiny / transparent,-0.021726414887093416,-0.023043484349263288,-0.03161428031930117,-0.021734732532521183,0.004371006672212819,0.016463337806589463,0.007075128813724041,0.058844170810111195
construction-related / physical work-related,-0.016665420808149378,-0.014185400928644464,-0.036458401249315465,-0.027453210392731787,-0.0014412894743383365,-0.0027074607352725487,-0.028531158213906227,0.03621899471760841
fire-related / heat-related,-0.03795502924041981,-0.02693846462716758,-0.03179653030163315,-0.034860656634248435,-0.025126356311322585,-0.04367605886829441,-0.020981567510136245,0.004510993239708683
head-related / face-related,-0.029743347549033648,-0.024277644913085296,-0.023074773578051655,0.0025926629581446204,0.049299844610382226,0.06652805365599425,0.08290606220785138,0.12330481066082637
