dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,-1.3855668201049638,-1.2492542559213988,-1.1396716777210387,-1.059162991718575,-1.0117708901409648,-0.9690462868550427,-0.9487656154934743,-0.864674755761218
food-related / eating-related / kitchen-related,-0.3777244547204359,-0.22378355384305904,-0.16732041603173786,-0.054039531439801225,0.02692525115276545,0.07599809926344403,0.061920220517792335,0.13595893506105705
animal-related / organic,-0.3357372864945338,-0.19995646181075344,-0.1349909765091175,0.02724635463535352,0.09746018643000032,0.23546422679246293,0.18280017081018218,0.2884725729589195
clothing-related / fabric / covering,-0.40085205879305086,-0.33429225533506535,-0.30596656837704805,-0.2518065731769179,-0.1701097176190074,-0.11870645356175391,-0.12769379119131763,-0.0072304632844482075
furniture-related / household-related / artifact,-0.5625203286096727,-0.41654401165892185,-0.32323623105288024,-0.2503187474876374,-0.18415858199824076,-0.17402121761705303,-0.1811169497578331,-0.07854548308407727
plant-related / green,-0.19767902210086796,0.03871670142481021,0.05473928686976415,0.08210258099618406,0.16370065710459136,0.11040498286281819,0.07822307399550399,0.16747152070067617
outdoors-related,-0.5204722518937157,-0.36638029295646013,-0.3227946125031447,-0.23333685636323986,-0.18218652179072947,-0.14994931856871574,-0.16764166971603633,-0.08252150273585235
transportation / motorized / dynamic,-0.308619113996333,-0.1678567813027072,-0.06494756245150723,-0.005039089672496555,0.07350780875574037,0.14264063293678153,0.08329398799190924,0.2131729616827348
wood-related / brownish,-0.46732959789546547,-0.3353335547471852,-0.27401743132655465,-0.2279705215195189,-0.16496319529288384,-0.14182152375045454,-0.12899474186953985,-0.10164509873100402
body part-related,-0.3253152196695357,-0.23642901316729148,-0.19491949835015698,-0.06438491512109779,0.04769189998169876,0.09398582802846034,0.07605990752892255,0.19025837775804688
colorful,-0.5259648300210757,-0.13130210891515626,-0.03270184436941004,0.006127085559307743,0.01360810478278085,0.040791126282419654,0.011251676732792593,0.06168877190819544
valuable / special occasion-related,-0.5005367525232491,-0.36311128527161585,-0.3188993613021669,-0.27572263983107237,-0.2240471153044037,-0.1957261655818885,-0.17291574348525685,-0.13157901225623525
electronic / technology,-0.3524403870544286,-0.26040130971505837,-0.12162311538190362,-0.07587710259557912,-0.017304458717364968,0.009307712531563483,-0.03560888568413367,0.1128288918666136
sport-related / recreational activity-related,-0.45539598101103596,-0.39683494615193204,-0.33813668570992084,-0.32355317133116923,-0.3083292271382496,-0.2974431387721983,-0.2814452113572925,-0.2376789554957206
disc-shaped / round,-0.4153100860005847,-0.4094840165198219,-0.35862573832559286,-0.165415971178279,-0.009432356669352604,0.023651536645261317,0.003240952531450292,0.04278268400682439
tool-related,-0.37005819279315366,-0.308422928509251,-0.25426777853681837,-0.20445740933452172,-0.16696126319613547,-0.1109819033192978,-0.11059434175218597,-0.030773808216675302
many small things / course pattern,-0.43183127467311677,-0.2922008869608588,-0.1991250203416477,-0.12803300395870698,-0.05897194560950436,-0.025613142002888445,-0.0120361046778803,0.015344871211781075
paper-related / thin / flat / text-related,-0.3591685425858797,-0.30103251533233477,-0.20815448628025757,-0.160139256446856,-0.1188707210012494,-0.0960696673468997,-0.10815843283370019,-0.02815424227820862
fluid-related / drink-related,-0.33961988301581836,-0.27324698785849577,-0.23550291350289654,-0.19467496661907835,-0.06861946792257023,0.027086466126939768,0.013155332633614125,0.12012025241891033
long / thin,-0.41602966850176015,-0.3647050385745081,-0.23808805057348437,-0.15336750316361614,-0.11410174272895612,-0.06949700701902195,-0.0672606853002422,-0.007787194820753962
water-related / blue,-0.2532194106629624,-0.21686831167140963,-0.19164890473571394,-0.16185556634729048,-0.11572225083809506,-0.11292544084117973,-0.14112087566808418,0.02494792935452894
powdery / fine-scale pattern,-0.3503295270295099,-0.21225792739225646,-0.12256342331448877,-0.10677878962277654,-0.10658311502456552,-0.09472869892489211,-0.09568058364903087,-0.061978694712522486
red,-0.04100880093088244,0.1715299597464236,0.14585585627114117,0.14539872163167988,0.1721424937650058,0.18932650562398945,0.144299431625187,0.16783781871857584
feminine (stereotypically) / decorative,-0.3211741955519334,-0.27449681641177115,-0.26248123106630583,-0.22942184997781045,-0.19300316771582482,-0.18191802793540157,-0.19176540519188112,-0.1516319103041599
bathroom-related / sanitary,-0.2931419450837969,-0.25634803605893275,-0.2300689793658759,-0.23226305538575076,-0.20332185723217888,-0.19989892053095581,-0.19307760434314925,-0.16445321615037956
black / noble,-0.291982655102742,-0.21346620975495312,-0.2117334238166364,-0.20596021580864465,-0.1909210265180108,-0.14716497004044982,-0.14280842836988272,-0.12773136862764822
weapon / danger-related / violence,-0.2830741587575003,-0.2590361017749192,-0.22975773112187414,-0.21053639968482019,-0.18617562885288064,-0.17832546738877508,-0.16797405316232328,-0.14403503236861148
musical instrument-related / noise-related,-0.24405770178883546,-0.21868690598284046,-0.1886029745843798,-0.17907261705075705,-0.16626932743163536,-0.15257827035416027,-0.14953093799446693,-0.1202515222555649
sky-related / flying-related / floating-related,-0.17232187320719627,-0.1045062374639838,-0.06842794908038918,-0.030292467939738943,-0.015531773427072126,0.033286357264930566,-0.005156880518022655,0.07916786015823629
spherical / ellipsoid / rounded / voluminous,-0.23725877917284732,-0.23240622496271057,-0.18080408182184948,-0.10556302399129569,-0.0075647752756276,0.02480369074424227,0.021388483294333405,0.04207948233585512
repetitive,-0.33492208441096705,-0.25826372034241984,-0.16569867824897044,-0.08689819460867554,-0.06684992638259457,-0.09511665556484217,-0.0920705186025792,-0.09013844691890882
flat / patterned,-0.2894655455600845,-0.24244829433358195,-0.16222114710773994,-0.08771840974659395,-0.11313282714679684,-0.1279046511783899,-0.13758251697311463,-0.11856519309680302
white,-0.1503594531927026,-0.15119413983703867,-0.15928446231207527,-0.1574908011539251,-0.08883872998757059,-0.010474152711581475,-0.03147531153333283,2.9812558579811466e-05
thin / flat,-0.19750172601038507,-0.22945369677862715,-0.18798481678012924,-0.1572345179466117,-0.1454381102970126,-0.14821079873213905,-0.1382000707784825,-0.0942123613179231
disgusting / bugs,-0.20414729507263774,-0.18415456511653638,-0.15782885822391912,-0.13622962292373053,-0.09271632682016984,-0.0553085453964266,-0.037100403592675635,0.05631413404688346
string-related,-0.2584419329350838,-0.2317945725989976,-0.21477669472992877,-0.18574949187562262,-0.14751389385578761,-0.14544073712279615,-0.13753399542318578,-0.09030895257683058
arms/legs/skin-related,-0.23896821384338995,-0.18999338136490906,-0.16551800182000442,-0.12674476957386482,-0.0953902120830652,-0.10899886700465089,-0.10319793273688282,-0.06946775476932943
shiny / transparent,-0.2458142931962981,-0.23286448813032945,-0.20102152789169248,-0.1929135353415221,-0.17849460566759068,-0.17047095512789245,-0.16668181292224693,-0.15383462088716193
construction-related / physical work-related,-0.31572381245093895,-0.2626623088302986,-0.242868340290064,-0.22589571442709633,-0.19326558133165816,-0.18816983130317233,-0.18628473880957985,-0.16215679147320228
fire-related / heat-related,-0.2093497351969842,-0.1918582240804516,-0.18865751436765255,-0.17763062911402527,-0.1718278199403589,-0.17525884108202794,-0.17169369576326932,-0.14919192355999722
head-related / face-related,-0.2081819719915008,-0.1925086310732027,-0.16135958777350123,-0.14701195477090723,-0.11074419590821072,-0.10368436543229298,-0.08730477597700115,-0.0807170485368165
beams-related,-0.24589534184214323,-0.16925592815642032,-0.05810652074735678,-0.03279228537341217,-0.01513064842386247,-0.007519928171758838,-0.018963901844449405,-0.004765210699788858
seating-related / put things on top,-0.2474772206691993,-0.20975259341863772,-0.13378033722557725,-0.11284829367063609,-0.08369277357320337,-0.07463835710236677,-0.08736298088980265,-0.05772748941971817
container-related / hollow,-0.2597580915932016,-0.24142716398906905,-0.2181718016921219,-0.19481632977622176,-0.16868777680269087,-0.12349032534518845,-0.13101758509021177,-0.12374819707974805
child-related / toy-related,-0.21050194731621885,-0.18414401508440204,-0.16841547556788194,-0.1403740321871776,-0.1585756995172274,-0.1420702657055577,-0.14813658222017811,-0.1261862141464174
medicine-related,-0.1983134328150613,-0.1830814756991468,-0.178410907211777,-0.17524395140327087,-0.17144284002665944,-0.1555960464876487,-0.14600612569213567,-0.13122611219409208
has grating,-0.203134897506702,-0.11481799230307721,0.011547503953364346,0.088157769204109,0.05264308667841111,0.01067368375689215,-0.03199012604234719,-0.0341443063763458
handicraft-related,-0.2324206660351842,-0.22103614619304368,-0.20169783317136303,-0.19515019844064052,-0.18710024742168696,-0.19071151687034282,-0.18556027763243543,-0.18696403744618006
cylindrical / conical,-0.2222903587336058,-0.19945816084312074,-0.18416372429359096,-0.18138700371222494,-0.17661846890915767,-0.172919799759925,-0.16416123364849056,-0.163092324620713
