dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
made of metal / artificial / hard,0.07898217790694023,0.20547256447330198,0.3087689786943622,0.3976832009625745,0.4467400021735511,0.49991840357309264,0.5249233554243224,0.5989304181820087
food-related / eating-related / kitchen-related,0.15262382195961938,0.30689829872071006,0.36180440867152885,0.47940529141324595,0.5667260844657825,0.6207723668545607,0.6057609660383277,0.676541843412767
animal-related / organic,0.056160588865054685,0.1769609966585695,0.2482203736231087,0.41332598520872155,0.48232682190789866,0.6276825286166641,0.576562715992221,0.6782571859338253
clothing-related / fabric / covering,0.02289353108029608,0.06825001610291981,0.10382464088445224,0.15619324573694432,0.2471900428147205,0.29350089079999636,0.2807811895454405,0.40127567133118724
furniture-related / household-related / artifact,0.04092788847664129,0.14983506446149097,0.24474605830356283,0.3166951500621358,0.38047728975385725,0.3980032001505226,0.3913861028331981,0.48804455733031016
plant-related / green,0.20660033119462887,0.4234761598412641,0.4430818734023969,0.4743310449194393,0.5584653833564073,0.5069330137859962,0.47676537264582386,0.5618182221460084
outdoors-related,0.04780683397054871,0.15565766394258806,0.21143372273907307,0.30297006180981034,0.35762529142050453,0.39022326310020505,0.37555553447690754,0.45521700781337493
transportation / motorized / dynamic,0.038860473381997974,0.14045844286018322,0.24298194812259677,0.3034439661843291,0.38028562220424234,0.4559485338525052,0.394544775721844,0.5256355562127053
wood-related / brownish,0.02522861085047503,0.11669057948985698,0.19088124113845656,0.23275359942334278,0.2976399392513992,0.3243367868772588,0.3403187477466667,0.36246462146916425
body part-related,-0.008997861201855684,0.06960169810411401,0.10748489886109738,0.23368484429114877,0.33810454672814894,0.3882769275578839,0.37151670066737613,0.4769683155213875
colorful,0.0010360941440212712,0.3382799800866925,0.44093942037871636,0.47898891845853875,0.49219493672070813,0.5153602587046606,0.4889400261533542,0.5390205833155066
valuable / special occasion-related,0.006735745539780858,0.0988911755388431,0.1465639245458914,0.1900756036762474,0.2390605852240694,0.26672103233425765,0.28764172450716025,0.3290128051303247
electronic / technology,0.028280466680978757,0.09128450665685661,0.2294393210942356,0.27355415884079237,0.3264813065941114,0.35786859892569095,0.316504433642959,0.4633731310070853
sport-related / recreational activity-related,-0.048930200247506675,-0.021741745992779348,0.039942999740843824,0.04643607259830118,0.052095961836568686,0.06545095749751202,0.0774910509716548,0.13258873336549323
disc-shaped / round,-0.009600093946175082,-0.011106509433026357,0.03874830153618797,0.22888709790562273,0.3824895062363146,0.4207709177957558,0.4040765194438428,0.4408218368688185
tool-related,0.007569094401033105,0.05690609057766033,0.10346660965665011,0.1534588621294515,0.193943752030696,0.24812410022349965,0.2518897033266866,0.32738267993883674
many small things / course pattern,0.014647506390130904,0.1307258301828686,0.22382714769301154,0.28795719194875835,0.35833575550125946,0.3875786750836637,0.40141930739641796,0.43111427930973434
paper-related / thin / flat / text-related,0.007224631876637822,0.02297206332136542,0.12647259517431803,0.18838572224839303,0.23389648304007932,0.2541663303740035,0.24379305973576,0.3157535470781959
fluid-related / drink-related,-0.006106987374045003,0.04284820432279659,0.07577371746524869,0.11904022437772781,0.24537366608218117,0.34239254707648664,0.32926366697822385,0.43454936006101186
long / thin,-0.010075968122332723,-0.0016930538993883415,0.13941069194239208,0.21852897341511093,0.262696112455877,0.31151703098905026,0.3139787273714938,0.3578485552751857
water-related / blue,0.024859949954869832,0.02868343297322653,0.06077923840315628,0.08649974977817418,0.13509730953044716,0.1402848317817981,0.11297773473945508,0.27294852131803427
powdery / fine-scale pattern,-0.016318452782234517,0.100934355357984,0.19006803028157454,0.1982997496701751,0.19368767011311122,0.218351981620407,0.21992034397938992,0.2541336974235342
red,0.2637854416128214,0.4791010627188476,0.4517220204362902,0.4538888204533005,0.47997860570650397,0.4980437640932287,0.45494535352317883,0.47820897330714535
feminine (stereotypically) / decorative,0.02044128061169056,0.04459168750294744,0.06591536048352419,0.09955764696536808,0.131668413136657,0.13760523335228764,0.12830153639780276,0.16701699540347886
bathroom-related / sanitary,0.030465599672708656,0.057534742594344726,0.08447523666256766,0.08852428869688508,0.11172937747263782,0.1160405536234057,0.12791195695373334,0.14782586904610828
black / noble,0.059822022105965954,0.11817716429873477,0.12451997615027058,0.1386343835710347,0.1512870501822556,0.19661562021091833,0.19942180789659542,0.21064502745576164
weapon / danger-related / violence,-0.017032561692426028,-0.018843119010740685,0.004538321238841092,0.0314151383989776,0.05605656149412652,0.06262286413217528,0.06649582388944374,0.08587705602566162
musical instrument-related / noise-related,0.006875342728336409,-0.022000259655782194,-0.007725744809925395,0.0087656483453597,0.0069654316105856266,0.01539325851539879,0.026410146413631496,0.051549777790179496
sky-related / flying-related / floating-related,0.07591108136427288,0.12340303968973187,0.15785150743829163,0.19716577860362555,0.20699354347027588,0.25895439991301666,0.22650179858697053,0.3067423016889298
spherical / ellipsoid / rounded / voluminous,-0.001615465553611517,-0.006346846132990391,0.050526275101135665,0.124863568143503,0.21438216412247008,0.25174531700075586,0.24139650859567324,0.26381584550223325
repetitive,-0.01037804436832065,0.03410861893971536,0.11594157456241465,0.19850327909911875,0.22423322712747126,0.1958146922934248,0.1984258722793183,0.19731015511783223
flat / patterned,0.013510545253523031,0.015803248753929744,0.0944316104503278,0.1692859524864485,0.15014715091574451,0.12812318699837566,0.11957853711569108,0.1413050750196461
white,0.1026790662324281,0.082748887564185,0.07692322082894816,0.08331311667296014,0.15141265817514085,0.22418426610576211,0.2032918364836011,0.22686829565449768
thin / flat,0.06160685808174948,0.026189427039078707,0.06297770664817906,0.0890744063096598,0.10066209298105688,0.10022536043220065,0.10876957064650672,0.15110577835783462
disgusting / bugs,-0.01906426573885066,-0.037847049711850725,0.0008251133468070493,0.01184681206275997,0.05176940996004305,0.07435077454497645,0.09740966340675478,0.1869662989593387
string-related,-0.013752786280340911,-0.0414333765998002,-0.020981919894385713,0.0003973043616192773,0.02783229774922278,0.041883027658698044,0.0420724781042919,0.09616386698811494
arms/legs/skin-related,-0.04158004255556218,-0.015583869173827503,0.006289183860229863,0.02105974151370098,0.05152997677174518,0.05091016060185234,0.05622496103200607,0.0729877435263701
