dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.059732341777470443,0.06353112621617063,0.2568231928409622,0.33699735676081255,0.4225704787191563,0.517400898405742,0.5308977809952466,0.6055988411913888
food-related,0.12589978088788856,0.04082042966347166,0.2748586525726684,0.39874759062438336,0.5189333693058296,0.6327881535300901,0.5938908687021052,0.6921495088884917
animal-related,0.040417049951159245,0.014322313495135464,0.1772105785717465,0.2619536318305167,0.4013713394498586,0.6477677028226063,0.5724144606110655,0.6956747501986238
textile,0.04112778304005993,0.021445656236836586,0.0885048921910152,0.15235324815044948,0.22747714521050388,0.3208276338442151,0.28922042031189354,0.41385781311869707
plant-related,0.16866119977084648,0.046374348532533305,0.30138337761183254,0.41266687323281515,0.4404109598203665,0.5003193948932054,0.469513661115336,0.5436428233894293
house-related/furnishing-related,0.014232838138447113,0.033645964989123645,0.20915529314574877,0.3116242902479891,0.3419721456572895,0.4398942301651948,0.3887673518345759,0.5375268793047288
valuable/precious,0.015838018013272337,0.02227352643418734,0.07169672063612931,0.1112376140013166,0.18031680831703878,0.3124880833684325,0.31959170540992565,0.3818844197748452
transportation-/movement-related,0.06087048010878404,0.055384818280169945,0.19063735615245903,0.2643897442991886,0.34609336312409655,0.5004435061905653,0.40908996776115336,0.5611266902713758
body-/people-related,0.009663372902993017,0.049961827266909564,0.09627905837369133,0.14871317002343287,0.1989520070827806,0.43867479957023525,0.3816735119977932,0.5483832989583985
wood-related/brown,0.03622966215972434,0.005323912329550207,0.066891402026797,0.18031130226912817,0.27201596893143987,0.3574622673163319,0.33565689943820964,0.38924183865904693
electronics/technology,0.02455016742502658,0.010004786736814819,0.16184049372123677,0.22795371899755168,0.29925202985831156,0.3903664674848333,0.3299455375535707,0.4954525840766443
colorful/playful,0.012508679024602953,0.3111788495993225,0.429638919073035,0.4297747809554189,0.419429897148735,0.5678809054152945,0.5060980896695062,0.5845165463865605
outdoors,0.09984438626405612,0.03440094956640949,0.2172110323757055,0.3561148010498776,0.35869157575712474,0.4778511948679923,0.42594917117758846,0.5413696026065242
circular/round,-0.0018905785780427564,-0.0023139615125953306,0.04861260348895324,0.17657032006975915,0.36393213744348374,0.4633792351800302,0.4243705842510388,0.47659923761083767
paper-related/flat,0.022881879402403604,-0.0025982343186474743,0.0672904468707296,0.16917495741228517,0.23592051963776484,0.3090394898919495,0.2670011283573921,0.3948887080142187
sports-/playing-related,0.007774176662469712,0.01991573170366423,0.09700760096052152,0.10962110411315251,0.11470129515202088,0.15222473496160516,0.15363947345952278,0.18486559844085093
tools/handheld/elongated,0.006420931269147445,0.031784714983243756,0.09114987231234639,0.14722894204871606,0.19631209720429765,0.29410506103482714,0.28877027686223566,0.3899991501882012
fluid-related/drink-related,0.005458474963081383,0.016794232355811567,0.04766610813814387,0.08644341785168674,0.1951704939937533,0.3439820962769914,0.3237957361985194,0.4357998835859783
water-related,0.055676410759495254,0.006520910396969559,0.052401877641357175,0.060197668185167696,0.07232114790638966,0.18071584248749817,0.14359280543731356,0.31358710141814927
oriented/many things,0.0037331966648819215,0.0712606867998129,0.16265343122407394,0.22259961927173166,0.2849759148349096,0.34281770456659955,0.3414676133190395,0.3988803050400993
powdery/earth-related,0.0020943270288065197,0.1023909839280438,0.16219185325101815,0.19795694107467887,0.21042288163532008,0.2732679615945768,0.2282275266621826,0.2977190856824393
white,0.12408096303522353,0.06482058387658196,0.08099911676863014,0.13872352205399807,0.2787663656922682,0.394801181909351,0.38016034544928756,0.44154786006746316
coarse pattern/many things,0.021697186643029442,0.07351468001209005,0.20404923200620062,0.3417393353616228,0.39977087361799746,0.46509527334381207,0.4769818377993513,0.49200206329848895
red,0.23657754711938517,0.1911165263375414,0.3405693623691709,0.3371336264781145,0.4227752654507375,0.5745215555943961,0.49160032834149126,0.5321993567235905
long/thin,0.010058274833740777,0.03836707400587647,0.10544173684784175,0.20271217165524202,0.23903356851619362,0.3715855387501955,0.3664732688064444,0.4258213985572572
weapon-/danger-related,0.011170376079048805,0.011602152438111024,0.027529821716696046,0.05632457583059125,0.09179946387083016,0.12213713462808262,0.1179021287723111,0.15951340389419277
black,0.06276763972006894,0.050147624312377626,0.11664229033721207,0.17626190436663192,0.17754970283996185,0.35265246058328437,0.35379261780176596,0.3629359684921414
household,0.01116933561617528,0.0234880481919022,0.03442370525229965,0.06567607029168998,0.14128825076486695,0.23781892363314372,0.21097561751852045,0.26023346243968704
feminine (stereotypical),0.04220817972954172,0.02587159173247855,0.05815687137270886,0.06779821123504193,0.09408162775810036,0.1728214108581827,0.1494739938451386,0.19377478315038044
body part-related,0.014070184504508698,0.04331336922239515,0.07433216656039676,0.11700817219343718,0.1496335913140172,0.3007450888427845,0.28372064697075416,0.35098366406820813
tubular,0.0006610496138454991,0.016037384839650448,0.047916916972367996,0.10370445827818542,0.12337721119139422,0.20391542446119326,0.20348640800532536,0.27604290767348794
