dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.059835577944870155,0.0660791818154901,0.2597082669815963,0.03162033126217312,0.09172660101952468,0.2699582598444694,0.08678831916046048,0.42280207336700204
food-related,-0.0031529310862132842,0.1674518763621493,0.10364668005542499,0.30496946900293664,0.3465050261657905,0.26121507105476227,0.38860159281189455,0.5351426486024493
animal-related,0.012430544675939514,0.06204043530245751,0.1306445641196501,0.33713052280152567,0.20935018350276202,0.11708855568198406,0.189962575567463,-0.11902232212031683
textile,0.036265499172721816,0.019916422047842608,0.07634986575178493,0.10813206103242645,0.18124971251306066,0.2165407627428183,0.23807535821348758,0.17823167234626014
plant-related,0.02130970400048926,0.09628459137724887,0.09179388836506275,0.38880616761897036,0.3263549948250122,0.20082989444558919,0.23331961019524738,0.136271908462541
house-related/furnishing-related,0.007364905801169663,0.03623488673126152,0.1316271727510886,0.04937450409147259,0.25567513468604,0.37999792610273986,0.2805069877551535,0.28727935546161376
valuable/precious,0.00652094153913374,0.02174623535636888,0.030233989063213396,0.07179626718367593,0.14966562781947534,0.18811664871330214,0.22079571482772553,0.2682900802838143
transportation-/movement-related,0.06084775382604657,0.02167191561004389,0.09333011517194523,0.05737297209359016,0.13090512833568146,0.07774757228938656,0.06347306305419176,0.25709408263155287
body-/people-related,0.010671478660189582,0.010798982627159393,0.06398394556332487,0.13837398493919473,0.14677787286794752,0.2572991335130089,0.22673735657094163,0.191415328596664
wood-related/brown,-0.0018987291862364586,0.04534981453866982,0.1212249833236595,0.14596390015446747,0.18973121269176796,0.1923736927093186,0.27995841313440906,0.31932730378922936
electronics/technology,0.024513783173023995,0.017530070222376737,0.11060019117650888,0.012962889862354832,0.07147017087071927,0.1731768802186423,0.0960344749393931,0.2229902385029019
colorful/playful,0.007486514393155619,0.0002091126579735203,0.023021863530361064,0.19235790481440473,0.3109894961559875,0.11566758543232991,0.42203916380383777,0.29778872226003095
outdoors,0.07581905201684469,0.006428417897383354,0.14075541365812394,0.26678083811432274,0.29713543667919173,0.13885740469074914,0.15586625404373233,0.13046965123523535
circular/round,-0.00035141752523104586,0.012669236637261938,0.05415762472715446,0.07770109934180658,0.16029747191788135,0.2819490394322334,0.2205623692324461,0.24398696989212243
paper-related/flat,0.0029340508221462613,0.004950047318839967,0.08134691486463463,0.06989087868898858,0.16914766843100848,0.1970304396174003,0.247116336051033,0.1741335462343241
sports-/playing-related,0.007738971207328693,0.0011587041324157,0.024168849315363228,0.032090074860429474,0.021674310583293388,0.0007012753030706254,0.046518263712161834,0.07876261506229776
