dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,-1.3668854735434035,-1.2623944049742346,-1.1972876840858504,-1.2040677757105809,-1.1091763800447545,-2.4432367593900413,-1.8848913805327339,-2.5616209288793144
food-related,-0.4194092174358446,-0.27237991735905265,-0.19321003706319262,-0.09389069799899463,-0.01551704480086169,-0.5565214296512613,-0.3641877942948064,-0.6189164597365941
animal-related,-0.36105684592449205,-0.2732217457810697,-0.16908245050096915,-0.007978160359411124,0.08553156070984969,-0.24131991778555495,-0.032657322001338196,-0.24679656549501372
textile,-0.4697154102799501,-0.44670490962952325,-0.4149319101357074,-0.3918252642462816,-0.28667660305572884,-0.8097462655701801,-0.5747753480219386,-0.8361295853358457
plant-related,-0.2704324080111449,-0.12002280554309142,-0.05528985333434977,-0.05050460797208833,0.044085627476000866,-0.4508951298950099,-0.2481324673873635,-0.4606364387861961
house-related/furnishing-related,-0.5840165343433377,-0.4689490701686796,-0.35976022140453123,-0.32991887363293615,-0.22534909209198828,-0.8641765089523243,-0.5473600634445939,-0.8845347562250963
valuable/precious,-0.6382581460703176,-0.5899086727957006,-0.5201781575935185,-0.5286448379509376,-0.44257973767863756,-1.2083301592591793,-0.8529078724179158,-1.2280340783025245
transportation-/movement-related,-0.3238834112804436,-0.2391238155695039,-0.11997209305943168,-0.05327989123854793,0.0373252274502629,-0.30959990868090537,-0.13201510302872532,-0.32305549517131005
body-/people-related,-0.37037379379505264,-0.30941132636404944,-0.26132177715565774,-0.1566187862179913,-0.023392247450103376,-0.34032083224715426,-0.1987321744072177,-0.3624970059400814
wood-related/brown,-0.5010360123203903,-0.44784352847460673,-0.3606481448465948,-0.3358157077546693,-0.2575455196992762,-0.8360632901330727,-0.5248821326437352,-0.882539374871367
electronics/technology,-0.4092398475402548,-0.3259461137735793,-0.21619676474069638,-0.18894163051006574,-0.10362114404167855,-0.5405922168182793,-0.3708339893442687,-0.5984598385048536
colorful/playful,-0.514440494363396,-0.17653853698402955,-0.07238391448548365,-0.04875339280644697,-0.04542682342241244,-0.6015692295442991,-0.3529339379761174,-0.6560775830527488
outdoors,-0.4776757612763727,-0.3763606184624009,-0.285543300900561,-0.24151549496202285,-0.15420289311224789,-0.8298315886280188,-0.5258717283082834,-0.8230680416027996
circular/round,-0.5013842646296898,-0.486071868110705,-0.4882916863214144,-0.29818256807374355,-0.12829525114174745,-0.7160304763046268,-0.442823141660172,-0.7599142810338917
paper-related/flat,-0.46593429808364273,-0.45043586564713256,-0.3295411942070652,-0.31494604991055497,-0.24702397736642956,-0.8452867623656801,-0.5123406803894512,-0.7845041360935046
sports-/playing-related,-0.44886924172562725,-0.413135807388076,-0.40933440024568757,-0.4364802158969596,-0.39812600348707905,-1.0140157360086217,-0.7462019848292996,-1.1080816574875367
tools/handheld/elongated,-0.43246537268539265,-0.3787073287732845,-0.3340082877467925,-0.29362257629125676,-0.2337959929726663,-0.6779147011185696,-0.45558927786851244,-0.6854339225369277
fluid-related/drink-related,-0.36201658235443546,-0.33043673653388295,-0.30450901159870636,-0.2542893678908691,-0.13394030238992793,-0.5132940769574632,-0.27939637028221465,-0.4434008392669646
water-related,-0.26977112103668843,-0.23839513727847272,-0.2523929243797687,-0.234490107322179,-0.17614385437411162,-0.6821333139735295,-0.48888349913446527,-0.5707765792717407
oriented/many things,-0.5081832268739006,-0.4123471896131621,-0.3387949755878079,-0.27877362896426994,-0.21004331739314175,-0.7485247521229219,-0.5044847835256527,-0.7442788591765561
powdery/earth-related,-0.47571485251779855,-0.33941961848853497,-0.2967374501243849,-0.3111392226006804,-0.2836937673185933,-0.8632910906473563,-0.5734245663787139,-0.8686396197614441
white,-0.3557253694331224,-0.31426517714546764,-0.27052248233511045,-0.26573220986324775,-0.17059593432458642,-0.6356015641467676,-0.3589185793810563,-0.6315713332838129
coarse pattern/many things,-0.370275994382407,-0.22639552045628752,-0.10407744867564639,-0.06737976907797605,-0.0005820618182075243,-0.43897507450176576,-0.19954009115799898,-0.4097754890903329
red,-0.17305238892432362,0.0589451272571313,0.12295693313911826,0.10463835393307508,0.11606591588163573,-0.24553421407212217,-0.09215959599623513,-0.30212334683899056
long/thin,-0.42674754451404384,-0.37457336539292285,-0.28234603969214156,-0.21377656320357508,-0.15741251890928543,-0.5006755342620435,-0.3151484413366161,-0.5198526958089091
weapon-/danger-related,-0.375904124588597,-0.36082988437669195,-0.3659902273079798,-0.3820225731093898,-0.33526079504973305,-0.880526101143305,-0.6423267912490518,-0.9159532253049529
black,-0.3945758682145728,-0.290712643181414,-0.20797542899953836,-0.2103609231176118,-0.17777919456987212,-0.6194470368059124,-0.40700734456269094,-0.6677761584898547
household,-0.4502558975667499,-0.43610447315517153,-0.4297131896031732,-0.42624383834514457,-0.31660100655868684,-0.9273586723885159,-0.6544269838156835,-0.9383541891938114
feminine (stereotypical),-0.365762106368833,-0.32437175546397,-0.31698618974083903,-0.3353771006287807,-0.2999523123836725,-0.8760982573314235,-0.6562248855481387,-0.9071453044362632
body part-related,-0.2745789207943521,-0.23397096633713121,-0.15490027270524465,-0.07083799801653656,0.04447479973232682,-0.3272605155185284,-0.1324438345802077,-0.31202475581218425
tubular,-0.3901170669873322,-0.37331271756286677,-0.37399169430683554,-0.3198678321547834,-0.27244321195116483,-0.6925867720865528,-0.5164198569845677,-0.7682344860056598
music-/hearing-/hobby-related/loud,-0.27933595260349087,-0.26201432401749214,-0.2669112732317731,-0.2862112603478917,-0.25518080813432675,-0.694510557438422,-0.5531402712551523,-0.7658398329906839
grid-/grating-related,-0.37281786215229173,-0.2124526078736233,-0.062275848270790135,0.007398034733018144,0.050531617612310176,-0.4399055815372961,-0.22213550666479853,-0.5226980001799542
repetitive/spiky,-0.35965580708177103,-0.21394297187461842,-0.1543978573266951,-0.0813088530260333,-0.0356323111049035,-0.5769498285601913,-0.3125044258914169,-0.5736184064206991
construction-/craftsmanship-related,-0.4132082599966256,-0.385893312336806,-0.3733253038457385,-0.3896367725454921,-0.35052344199005514,-1.0021310941502302,-0.6993044262462345,-0.9659240729722309
spherical/voluminous,-0.3278924943560475,-0.312952716553206,-0.25317857180697345,-0.18387750806299397,-0.06457707854784744,-0.469061870728571,-0.279460488643676,-0.503425734712643
string-related/curved,-0.32896414842718014,-0.3306403211504274,-0.33587796878081133,-0.3219699292981444,-0.26624221616729127,-0.7826557042612987,-0.5486364850580223,-0.7472380188175771
seating-/standing-/lying-related,-0.3513346748957169,-0.3340934980083663,-0.26314658143540215,-0.2753837628630351,-0.2221583400421685,-0.6846008415922138,-0.43387401802383363,-0.6444150513750002
flying-/sky-related,-0.2254380987992899,-0.1894089841083817,-0.13150514517462675,-0.10250177674583894,-0.07245433180510297,-0.39171020077817564,-0.1965756196799342,-0.42660436259104784
bug-related/non-mammalian/disgusting,-0.25025868415658237,-0.25284820880643255,-0.23919573749676815,-0.23610414828711468,-0.15824824392513248,-0.5024147146785529,-0.268503886374871,-0.4334964510231316
transparent/shiny/crystalline,-0.33892721325302166,-0.34113848247925604,-0.3153796093130121,-0.3271582287552883,-0.29295283132064864,-0.8233215310849362,-0.5378671634139327,-0.9144311948923225
sand-colored,-0.3497030829230119,-0.29536284326408624,-0.2135343949557713,-0.25602842530330827,-0.22608863035938453,-0.8025082419537624,-0.5141603958127068,-0.7853111747345716
green,-0.0012796668645012055,0.14684029398518328,0.13243382506247026,0.1367768778645867,0.12999603826156114,-0.20067723080436384,-0.05092108186606681,-0.28519086024077556
