dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.0799566175068468,0.18986274633661182,0.3195286705361776,0.41291001332990673,0.4817058862044967,0.5099677056386384,0.5504843542444359,0.6108689700098635
food-related,0.15810205914872666,0.27866182747952695,0.398231992123814,0.5023713812681454,0.5813041957485849,0.6314456723972601,0.6257464900118345,0.6711589690657059
animal-related,0.05942133605676381,0.17705041666591803,0.2907574725036688,0.44950520100157865,0.5708743185692419,0.65491542247202,0.6720073609468915,0.7107786691132374
textile,0.036092820021666805,0.040529232291773076,0.11982938910224095,0.1782502954098356,0.2698362595655308,0.32879892533422206,0.32677686127741434,0.41877639943684053
plant-related,0.1471151330470586,0.3057624059329317,0.399156134139696,0.4339538325682838,0.5292945068631152,0.5222573585707102,0.5394110684280614,0.5819070051624684
house-related/furnishing-related,0.010583195840412674,0.1271164014334325,0.27410780624867526,0.3574278559326737,0.43899477994568536,0.46404325118168477,0.5059874627657995,0.5616892394344704
valuable/precious,0.006092830028739615,0.059924771553314216,0.12870449583424037,0.17874591852614363,0.27766928993162177,0.27561989466881287,0.32995170431046217,0.3759655462617293
transportation-/movement-related,0.029661603283465565,0.11293165964021135,0.30641307795722295,0.3824262904902509,0.49095131677219095,0.537447375041472,0.5448612621303831,0.6069959584608919
body-/people-related,-0.0063732676490815265,0.03981606791100212,0.1384606162683658,0.28209759510415977,0.39793944589933605,0.5000720698051673,0.5030505443990365,0.5747391108669808
wood-related/brown,0.005490829593882918,0.08155291969109824,0.1783904515445779,0.27735855568471013,0.32442880071109115,0.3829526354764572,0.4019281047190426,0.426046366441619
electronics/technology,0.016435634608874095,0.03925239133172587,0.17062375830913878,0.28893674879000575,0.35060282035139334,0.42230888645317743,0.40994073901838624,0.4912602192063359
colorful/playful,-0.050107806641585206,0.33614637632130573,0.47556452265381044,0.5344781417583641,0.526748967899159,0.5558903503264345,0.5712265625830859,0.6053216599536441
outdoors,0.08212601706435929,0.20949949602131923,0.32835158271930676,0.3828449858409222,0.4606708550625891,0.47156425637967136,0.480408709763371,0.5676116090143505
circular/round,-0.020376962731105897,-0.09323103674492428,0.01619493673400696,0.26543119969455164,0.3984332223307132,0.4469875155163229,0.4753940718957459,0.47811960330241265
paper-related/flat,0.02037212079147399,0.01600135973666461,0.1507113219304167,0.20808916562414292,0.26517126504204214,0.29722938328245463,0.3511556102169323,0.4151578097311739
sports-/playing-related,-0.03340961318991931,-0.039357792181171414,-0.022712897121556885,0.02856304905200402,0.035622547001295635,0.056164266289513876,0.1174216393121098,0.13074683046960056
tools/handheld/elongated,-0.010890666951670624,0.025754632942526667,0.10627212584385959,0.1859417053049507,0.23884784532455616,0.3091126221419508,0.3495009670931225,0.41133464601482506
fluid-related/drink-related,-0.027974646562987315,-0.045974946148471085,0.04748317543642866,0.16354002260411404,0.26754994211161953,0.370570490315553,0.39134586036546326,0.4592939536916242
water-related,0.022066511337874184,-0.012001780893780678,0.01602218716999393,0.0802608208277833,0.143842190343486,0.18706141650716634,0.15511793741005975,0.315414647722867
