dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.0863727024070675,0.21778738712109896,0.30347557237895517,0.3987138341673929,0.47134343996064265,0.49782602477465404,0.5403110910757236,0.6026095861588763
food-related,0.15606566220842716,0.29760245845395394,0.37270493373699376,0.48992908461837664,0.5695700873489912,0.6186517270965795,0.6112104930588501,0.658039552571611
animal-related,0.053430504444415716,0.1874974147056666,0.25787515585549453,0.4214348143211355,0.552808675795841,0.6402033233404336,0.6559464179543795,0.696692063262961
textile,0.03673903483723766,0.04073750092253329,0.08320565627649919,0.14517292930307735,0.23198987869290605,0.2956222212818477,0.29421050388190506,0.39101079835011604
plant-related,0.15281718881032766,0.31073465353670315,0.3717964862648586,0.41386239704159883,0.5129441972473835,0.4993239278903528,0.5143146560592602,0.5610815577598858
house-related/furnishing-related,0.03239197079433098,0.13636906190673503,0.2418035066719156,0.32498352351740645,0.4079718075632942,0.43020381199413826,0.47767280636078474,0.5379515720503085
valuable/precious,0.021638441030802324,0.09386061702560959,0.11339844556978648,0.1704685797655135,0.2688909011475745,0.2645703673059444,0.3142605481402401,0.36035881780393203
transportation-/movement-related,0.04545399202446062,0.13286645438525552,0.2714633040638453,0.34587478076568084,0.46375618074304087,0.5020845726218667,0.5217547601026424,0.574725065654879
body-/people-related,-0.008340771101343958,0.05357652004782876,0.07959929863200846,0.23970567894884653,0.3485298068230498,0.453094145289925,0.4507011625986383,0.5292899218544082
wood-related/brown,0.022943499249566103,0.09371530024510573,0.14842081256924805,0.24450693993786832,0.3066771735994268,0.3566752160540696,0.38495624692792185,0.40269976738058
electronics/technology,0.03285416634040672,0.0798146800505695,0.1485825823218932,0.27011716255161183,0.33254025339413473,0.40143297586842797,0.38821525725510814,0.4754519861747514
colorful/playful,0.0074150315642504076,0.3710079128037119,0.4706507131934149,0.5324290538288694,0.52761404821193,0.5565248777428685,0.5691840419261781,0.6067662379451706
outdoors,0.10357394496708908,0.22614436682899605,0.3104866042874582,0.360196014740244,0.43540512210435695,0.4481061496948541,0.4597005069420149,0.5538798130351666
circular/round,-0.011845250016390252,-0.052921455153912556,0.004152212621677009,0.24068018462132174,0.38675511142219643,0.4319914081477183,0.4616910545335783,0.4617585328674064
paper-related/flat,0.025492031141113904,0.028918533273044434,0.10007624857740113,0.16774122376981485,0.22695873786902698,0.26839628774105534,0.3203354241087348,0.37964225878955665
sports-/playing-related,-0.030675485260451198,-0.03765123568948085,-0.0846967622457265,-0.03971303283007062,-0.03418415522500151,-0.017619090162457718,0.02912328856725187,0.06660630021895905
tools/handheld/elongated,0.010649870863458555,0.06953485530081782,0.09516589050760033,0.17686436233202002,0.23151777270565121,0.29881273887600435,0.3394126289262881,0.4005009636187193
fluid-related/drink-related,-0.006388472133866174,-0.003541730863496162,0.02252394179950844,0.13051504483799276,0.23048499389951488,0.3479645038596549,0.37377843171617686,0.42416948366246743
water-related,0.029884670373835708,-0.0019662991639100903,-0.03940698460776345,0.027721349662924787,0.09900389074647123,0.1363636516997806,0.10447485476054416,0.2755571709033443
oriented/many things,-0.013900132073806148,0.03426838677844548,0.14918006097379025,0.28901414767912614,0.33297135441180414,0.3627944660557615,0.3893197315516655,0.4299668727456238
powdery/earth-related,-0.015994698527627128,0.11801967067314603,0.1658564651631625,0.21492157577803078,0.21968411071858168,0.2495354607432055,0.2944837413198302,0.34030350662166764
white,0.22847004589758274,0.2623037034896351,0.2527137602520555,0.24595163095190928,0.34811625129589546,0.390344898831228,0.4348923580460031,0.4735310687926207
coarse pattern/many things,0.010054756211189153,0.10441692596981063,0.2626526045002665,0.3248742496043098,0.3746284697602418,0.44010646876909093,0.46097569594372495,0.5221261215041076
red,0.28795380106760426,0.5539446177093772,0.5595815731286962,0.5607599756947586,0.5806313946671101,0.6184831032674395,0.6032612527291059,0.6530937600868398
long/thin,-0.0068522551801284744,0.015732705632231503,0.1384722594575814,0.246851057981719,0.3302932383028859,0.402741276108156,0.43932070545282037,0.5114788316907327
weapon-/danger-related,-0.01753051296331415,-0.055329643293503115,-0.03689082779717838,-0.04132825365869399,0.02423507435456711,0.014567497369938542,0.037603990858677036,0.07264338940618333
black,0.16837551322048036,0.3106256123041196,0.3178280783657098,0.2938355311731356,0.34929106706685265,0.3828174447698315,0.3961766694825968,0.41655124206199784
household,0.009619699395055758,-0.01422532359205928,0.0022843815246485375,0.0643267322100089,0.14176152635303332,0.17484807783264983,0.21323980585660868,0.23836683609877687
feminine (stereotypical),0.030624722507463276,0.07316809725851581,0.032683753274520146,0.0572479103975853,0.10235025005881371,0.08317052144792789,0.09477173185747731,0.13853047416182954
body part-related,0.007663184018396285,0.0953411288402055,0.11712278137423557,0.2334229869268624,0.3074600663615307,0.29990754530342906,0.32369701379040006,0.39590880145151464
tubular,-0.002966875410111447,-0.031813358774629465,-0.008897585481320991,0.057672580577816726,0.1293126609419471,0.18964296982483253,0.20822582997409578,0.2351402061099109
music-/hearing-/hobby-related/loud,0.013814866534571535,-0.028147823764075108,-0.0936713729314866,-0.05271446959018942,-0.0971469494535719,-0.024865575803606,-0.016559623134038214,0.0210776892942807
grid-/grating-related,-0.00838266709171287,0.1619938756620904,0.28936515069451996,0.38052613728276896,0.41095478033251087,0.3801756576539467,0.3992603629357868,0.3965839389363815
repetitive/spiky,0.00917304396841282,0.1148182111592893,0.17220554440813446,0.3026416197633963,0.33468382068339475,0.292133907253396,0.3504107203346047,0.3636519302509769
construction-/craftsmanship-related,-0.025359866872554315,-0.04679116785900744,-0.04396390906994553,0.005575541255349026,0.014859353010734733,0.040935645988274,0.07446631903535775,0.12437626438907552
spherical/voluminous,-0.008479012712276256,-0.024200760168145218,-0.005334033142048921,0.1353477730712902,0.2523266554934442,0.26584617016728096,0.3151359966657449,0.344095954011791
string-related/curved,-0.018054168886200993,-0.1292954290586177,-0.14731920657265635,-0.09003821142438509,-0.03901086606476641,0.018703230729509922,0.007472125118578454,0.07671652274693944
seating-/standing-/lying-related,-0.028001104509246012,-0.04472881775466873,-0.0172293781833043,0.015359605283133215,0.045715500561253605,0.11384164565907304,0.15789404506341534,0.2188799164960747
flying-/sky-related,0.07041962129019178,0.1405711475938799,0.12295414548363301,0.17978469304520672,0.20588276844457143,0.2695570520620277,0.2644360803059823,0.3289415281778242
bug-related/non-mammalian/disgusting,-0.0013075698429323324,-0.03544821797329771,-0.03378039600390441,-0.047321518820614084,0.06930665406414127,0.10680624606382319,0.17309527155972523,0.24096827313111283
transparent/shiny/crystalline,-0.0008052525323175019,-0.02281750868936274,-0.019417707776375037,0.0020277869986350507,0.02328379645519202,0.05800830055515845,0.09161559249676614,0.1355840647781003
sand-colored,0.06897497505233677,0.1922947909612784,0.21349563113804604,0.19474575140651984,0.20802886640960927,0.2066686982811691,0.23573851313794508,0.2748698237768109
green,0.2666117723635586,0.48207595937257813,0.4120079978031552,0.4188763614597056,0.43209195422385216,0.40546557461231264,0.4502789157318074,0.4190754244832281
bathroom-/wetness-related,-0.01001897635791459,-0.021468735237751335,-0.12099891209948968,-0.07553173330088596,-0.03583480472971273,-0.05594789572932796,-0.06024078317819387,-0.03238036117023625
yellow,0.11055990237980425,0.26038637054922364,0.34644492208891187,0.2907817238083839,0.3610342781059178,0.4009646937546477,0.37661470972458455,0.3804273551514822
heat-/fire-/light-related,-0.03989650101210736,-0.13770472396451677,-0.2466450444381271,-0.20660601116139307,-0.17871022641696999,-0.19018330913882997,-0.16435114928606093,-0.11051578483907139
beams-/mesh-related,-0.010059268565608204,0.027545520661924283,0.06944247257441759,0.12427713256391157,0.20318962653828207,0.22464397629290303,0.2578433967163156,0.27678011802910174
foot-/walking-related,-0.05549363516522392,-0.17061594416575035,-0.2394553824183041,-0.22729618070685,-0.18010080145011667,-0.19818056223979968,-0.15741486698558116,-0.12264432902616709
box-related/container,-0.02862338971579844,-0.047287472276056765,-0.03769806177978859,0.026774777984296106,0.07334973068799991,0.0666673809088186,0.09828855981728993,0.12583703824750586
stick-shaped/container,-0.013214386387239263,-0.07088665565074567,-0.09692639851263293,-0.031317873523238594,0.022310556102612213,0.04001181803911369,0.08404535093383708,0.11059862014443769
head-related,-0.024380734592695484,-0.10172285944750367,-0.15981922250601874,-0.09174103826382168,-0.07279253090613481,-0.06610982771405599,-0.030645866623988417,-0.03149324812723068
upright/elongated/volumous,-0.003005110391641963,0.01835013098839815,0.052312171605054233,0.10067066380565833,0.15228954528131897,0.15971245483647875,0.1899733287865785,0.24128897959263762
pointed/spiky,-0.007862311587702186,-0.11961307509038625,-0.09301218926308837,-0.028415929768727942,-0.011496426955324612,0.017501914187970858,0.041957001545044156,0.03171186579665806
child-/toy-related/cute,-0.01166848567905343,-0.05603771692280417,-0.12411313562386464,-0.11344446793806247,-0.08749314016363971,-0.0612911446541036,-0.07196631873510687,-0.06976458884167647
farm-related/historical,-0.010713030533161161,-0.057917128783241054,-0.061405783751685136,-0.033853506182364254,0.016954196264498324,-0.004464710211380618,0.03578334662263165,0.1133018547860503
seeing-related,-0.005437036218458635,-0.0730206750933001,-0.09425292453158828,-0.07760133449143605,-0.09113534817502872,-0.07717840386100215,-0.05135463385158116,-0.03851622663082329
medicine-/health-related,0.008300882359103779,-0.03334146271754755,-0.09516772578291781,-0.07723254116751728,-0.04814218815579271,-0.06490714052594744,-0.03259841550369239,-0.018474929451231293
sweet / dessert-related,0.007840464826634507,-0.013360003800464038,-0.04936948824274414,-0.08768427798120237,-0.0282057691946629,-0.03955129393861826,-0.02664076833541017,0.032707239753645964
orange,0.08333428023653813,0.14856378728502442,0.10911214015648832,0.09723060588195695,0.09176594144749438,0.10527823198737044,0.13180600268836135,0.14754531132080784
thin/flat/wrapping,0.026749684337153568,-0.02095575644754071,-0.053494456783610735,-0.043126973790307964,-0.04731873788711568,-0.01194179781117235,-0.0020143477389793054,0.010805437534007145
cylindrical/conical/cushioning,-0.00690112937691405,-0.0201997369798561,-0.05385606948385081,-0.03340219793066936,-0.0042905574319354045,0.022549349573758294,0.06083167120055623,0.05992463205900669
coldness-related/winter-related,-0.030040557323043594,-0.19752903523372306,-0.2955262192968585,-0.3307912442359551,-0.2818373640779608,-0.30199841923343157,-0.282453406408899,-0.27143047386058833
measurement-related/numbers-related,-0.004903768656476714,-0.08451190772808462,-0.09160889949624024,-0.049909326710354585,0.013691953620829067,0.10287012459127982,0.11240272795418982,0.14122588997021643
