dimension,alex_conv_0,alex_conv_1,alex_conv_2,alex_conv_3,alex_conv_4,alex_fc_0,alex_fc_1,alex_fc_2
metallic/artificial,0.09642279703350154,0.10030289427087369,0.2787800469910632,0.03825562926828241,0.09107971520121327,0.27932608931862835,0.09443128197375739,0.448638649277444
food-related,-0.005669729188042538,0.24590258150108735,0.11243680064444972,0.3068031112727242,0.34547436210980054,0.28181174823347144,0.3891849942155783,0.5651208511132647
animal-related,0.043715251669791844,0.11425591985500005,0.14965706510001797,0.3436470336092359,0.21640920525434482,0.1497406666457185,0.17752008150130527,-0.005156044285624439
textile,0.048315248579155146,0.0402809799597581,0.08022842001337926,0.1184630467076716,0.18162019841495214,0.21014263131114397,0.23841412733839784,0.2130644175859443
plant-related,0.014766957316610374,0.11612569661387562,0.11031669475066941,0.3878176630411746,0.32630013215053444,0.21029016671559964,0.2182235976796576,0.17574814746254475
house-related/furnishing-related,0.032870108390866015,0.07308433198712583,0.13816260735718466,0.053489728506201484,0.25462435459363364,0.370860158987003,0.2754991835132503,0.2969367069432791
valuable/precious,0.009405494745511667,0.0426686467815115,0.04165998758173206,0.07905579074388092,0.14845377375730473,0.19531141968217625,0.22532069372094143,0.29759918023734855
transportation-/movement-related,0.05677538427464124,0.03764528234041353,0.11668962250716564,0.056399703483030805,0.13057631837903194,0.09014225117564867,0.05730298266300282,0.29781363257913673
body-/people-related,0.008728185793496546,0.023423030313752702,0.07135660940073485,0.1360304389789977,0.15144145922902985,0.2370603878829235,0.2151976296847018,0.24055487825392907
wood-related/brown,-0.005490627470684295,0.11070665222637432,0.13747911953938385,0.14394452802624347,0.1894063564296361,0.19890627649604176,0.2660721403057196,0.3363266779523242
electronics/technology,0.036074225462467635,0.017687154006990502,0.1271147099018034,0.008109306900117241,0.07376365475950519,0.1615616799338222,0.08129834758462517,0.2630586689258396
colorful/playful,-0.003682738261424401,0.01662907500503541,0.01634072883391291,0.18943906930664867,0.30985927466522245,0.1465840440419517,0.41720183104305175,0.3171187098529863
outdoors,0.09571131161092061,0.023655894669721178,0.14460204172856717,0.2666632880027502,0.2999417518109193,0.14478871183464137,0.16365553502469865,0.17127223560533344
circular/round,-0.006522675009481116,0.003591183295473366,0.05259197923732717,0.08376546371034022,0.16080198044195315,0.2903094597319663,0.22183293029966267,0.2789159646979056
paper-related/flat,0.026702838929894,0.04828726312335252,0.09659589136739044,0.06393320711765216,0.16877273720929098,0.20390083509177404,0.23815089572560744,0.20647555607361534
sports-/playing-related,0.00019654564019122578,-0.012862413690113428,0.015595929360010308,0.02976769351017372,0.020094823269365847,0.02695364758343699,0.04993731574028348,0.11353087515404436
tools/handheld/elongated,0.0001651609836916812,0.04380526982601307,0.1370881376556078,0.12264145277996241,0.08630750253894703,0.15162812096611877,0.20510825697726975,0.2088367103157639
fluid-related/drink-related,-0.0062849432520561965,0.025055108360110268,0.05690083077816044,0.027487138479456497,0.1501293783542177,0.248760716209931,0.15699077196249722,0.36189843400176025
water-related,0.048217339241269475,0.011122620212059675,0.08011404658387833,0.026668145427382828,0.13826051598646738,0.05446700962409878,0.09045321880874302,0.20756384463533928
oriented/many things,-0.013648384465446917,0.02686436985572127,0.030277175365384434,0.054773412035868385,0.2375339327597097,0.11611339624839323,0.21953623393741017,0.22532918315844896
powdery/earth-related,-0.004889970823573231,0.13522849732049835,0.13922542920381054,0.13125788762151902,0.19441978176175623,0.19096633088290782,0.17371882444733122,0.16463889434003232
white,0.07374179447252138,0.1472537911904095,0.1208881870659515,0.15250233611473762,0.23371342712420207,0.17722640588028427,0.18643906014484102,0.32992391275518684
coarse pattern/many things,-0.014195007707969998,0.0889804030809096,0.09984507653608066,0.24029573035566776,0.2962771018751932,0.14919363274399522,0.22171464303021204,0.31395345892684423
red,0.13686830585834764,0.1913206054908584,0.1467937391721681,0.2277445504197746,0.28722296185048246,0.25034729189876104,0.28716140167318704,0.36277970578661456
long/thin,0.0017686444043816252,0.010074228101787597,0.15319041992847882,0.17597113952798937,0.2071509779112477,0.17956236034539452,0.2619562974074917,0.23554354995476212
weapon-/danger-related,0.007179139677300994,0.015390273845756086,0.038059817270188145,0.0345357660227118,0.04826174771149461,0.04477300612813684,0.05038552671253749,0.09212609756575807
black,0.14853344179337813,0.11908793980133892,0.15987136311060068,0.08369782062975972,0.11115471058822646,0.20281481284113856,0.06719382453659417,0.15702948255334315
household,0.004641135671305752,0.02965230717501577,0.05423138546952189,0.02216080518293828,0.10295839423400088,0.19551055712603105,0.13178303905762223,0.18111310381045842
feminine (stereotypical),0.008933772467883405,0.042162285683275846,0.07493108693858064,0.09486112199353869,0.09402428421535458,0.12036570774462785,0.14266450304407197,0.1180659157181091
body part-related,0.0008086011309529351,0.07302263643351237,0.1185268380155221,0.13735025838118176,0.16064925114540696,0.16864012892966496,0.2077218678105559,0.20332671957651038
tubular,-0.007211112190460112,0.01450915315189405,0.053589176381963144,0.07439531003779398,0.08482526101692744,0.1263467346438616,0.1281967944594078,0.19892052661756976
music-/hearing-/hobby-related/loud,-0.0004473688942743248,-0.0033104083161461517,0.0167411650953333,0.01170519275382731,0.005357781921250471,0.014747352198452579,0.027855629341905885,0.08862437945730028
grid-/grating-related,-0.015129621015155026,0.05902814196540129,0.1804379682785784,0.07423998012585986,0.2982869494325978,0.25812093329751307,0.24924894489074279,0.1786775004861021
repetitive/spiky,-0.004675477708678377,0.06398360152883176,0.049485163674082844,0.18517608730768587,0.23359103008692628,0.1305419568007662,0.2481447259204077,0.14083554126008024
construction-/craftsmanship-related,-0.019011092309363375,0.011528326286858515,0.02469458531778357,0.04369866599877692,0.03745356133617206,0.05494767099867082,0.06417031354481195,0.06868839570573848
