dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
mineral,0.17019117071151346,0.31634275242065135,0.4076071971259837,0.5491974776909485,0.5997831620530696,0.6772042804382352,0.6999720663246485,0.6748584544557787,0.745038427150033,0.8266998585927023,0.8709409746413563,0.877477152416938
wood,0.3264775267954083,0.418179801601562,0.5105698155263947,0.6199983111304515,0.7051213150431415,0.7076792114443498,0.7510766861562355,0.7601718851074967,0.8006543754192731,0.826621458339891,0.8396454760195787,0.8606733209877123
metallic,0.2770785169611356,0.4116318193307671,0.4514529094719818,0.46984652834162277,0.5260417664870957,0.5499121893855521,0.5780631231580315,0.592983784297736,0.6353615414329608,0.7345142903997346,0.7488852850460133,0.8076985291012149
fabric,0.01870318139260474,0.06840632159054494,0.06232579914066705,0.23544993101083012,0.35558218945609477,0.3835632212351989,0.5117262346027314,0.5511467904918818,0.6827620425175599,0.7398522916541561,0.7716397846094151,0.8103508538960003
white colour,0.5716266993886018,0.5742517169975709,0.5700213046673762,0.6076441392131489,0.6398779869057916,0.6678055236556557,0.7474655519621949,0.7241097536103861,0.7156197121053082,0.7179463849094814,0.7159923712927738,0.7725888220077697
grainy,-0.0027618072149022677,0.3224326299014697,0.36092451868439757,0.5021706429642183,0.5983558356765726,0.6399166653055475,0.670154751129336,0.652088702051213,0.6770936151879265,0.7206140015457542,0.7248587730697073,0.7408643933509356
crystalline,-0.012226615329443025,0.015647355078092673,0.08654259326994196,0.16212029724283628,0.36237997949419365,0.4386568450316576,0.4229127514263391,0.496963131185969,0.5757039742337904,0.6531358191890386,0.7112072680908299,0.7884669711504642
"straw, fibrous",0.10731509931169514,0.16541664436363157,0.19771441198052264,0.2230858857098459,0.4004331673792034,0.5049086403939407,0.5575317877300099,0.5537529316996153,0.6308787244085146,0.6807413665986319,0.6737715484765112,0.7040423552753579
cloudy,-0.006717556862309015,0.02707349048996488,0.03220616999313397,0.2101789499425688,0.3155561159617343,0.4496382757606947,0.5103045061795113,0.5488613594535869,0.5981469754273259,0.5981750302816673,0.6697539983724387,0.6850736525177219
small,0.23359864665733066,0.2500100563474632,0.26264303610077755,0.3808485801654714,0.5297038460310036,0.5744567747006148,0.6606650631497673,0.6472581949803611,0.6584212587879816,0.6540638698170624,0.6814371603181004,0.7172277058640624
"beige colour, tan colour",0.39559030574641296,0.48299368147101507,0.5157534949879455,0.5418828185107265,0.5978968520135828,0.5908250067146852,0.6050745765572915,0.5972456419170704,0.5893598900429007,0.6008294286070102,0.5852800655130952,0.6161020957185753
viscous,-0.025938866410144534,0.035048374355910905,0.05874254999527284,0.07722416760159889,0.13645019266690972,0.18469524464228482,0.24622797121228412,0.23477436633939164,0.2809109477082117,0.39715177169195703,0.486640929599625,0.5364224023205348
