dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
mineral,0.2631116685283309,0.35632586637575425,0.49619569950573716,0.5926258480716855,0.6283239658299262,0.6749842057801312,0.6431756145010464,0.697026758769354,0.739838015752003,0.7728766185018481,0.8175924838742795,0.8163673349587817
wood,0.4932251849690952,0.5815400960120035,0.6489103332835218,0.7017289153351607,0.6871917911243437,0.6897502944401177,0.6926523798744675,0.7152276767897643,0.760742049520791,0.7366098907231289,0.7737770416700123,0.7769156275444569
metallic,0.31533296480685136,0.4760092320164825,0.5044729926639846,0.566130020736469,0.5395043671721703,0.5505484053843954,0.5155277196644812,0.5314949348620743,0.6149115602681468,0.6444278291840666,0.6317516555504399,0.7263536881486602
fabric,0.00841530463688267,0.06786969991761482,0.15504129043278958,0.3479035848217823,0.3768720071551733,0.41609641021191146,0.4870428642531379,0.5463833756161753,0.563780549071841,0.6348367668101506,0.6466562465733037,0.6745751532505844
white colour,0.554984117305664,0.6106369205836186,0.6396078568860881,0.6781994243969721,0.6684706347032541,0.7508568545181855,0.7588848727912847,0.7133445747756781,0.6894927483360046,0.6945206785458091,0.6540073040839494,0.7050943903507354
grainy,0.17334041301258007,0.35217691846285615,0.4166280703005565,0.6101839215575322,0.6354743953687338,0.6320287824671951,0.6526906339678191,0.6770043831589939,0.6539624863750724,0.6410013090632978,0.6629234040672077,0.6175888066410005
crystalline,-0.03251046093253107,0.08352102664152017,0.2115152958427461,0.35860994438757154,0.43404493416263346,0.4063040955154784,0.4401728203511043,0.48705994934391206,0.5247720864987769,0.5767053173417527,0.5173511869269866,0.6825628719823644
"straw, fibrous",0.06929885461175478,0.25965120579232104,0.30351600897414555,0.3543643736151736,0.4126491731138411,0.5597679847001638,0.5849997438510566,0.6013377036385916,0.6240689380647382,0.5793898643885631,0.5490495993832165,0.6246159106018794
cloudy,-0.012634165305027034,0.016241692828716014,0.13761542914610414,0.2815350811834868,0.3528524085299374,0.4554685107208929,0.4360837562994324,0.5127795987225603,0.5113544344724902,0.5697947798132692,0.45058112459395494,0.5358740039734504
small,0.21326196741045778,0.3503668703052847,0.3606745075595892,0.5094697448107811,0.5769753186810089,0.6314725222070523,0.6563869929322141,0.5979582165696908,0.5979214771424554,0.5972757433421276,0.5817917527602319,0.5248824463050001
"beige colour, tan colour",0.4276235233016251,0.6029437988176933,0.5587902282337702,0.6416361288890855,0.6505265848268946,0.6362540870582714,0.6009210848348863,0.506933908609247,0.5761481501716885,0.459703318030518,0.43298007100722036,0.4587078597309232
viscous,-0.010999549418694299,0.03733073266774589,0.048584289805099434,0.11112055642322816,0.12551129940849237,0.07583746429019422,-0.00214189672335241,0.09764994124824877,0.07767359909148153,0.09783069108909281,0.23633718819395966,0.3538745102035663
black colour,0.33299951238480163,0.462456844870593,0.46190982491942845,0.5144661504771832,0.47421678325799477,0.5055410118550635,0.4839303257768096,0.48635525078473085,0.47153324188963575,0.3472063850920455,0.10867009777055114,0.4553504557085575
brick,-0.13510326668715944,-0.04817233968321699,-0.009171486425471498,0.1283040583082825,0.1587624291598546,0.2851270112850435,0.24439064976049185,0.2512796864326341,0.2943353179369663,0.31331904001483546,0.4005867409860979,0.5903950671901492
swirly,-0.05924399749638587,-0.04550431280963663,0.11870261224038314,0.3361247497541905,0.35075964939079907,0.4003983489490711,0.3736218770731018,0.3739359716225963,0.3736661992074296,0.33394662081692683,0.24680127526527362,0.43886769503255285
maroon colour,0.40765903627329936,0.5904425367504466,0.5552376537785331,0.6002238169923002,0.5893050582931633,0.5838514910462184,0.6012797162590051,0.5333939398264964,0.4944836562705187,0.4310320304147136,0.45855778103656775,0.512659271551807
"lines, long, tubular, vertical",-0.05635514594614177,0.2430931441086186,0.3126308763249971,0.372250628665024,0.47395830903198155,0.4527743887335658,0.45210979415086383,0.3916911917398104,0.41630346329624135,0.38848001537072896,0.2875812875030983,0.39699830614534426
mesh,-0.04518210590822491,0.22647142050363755,0.310148740581046,0.42236375446359953,0.48132666679591773,0.5530962905863306,0.5044004620113213,0.5944146277089692,0.5400000238808481,0.5848253129700185,0.4024982336954407,0.5357295161721461
yellow colour,0.6270462971572359,0.6422103856492394,0.6134548388015083,0.6112399710971446,0.5483966247731535,0.5739390901029778,0.5703502719030196,0.458953823556167,0.4482938077798604,0.4279980662010521,0.1946939343429276,0.5478129572716119
multi-coloured,0.3248831298734278,0.4392507531065073,0.4650407623835392,0.4925203137177244,0.42199847288063397,0.46045490017699153,0.5547699643028037,0.5842446091350313,0.6041964650093353,0.6257128628571617,0.6050034974993301,0.5690235353767696
thin,-0.10140439450047078,-0.04777880231182885,-0.0067241649992670904,0.05937660062837391,0.03515917969137261,0.08217088205755274,-0.09632607569684559,0.10000843635903245,0.06022922585351975,0.07908051702969199,0.16457181757817485,0.3095154235515135
bulbous,-0.05220897028122096,0.03809874599395058,0.05096588007968905,0.16230687253930143,0.18194601695820656,0.14500687877266805,0.19246301689599554,0.17004456346989683,0.13979119041179588,0.13284295220577447,0.14966261833072914,0.18638109543817194
green colour,0.4942381908700195,0.5610359096886453,0.570035281773574,0.6579693319097474,0.614463617387502,0.6702151534811542,0.6242675386246802,0.6142571359171777,0.5173686487723225,0.45464783964123356,0.44294962053216247,0.498241710857825
blue colour,0.3858184787651169,0.4971505450377498,0.5297740893349387,0.5423191423268681,0.440050409000979,0.503287337625641,0.40795397212401974,0.3236985658130035,0.27513132523934436,0.14667109336896578,-0.10268844273847644,0.3572241045363408
shell,0.01600014735104549,0.11715580019885674,0.14394938272077495,0.1728013876139073,0.07481195125130047,0.038547604319226325,-0.07094230681201164,-0.021263430097334224,-0.034707221877456895,-0.12541694890449673,0.29333410383478986,0.4142906460207241
"gemstone, smooth",-0.09259831362422433,0.008610101837979167,0.027519902412393882,0.06676502635998549,0.09473943643584315,0.184437999094067,0.14466082294128058,0.18316034164396422,0.07151314480489801,0.2249432571889587,0.28215948451104544,0.2119512667979251
sheet,0.0566937479296552,0.09984092247493048,0.08716281552804495,0.1398182458793632,0.09511582628629023,0.09644113286280565,-0.018163535532681685,0.05404274461681979,0.0635944760272582,0.0002215041372473081,-0.19893212013780848,0.06343968677674716
hair,-0.015918681760058284,0.06919240942975169,0.08938370341124224,0.10179059878242058,0.06671999588505362,0.06692742097618964,0.07061334753471071,0.05339298219622879,0.14890796313534904,0.15073389621892674,-0.015322616965752767,0.11941383630442082
spongy,-0.0847876831229637,-0.05799902491401454,0.02421210107226346,0.016383224022117338,-0.1003610214789219,-0.11753953677564644,-0.15023430126309512,-0.17394648013648006,-0.15190054342288106,0.006086385445649656,0.0025422255606338817,0.13920971778727398
