dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
mineral,-1.353047437979666,-1.2126167049711962,-1.0209073290805617,-1.1703322718066538,-1.241273637636858,-1.3713923246379949,-1.6623905858031542,-1.6188614001532255,-2.1435192582413927,-1.978988127095561,-2.0252717035822156,-1.7070671892626827
wood,-0.889565469111796,-0.9495103192738008,-0.8975317459632952,-0.7859211075941408,-1.2883002569537236,-1.56969156933777,-1.8452539279154094,-1.7701570420124644,-1.7193284055095157,-2.195340084880392,-2.0279072037492374,-1.6808222160170216
metallic,-0.9629361316847325,-0.5759024366259953,-0.4959257699088935,-0.5727803020872999,-0.668128641977773,-0.817051885121094,-0.8930741712356496,-1.1931600841824652,-1.0739927226654782,-1.3300960062048799,-1.3427451234903445,-1.6460629078945437
fabric,-0.7707845020306041,-0.7636030332287538,-0.6926158358829044,-0.6603965035654484,-0.806166434008319,-0.9016367533065488,-1.0612988344331877,-1.0958865824301416,-1.0834216149272282,-1.497664389012125,-1.7002628873091603,-1.4598156971499825
white colour,-0.8988524035733894,-0.6649984387447434,-0.7426744525013425,-0.4483599431972707,-0.7221507979916988,-0.8144786723874908,-1.1920381787797596,-1.1169412192593904,-0.9574451565079658,-1.7040287953592652,-1.262073178786082,-1.4486961773716698
grainy,-0.8307008243086704,-0.5862276418064096,-0.537331186253796,-0.40487349565672304,-0.6580505528901277,-0.5649926644044609,-1.0399292531491828,-1.1953059758493936,-1.470556373749261,-1.4188791153900442,-1.3486903131391634,-1.2578001006004143
crystalline,-0.7507254903922176,-0.7208901196238533,-0.6199826464440708,-0.6527287656646223,-0.6618116069058966,-0.8170245535681075,-0.7591076587751264,-0.9639349274030622,-0.859629403227679,-1.0726531698311645,-0.9137896698942696,-0.9675621259091007
"straw, fibrous",-0.5575831547679697,-0.5165387398264347,-0.32155370353238455,-0.5099809550688208,-0.38862941843796106,-0.5631518345193485,-0.7240468207915338,-0.6184781591687112,-1.0139795001127676,-1.1532776442079506,-1.212951797739934,-1.054066619945199
cloudy,-0.6833249737795484,-0.7570027194914493,-0.6288193921888547,-0.7372719863334787,-0.6071796113314902,-0.9688867533023235,-1.093064675653554,-1.3151256010502328,-1.1048866882899135,-1.2506468735536167,-1.6442866735108606,-1.0363446932272216
small,-0.5051384701699511,-0.3665861791623528,-0.34968823808806215,-0.36541132328192516,-0.295440372612797,-0.37922463886446445,-0.5925736231667853,-0.5939710765145356,-0.8278434146323881,-0.8881424392303647,-1.1271253576657077,-0.9467688056451975
"beige colour, tan colour",-0.36549080886754903,-0.6283616128859342,-0.5286689425580489,-0.48567407392907036,-0.6986249597112295,-0.8660481402168481,-1.1437569579322475,-0.8931802021213981,-1.1882077923575913,-0.9764203930521387,-1.4120473990288929,-0.8932399736671388
viscous,-0.46014714832510406,-0.5324390966013934,-0.42877622407180005,-0.5584447576659799,-0.5075120268717628,-0.7279364957321297,-0.5729014077067112,-0.7940415930351501,-0.7073858166335627,-0.7278112305062459,-1.1515139302321495,-1.1043152555161204
black colour,-0.2481474298216364,-0.10522414125477941,-0.11373781832547047,-0.30267395962058563,-0.30281436511085236,-0.39565826779243674,-0.38069751906008964,-0.7073391478595237,-0.428330452941843,-0.6178147397725922,-0.7839080569166257,-0.9515839628010931
brick,-0.5476775558218194,-0.5148809160879952,-0.45739599234810546,-0.47813881980332695,-0.4737836462120135,-0.394727712654918,-0.5714220471507945,-0.6372370430029319,-0.578404161418439,-0.655811291056372,-0.7020662029576665,-0.6252540597747716
swirly,-0.6378211537227272,-0.6088995226472849,-0.4867069971827864,-0.5089467226688649,-0.4960937782576118,-0.6356524574256162,-0.8036344602648595,-0.8327056228477989,-0.9500651319818809,-1.1291899103904726,-1.1288468684687545,-1.0454483212895331
maroon colour,-0.2582419187838563,-0.4264729027477685,-0.23921897329727027,-0.43723732585223773,-0.43924388597954334,-0.6132759469407327,-0.7733594166258666,-0.7730804749926452,-0.7500530620081807,-0.7873390950508536,-0.9226948483841768,-0.7368889143720838
"lines, long, tubular, vertical",-0.4971277325881145,-0.3168034158461326,-0.33384459156395274,-0.2320534939333032,-0.289981227115673,-0.2975511160904192,-0.4458591985479843,-0.5065170863227957,-0.7086634854222804,-0.8046439466677426,-0.9724775690683454,-0.6402107865471709
mesh,-0.513238157726772,-0.26411621093943194,-0.35743139776633637,-0.1566336174083176,-0.3136676670968672,-0.3429913255669583,-0.40831627559338046,-0.6113617653995984,-0.8371475246535744,-0.8956476534088043,-0.8403948548334226,-0.9066112348097328
yellow colour,0.02032560995379329,-0.2957948610245176,-0.2687923929635849,-0.2523090996366957,-0.398894113911493,-0.5981655809094903,-0.6100367663373918,-0.6136649630224325,-0.6372884304822803,-0.9131025631298557,-0.926041900176944,-0.4828386008681569
multi-coloured,-0.2201447017348086,-0.32219699111758415,-0.2564722069462757,-0.36412822314163495,-0.25973454905295057,-0.37713255102976584,-0.32526669187146084,-0.5028648529629216,-0.4155995887109376,-0.7907615785124407,-0.8758752545914086,-1.0206226772518288
thin,-0.43722729798697735,-0.4451420012633631,-0.38997308179227086,-0.36895601878762574,-0.41921156747058785,-0.4905949766662985,-0.5623433671614493,-0.5612334340438634,-0.6439830839497818,-0.8031391657666584,-0.967105992736641,-0.7354581026016329
bulbous,-0.41530394381439306,-0.43107076432812086,-0.35868897064874594,-0.40896778713154136,-0.459009018247748,-0.4138221892909726,-0.5876663437085343,-0.6906815903810102,-0.674624642625449,-0.9061179541557791,-0.8831653530015395,-0.6978657401613835
green colour,0.039532647469547766,0.07910864500126258,0.1807013753836536,0.1359403467951784,0.15057774830856063,0.0726300469286909,-0.0885288049887083,-0.3348165009574169,-0.3397290840139351,-0.7046119403354978,-0.6941529116216785,-0.6752732107091233
blue colour,-0.35284079515288136,-0.06378707012428375,-0.011461036252538692,-0.19198379136719423,-0.1015786187111758,-0.22396354162171317,-0.300020313396663,-0.6482212122346025,-0.520040564081429,-0.5974928518565747,-0.7511437276386457,-0.5708134563921892
shell,-0.2715708382444313,-0.353337620914828,-0.2584530779767775,-0.21127176758084754,-0.3231736946003345,-0.4097699635312484,-0.5663830744324021,-0.4460264274877166,-0.48462269000842184,-0.5733427536699822,-0.7079136065781921,-0.8174994475490966
"gemstone, smooth",-0.35580802632134634,-0.37312948618824615,-0.3169403828199864,-0.3445878746889135,-0.35276720520131244,-0.4058959613749531,-0.42410754325802325,-0.545042744245037,-0.508054764087823,-0.5544336774988161,-0.5279127343109786,-0.6861520355067978
sheet,-0.2981419602072135,-0.31192454398277714,-0.3028404863494063,-0.2685794934592556,-0.41456841950226675,-0.4023214327265101,-0.5640329236694801,-0.5380881612510917,-0.4845290282807042,-0.6722471738617546,-0.6712761546606094,-0.5944639281692818
hair,-0.29860341287001346,-0.2766127578041486,-0.24065607655166077,-0.30044981586853226,-0.44590297835902515,-0.5392686949404457,-0.6940161517974781,-0.6155046142466689,-0.6302190197409221,-0.8054817008065589,-0.8749515615371326,-0.741956705558279
spongy,-0.3605333840383995,-0.35832448481761703,-0.2981471271636993,-0.3374058638620605,-0.4063048570006289,-0.4445387288175071,-0.5023886713241406,-0.539527824090841,-0.4450672696322968,-0.5704489335425844,-0.6967190310176861,-0.7026391763183875
golden,-0.30706749684146106,-0.2694230605474033,-0.1770562251617891,-0.2718044229722274,-0.3421501785359602,-0.4420583522983188,-0.5455282532587262,-0.563668116449064,-0.6412289017154258,-0.6345177110904081,-0.9727927202875384,-0.6617078212927832
red colour,-0.1206356934431434,-0.1745449187574175,-0.13716729087685975,-0.23636039793058328,-0.226878770224761,-0.27426801154712166,-0.3176443692522095,-0.4196139686099807,-0.3354010225156667,-0.4041378521047343,-0.5598797873263621,-0.622985640751003
"round, smooth",-0.30812060249558293,-0.29117346217219886,-0.252731260749433,-0.3049205176893748,-0.27496095606495885,-0.3678754313645358,-0.40143136781974786,-0.41406675973106366,-0.40212409781993985,-0.49334848000945897,-0.6263754680619971,-0.6791346203862323
cream colour,-0.2788489155624325,-0.2774171776272505,-0.17265171055606232,-0.12796953309212733,-0.2373023383418269,-0.3292106425165935,-0.4855805639605122,-0.4256234220776347,-0.3782699629944464,-0.5170565406933618,-0.7720431338870057,-0.6954938626381717
bumpy,-0.3475023887705655,-0.33743648377926627,-0.3046728408495567,-0.3254826202668213,-0.378783015040546,-0.4953831904506796,-0.4929864815808851,-0.5625636535460472,-0.5599615078886429,-0.7602521155418134,-0.7154393636463225,-0.7297808508993338
hot,-0.15213280631195225,-0.17316094056411258,-0.16756503454206007,-0.24950308366385232,-0.24403564624900986,-0.3052454428604656,-0.34271061119609203,-0.48262367939926576,-0.5031237483420348,-0.602960972791112,-0.8294945858689937,-0.6664756666980154
turquoise colour,-0.127333323337121,-0.09115995886228756,0.0699783453645334,-0.09980023246245362,-0.16607386769723265,-0.18587433836692968,-0.2546082438707544,-0.3631878465809284,-0.386102269610878,-0.3877637020982845,-0.43240100981221974,-0.3248956834048877
