dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
mineral,0.301060495546532,0.4672478604660011,0.5611375922639208,0.6825886544033887,0.7270793432588614,0.7571688000615238,0.7439203826971919,0.7364729494438194,0.7635668335240399,0.7908539173337787,0.8172399639510648,0.8389261254083087
wood,0.37464352391443495,0.5028123527958688,0.5845088241707032,0.6768263954592202,0.7067700272292974,0.706169805007737,0.7185439929332593,0.7266287241048264,0.743931480974673,0.7663138642735562,0.776260579277972,0.8020660921433546
metallic,0.3986069310188001,0.4806932192309546,0.512225589593396,0.5333298024336713,0.5383642587108397,0.5607738334182999,0.5763327054299716,0.571108345760637,0.6008050506198835,0.673013311411178,0.6768491924483808,0.7439175950586777
fabric,-0.15865815504447406,-0.04883845981268847,0.027786607776871152,0.22428675971742412,0.3195726126606856,0.3733376088560117,0.3980365272064989,0.4447237788356442,0.54355644730859,0.6304573477880233,0.6891806756668439,0.7207282218231919
white colour,0.5981677449641474,0.7118114018613241,0.6994212001600965,0.7460951706039565,0.7482119773633803,0.7596438189724923,0.7502836559268882,0.7025139649960488,0.6806726547574995,0.6624866478120215,0.6296356066172679,0.7093139429806363
grainy,0.08931654339236036,0.31854853620776197,0.47698429924960883,0.6439718912769984,0.6359604591211538,0.6534782759473343,0.6115388548614998,0.5909407378938445,0.5983807857118656,0.6346653213229382,0.6313018355205864,0.6986534268280848
crystalline,-0.07933642156558363,0.04622711618479599,0.21720861973420308,0.4416767881707466,0.4817743783646252,0.5065670259429812,0.5069674275839174,0.5283875204777233,0.5454436629251264,0.6008553353753568,0.6444289885580579,0.7014845905703979
"straw, fibrous",0.11584838122855882,0.20178532139969435,0.1927544971412018,0.2466530155234566,0.3680706295554643,0.42948985532085693,0.446350178278904,0.4520929540949587,0.5102861324462687,0.5130777365437165,0.533441856548577,0.5631675024391037
cloudy,0.0031912152188594335,0.06199201278407697,0.1674602431614337,0.2849435231007126,0.3436766729352641,0.38705129533533794,0.4327673512906565,0.45464729817508454,0.49272003390979624,0.5337020795089442,0.5449910940882846,0.5995706918942088
small,0.19838158206604595,0.31652536461277675,0.3831773246921677,0.5055755088518985,0.5739483685746187,0.5819407927174797,0.5960939037223818,0.5978397708891829,0.6092518322233031,0.6410770701746545,0.6476629280169364,0.6614726900353431
"beige colour, tan colour",0.6493806082583694,0.6716213786358212,0.68328476949413,0.6807546115274732,0.659386194172825,0.6170200914607022,0.5529014335310147,0.5332089410070412,0.5119885302662971,0.4967391761959711,0.45287106079862777,0.4921723970574323
viscous,-0.08161878548980309,-0.06799414255805872,-0.034718716747374145,-0.028972076159791103,0.048414885228477936,0.08943663005663106,0.10300685693966061,0.15255241622903265,0.19416039818195846,0.3199153661134323,0.3891912518757868,0.48085107168445473
black colour,0.35637373184600524,0.48923124452376265,0.4697796955791384,0.5280016398281505,0.5119031717115206,0.5509360278081232,0.509931074632006,0.46951106876200266,0.45038447097870177,0.45620092755101266,0.37991429964201556,0.48877630792894616
brick,-0.027548325558730713,-0.061071176616325586,-0.046360899930398415,0.01333091185474038,0.07340536833809677,0.06555387276265998,0.13902130890859868,0.19193961353837805,0.2575195725619762,0.36636093887015264,0.46506240432388884,0.5197866597961104
swirly,-0.149332912395036,-0.031339979989702296,0.041547567600086356,0.25002416366858815,0.28334913103186266,0.3252515521707005,0.32726509757115385,0.36785494146772135,0.4317066443941185,0.48963884722589723,0.49287025406552554,0.5546061481199065
