dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
mineral,0.08481520080132071,0.22127238351701511,0.4135614076000911,0.5583805007846158,0.5921927941709942,0.6200176090064808,0.6626493487478327,0.6581953606021513,0.735011442708083,0.8025709562190423,0.8480255688249171,0.8574887167501289
wood,0.339589446191927,0.42339668914199624,0.5523426429897722,0.5933686158084855,0.6205696389192283,0.6321567084426091,0.6631811762311186,0.6956253490642759,0.7475927738015269,0.7789722960428968,0.7441958996048482,0.7802853501970859
metallic,0.16830191098989172,0.32963536817983013,0.40853027876085013,0.4592084582621168,0.45902944824367714,0.4412054343407206,0.48106939217911054,0.5026947918687569,0.5586923259977726,0.679213078548607,0.6784046440586928,0.7416030663635147
fabric,-0.43741085274476665,-0.3697232094055499,-0.10495459513494883,0.07944579539063876,0.14810979785953318,0.22930515120808592,0.33567426405261436,0.3946810302884681,0.48539812522539094,0.5609902398500382,0.6026670121188894,0.6726735159157509
white colour,0.462730531947798,0.5508118307235177,0.6096494854822418,0.6335729730325431,0.6211821832456068,0.7129799222352747,0.7509636814958689,0.7226505459790264,0.708510244966946,0.6876274358346675,0.6484643447053865,0.7477276573506992
grainy,-0.09261150809588081,0.13881148363524815,0.3912534014883411,0.5389641573067743,0.5588300268310449,0.5736165284643053,0.6170310106870529,0.5955036004673263,0.6244161636940766,0.6396783868253497,0.6411267696856555,0.681183052031366
crystalline,-0.297162154274214,-0.13258501540056958,0.1490127983036875,0.24220487846585687,0.3376844544117534,0.3275245369777216,0.4374090467041684,0.45753146612055084,0.4937646856321628,0.580226556357703,0.6089546395988272,0.7101554826701616
"straw, fibrous",-0.342905670159286,-0.032310260936838045,-0.0314949130431418,0.05415169383632281,0.040223356002053755,0.2649225760069125,0.3130578212023874,0.30479991365745324,0.4057071136194921,0.4462521523624357,0.40699127279763225,0.4889849374159237
cloudy,-0.1583137819652174,-0.15766459962114338,-0.0036964016363215226,0.15851172300048186,0.21413134546262297,0.3657595282642155,0.39475405110190526,0.4516586937105698,0.51240086655642,0.5656875116900637,0.5187655349541062,0.6060826872954017
small,-0.03517860139865051,0.1406464357962383,0.3003458478201563,0.39884902441715575,0.5162978194274921,0.588967658882964,0.5855473845977829,0.5690623658440493,0.5840957340208518,0.5949587097549621,0.61148379618797,0.6606077753964807
