dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
mineral,0.30391858418793627,0.48818557198190593,0.5712250317835166,0.6886795614181181,0.7280675330018959,0.7556589581102701,0.7471167540086296,0.728478866896649,0.7675657174397943,0.7954760242901523,0.8172867866989462,0.8379729707718999
wood,0.3729412749516501,0.5040041394820491,0.5986267712416373,0.6779493309872651,0.7069414858029847,0.7056652791149265,0.7140672812775657,0.729050828205595,0.7498056724997784,0.7781483560219169,0.7830419844426363,0.8115703243761507
metallic,0.41071087808147305,0.484059199453997,0.5264144251778016,0.5389259834369348,0.5403501109936226,0.560470139188453,0.5770217569223869,0.5688140788910451,0.6003613727990768,0.6759000073930788,0.684762423693795,0.7501529482267388
fabric,-0.14265096140914735,-0.029721544147290325,0.04656095437177378,0.21177783915826467,0.320844276058577,0.37187771145546306,0.40108025426908994,0.45412580868565533,0.5542133229688878,0.6405202814288069,0.7013204044559677,0.7357662446209613
white colour,0.5979282010888811,0.7249718070541616,0.7264386224451779,0.7488838508654919,0.7476446981104884,0.7583689515519121,0.7579502211697118,0.7116856653300851,0.6911779981549137,0.6755991859053272,0.6330204923490114,0.7205608999232884
grainy,0.08637291078865832,0.30276574092277614,0.4920544099724422,0.6479795685150617,0.6362696017890951,0.6570240968256825,0.611437870421985,0.5879505119309576,0.6063477778768923,0.6542160985553196,0.6411567289516276,0.7071735333794941
crystalline,-0.08582604728228113,0.0980150399280915,0.2642211806497299,0.44532423074628236,0.4822012076430312,0.5149244349312667,0.5139065133752008,0.5286270897864798,0.5517047312053815,0.6175166397724856,0.6515504661774784,0.7097147789878984
"straw, fibrous",0.10063469190808841,0.20003122948902638,0.2167218979642585,0.26298130755906646,0.36700754897388405,0.42692783886330543,0.44215001265680165,0.4470591074541921,0.5136555921735689,0.5263753653647285,0.5494596405112249,0.5699172655979792
cloudy,0.002007693721037762,0.08863266983876543,0.17921067298963256,0.2814807184152608,0.3422327268935792,0.3877584839173055,0.44139125998331713,0.46744364275191935,0.5112673814794761,0.5524269849782921,0.5554881412517129,0.603085684437215
small,0.2027011886136522,0.31010468798991153,0.4120738178031028,0.5061426240992549,0.574954549336229,0.5775912892800246,0.5944365160781653,0.5923598455500979,0.6100765299160502,0.6401798959192894,0.6431427026723133,0.6691223836875475
"beige colour, tan colour",0.6421642470196125,0.6642106752628811,0.686558688576633,0.6796996267647198,0.6600048544070288,0.6160556386839512,0.5482274641682581,0.544441975726351,0.5193138148252197,0.5185256387807368,0.4668755926543069,0.5113062809314062
viscous,-0.08000919003259019,-0.059918515818511806,-0.04377036684878203,-0.013597926661877735,0.04949908556493943,0.085113779020477,0.08144655196543696,0.12642192745244082,0.18117641738482926,0.33017957649352275,0.41894327365291495,0.4998028922715239
black colour,0.36117090895962184,0.5034098166027048,0.496202720502471,0.5363816116224778,0.5137892956147179,0.5514455578483395,0.5097802255906505,0.47387678417058837,0.45287005702087224,0.46714113335492946,0.37369229683934857,0.4920868470237772
brick,-0.04556540366180987,-0.039669702760865413,-0.02124837941028478,0.013433760634141267,0.07580255829979868,0.03560272644678676,0.12929123602924392,0.1780583865631828,0.2466127218083372,0.3555975844907619,0.4813129135258726,0.5338340073463773
swirly,-0.13897725911712427,-0.04104871080682968,0.07011549452181236,0.26890838612215595,0.281584254183332,0.32887160567240287,0.3407183454519555,0.3803110391394131,0.44617793892865887,0.5049953340209989,0.5157074734326434,0.5703101823074443
maroon colour,0.4120757101062472,0.5257104395520622,0.49088807762131487,0.40192735960087456,0.4273820899069933,0.4316995138953271,0.3040756242069614,0.19820691879309937,0.13604749609537478,0.12666899912098498,0.15334921334322937,0.18665502968344713
"lines, long, tubular, vertical",-0.11580964993623086,0.11013911842292275,0.1489455062589573,0.20949468113188824,0.24026457027760978,0.2983999773486616,0.22726809722584645,0.16466212924458085,0.2761157705313309,0.25166351679389276,0.3127701332122288,0.3941820296517121
mesh,-0.02682059887719932,0.19755743270682374,0.30610686556011146,0.40883415651880506,0.38977737351034525,0.4407036225193611,0.4366446894477166,0.46749806899896323,0.4947017105371102,0.5544274987154691,0.5935367503574336,0.6454497580002453
yellow colour,0.5722593240335225,0.6310436674672749,0.633567020957542,0.6040289028858983,0.5453128766306075,0.4960219058110654,0.43029775725471,0.3616921444646381,0.29102261285926984,0.2766542640103427,0.25241209024378175,0.4175223356577392
multi-coloured,0.31811149505768715,0.34864329565479935,0.31418760192507866,0.35753611155872445,0.3396275166137564,0.3892919948942714,0.3925139129908807,0.3883594430199311,0.41188293204743653,0.4867508647675211,0.4759855480325704,0.5112973044684661
thin,-0.08634352806932821,-0.13159937064337437,-0.09001218967646725,-0.10788474714369398,-0.09305052488697535,-0.03611396256856603,-0.09055166160050196,-0.006135065722226707,0.09021332391002221,0.11988040204244985,0.16612769419257356,0.2834444578619005
bulbous,-0.2358839996017797,-0.22833565762834063,-0.13547238169938902,-0.02923116926284164,0.06958914891792622,0.10303372586078352,0.12060470923469388,0.07674250889178333,0.12395800788713122,0.20784477535245188,0.2016552126654636,0.2454999273989197
green colour,0.45679244022023335,0.48857013636892355,0.4964531899941452,0.3993197253961858,0.3516398826174988,0.3378114128341371,0.2514789377767427,0.17323938679548342,0.05427675953526527,-0.02614663012871954,-0.40344728339476976,0.10682129777753287
blue colour,0.46019154811706003,0.5367314482210097,0.48628377096571695,0.48627093293424667,0.38522253440611975,0.42598979070760656,0.35672426813269775,0.3112609290174585,0.2659447460426749,0.1653804662151529,0.10851952857332887,0.33177731209179523
shell,-0.15749526959566507,-0.3035892641147956,-0.2542213847964231,-0.23793725308537111,-0.26595693930466574,-0.18753996455779304,-0.08323866639090344,-0.12691245095299936,-0.14607993520939205,-0.06100748828163181,0.12722951430851112,0.07389766132796763
"gemstone, smooth",-0.368280954733491,-0.4525614673552125,-0.38056705172455674,-0.4688044173656861,-0.4292815781068633,-0.23640288656042902,-0.224990373987207,-0.29170558875520286,-0.22537510425156465,-0.06401639134375814,-0.04197992613355128,0.022663594531027842
sheet,-0.23509612218570536,-0.35054347597695895,-0.347109244671294,-0.2702315527833152,-0.1795291928716825,-0.1762341678068699,-0.1554932429754771,-0.1827528002067198,-0.0914568786582008,-0.01664356842993516,-0.005628200764682378,0.065400548867033
hair,-0.08162075452192402,-0.09216923151162033,-0.09187099055047454,-0.08805279677073578,0.018297133897858163,-0.002992886536895867,0.026310493824844926,-0.004770262764399469,0.005317767586369237,0.07274850434420856,0.05324569220400917,0.057069629588602754
spongy,-0.46662085236111095,-0.5190672574710995,-0.5693597327379867,-0.585979510727761,-0.7858857547958964,-0.5888638026008484,-0.3861870175507673,-0.4380129707964624,-0.2987586693407363,-0.23890660588502036,-0.2680424037103459,-0.03967211210037164
golden,-0.06700060587348353,0.004643364711159059,0.01872866799761743,0.02739333678597331,-0.0207200006873265,-0.07656065480111099,0.025094743205656512,0.00243788212792867,-0.017403034285368935,-0.02900670073922602,-0.005837282237070696,0.19438605258118247
red colour,0.11556096049531266,0.13519227088135408,0.0929816580012558,0.13801830383968663,0.08394478791683584,0.05010072667148491,-0.011010660351124534,-0.05424480997779864,-0.15447915414343694,-0.19185116661589247,-0.4389424354477729,-0.14551475729969054
