dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
mineral,-2.1127174758454577,-1.8997016866403449,-1.80127162143258,-1.8438439286872526,-1.7656113229636334,-1.7799294381021364,-1.7752496682973846,-1.6607343413870894,-2.1321118729939403,-1.841234854003042,-1.8276066218818054,-1.6934871099015445
wood,-1.5356611049704645,-1.5663055954221372,-1.7563036399984755,-1.5147247038888403,-1.778581573054427,-1.9788165383028273,-2.011713971150254,-1.8651381167371825,-1.7321094329860456,-2.03416632128462,-1.8146554201103093,-1.6267302384766422
metallic,-1.541890829801114,-1.1096138198031675,-1.0940066129675041,-1.0789363749648033,-1.0269418979740799,-1.141902890584226,-1.0003229351365577,-1.25153154697768,-1.0511458310812754,-1.203307612226792,-1.244177284499755,-1.6121088930700012
fabric,-1.2432763580479427,-1.2117671509382104,-1.1357869164132608,-1.2749524371372476,-1.2760858231709848,-1.2030145660599958,-1.1106722035981504,-1.1683755550639399,-1.1521369288135528,-1.4273397892168385,-1.5382137544436878,-1.3920008524125889
white colour,-1.398634403286124,-1.105159719905576,-1.217935748112557,-0.8594754649492227,-1.111485115427079,-1.1356756631433251,-1.316944180445656,-1.1847742395817669,-0.9716246251570118,-1.6126810239038343,-1.124819490351415,-1.3745065399649055
grainy,-1.4660405834164107,-1.0101144523036134,-1.032233150232298,-0.8257964194080167,-1.1139104961626907,-0.7866038804920432,-1.1101601789056224,-1.261503728616273,-1.4551890911716359,-1.2970859757249364,-1.216999617761501,-1.218051917728217
crystalline,-1.2140719407226497,-1.2010691067477492,-1.1612617576978677,-1.0756207884510198,-1.1013799752746705,-1.070917391585489,-0.8439931574011679,-0.9590515239422124,-0.8661397779976467,-0.9919921507475931,-0.7806940959144362,-0.9267760130922416
"straw, fibrous",-1.0637694762916068,-1.0977471125773488,-0.7813332325411917,-0.8963862837392402,-0.6748675859619191,-0.7983925199401238,-0.8456486689504992,-0.6596335440921957,-0.985659536613855,-1.1067272716317844,-1.1134707832240616,-0.980590156845405
cloudy,-1.1013997595631966,-1.1417882592420678,-1.1202025845361594,-1.213409946504369,-0.8974969158817911,-1.2467240398891923,-1.1845454880366986,-1.3474763165788266,-1.0964134005194857,-1.1468381137405954,-1.4855433316344517,-0.9906254758791926
small,-0.9530039761501465,-0.7522263823918154,-0.6941270495859551,-0.8127963958037436,-0.5554633661721711,-0.6281110569808326,-0.6527449360405058,-0.6088008710451684,-0.8641714261657756,-0.8057543697837335,-1.0346535050781327,-0.9368471141121366
"beige colour, tan colour",-0.7812491951420655,-1.1400364762647959,-1.006830618735166,-1.0545343954670523,-1.0802082288446053,-1.252850385523458,-1.2487140679436077,-0.8931778330247184,-1.183679420738978,-0.9358205323489461,-1.2532623317503502,-0.8583259919431676
viscous,-0.8154335669328754,-0.8914585149678917,-0.8570177726088664,-0.9109119039341238,-0.7754001301330471,-0.9980487219687144,-0.6400147157769625,-0.80620147708786,-0.6740113229876095,-0.6724778624130892,-1.030285710822608,-0.9983673141647824
black colour,-0.5274471459953038,-0.3355306624189689,-0.42708812770968696,-0.6291518380267203,-0.5216696398193557,-0.5928119337176221,-0.47073823124668035,-0.729342790201305,-0.43803402887081044,-0.5799054990155526,-0.6942483876377896,-0.8856300785266
brick,-0.9066990082389816,-0.8727453395572828,-0.8235538720572646,-0.8425738861584895,-0.7486126221294964,-0.5927155174563279,-0.6026778386204839,-0.6720475722598349,-0.6040557793064765,-0.567586322083633,-0.6078433887980335,-0.5698345929996629
swirly,-1.0943325722352877,-0.9770563941349946,-0.8279519463173144,-0.9621224317259105,-0.8375074563717471,-0.8905684270092742,-0.8779074598114596,-0.882867605978622,-0.9444933464631724,-1.0705049388845707,-1.0510549290991653,-0.9718555125220991
maroon colour,-0.6437791720837964,-0.8977035957232888,-0.6349608212039173,-0.9202715827836021,-0.755865973552668,-0.8783603703938023,-0.8773007452269537,-0.8412710627582209,-0.7349403068353613,-0.7027044130788798,-0.8288057866686844,-0.7014408752069079
"lines, long, tubular, vertical",-0.8424161143510629,-0.7260040091515245,-0.854840644382935,-0.5295329668195985,-0.5802295150760775,-0.4674119942436801,-0.5136102976201304,-0.5643584222999873,-0.7540777760139794,-0.728864840046052,-0.8529527360215348,-0.612929670085963
mesh,-0.9066844331620882,-0.5973969462125492,-0.9371493957195058,-0.5416807412266011,-0.611894915249382,-0.5871503669192926,-0.4419974220488181,-0.6519179532123918,-0.8432463830626553,-0.8130310505763585,-0.7420213000443652,-0.8445671813045483
yellow colour,-0.26468792775465677,-0.7102251722494293,-0.6406433009894366,-0.6450015654586421,-0.6822964273008165,-0.8339292599012633,-0.6425548612838448,-0.6553347652863153,-0.6833944242816039,-0.845649669262245,-0.8058420355109184,-0.424040470221996
multi-coloured,-0.4829807229431178,-0.7718413435808631,-0.7892279425247275,-0.8500161401502977,-0.4967042367325374,-0.5495469604739971,-0.3859874703302435,-0.5480537426363292,-0.4420600580062566,-0.718803998259991,-0.7857998540683824,-0.9665076064521183
thin,-0.8271221136404661,-0.7878870612592859,-0.6634662240599687,-0.7062139937531933,-0.6114937091017085,-0.6638546221905297,-0.5931517036461422,-0.574250005405543,-0.6275150152424249,-0.6932246074571522,-0.8865986074473271,-0.6867161611875663
bulbous,-0.7395035461755548,-0.7520524996789524,-0.7144540606101095,-0.7786000241494766,-0.7338160247316392,-0.6204032650681961,-0.6781479651098481,-0.7092779194978787,-0.6307831927431229,-0.8483953931017456,-0.7789621309949248,-0.6472433863540894
green colour,-0.17516607375399795,-0.1779621345228437,-0.03167418298234992,-0.11503316847959755,0.002227811207320296,-0.10536586078355237,-0.13585359833204902,-0.3932267556761706,-0.3619352374429581,-0.5890557730184778,-0.5790145936854159,-0.636030086903502
blue colour,-0.6510870717829711,-0.41532111346635414,-0.3475100654229415,-0.5798613628159353,-0.3421098459519918,-0.40454974053216874,-0.40115192461126314,-0.7001178849020635,-0.5074641524441954,-0.5133312132945391,-0.6414985063035361,-0.53398036955616
shell,-0.5433309668002941,-0.7180996754419389,-0.6155313060958914,-0.43872867042094676,-0.5455393714164771,-0.6383802471129421,-0.6233578189973614,-0.4861496013531821,-0.4987805724799024,-0.4975195908257928,-0.6034048439022577,-0.7705871793929089
"gemstone, smooth",-0.5709457698288753,-0.7334994588948762,-0.7060011330950726,-0.6403167352935122,-0.5886859259219432,-0.614435738742585,-0.47052959877324185,-0.584735667638469,-0.495925912665667,-0.5027307939935344,-0.3991227836259801,-0.6232554103086485
sheet,-0.5848028257887075,-0.6492855757633289,-0.669100781833468,-0.6277987404457512,-0.699664823654788,-0.6047798884116276,-0.598580214086698,-0.6074708116770664,-0.4532538182682728,-0.6039071546202106,-0.5949743403778787,-0.576045784960987
hair,-0.5587459076687256,-0.6060194818200753,-0.5385003490036069,-0.6295089348465339,-0.6544327567118748,-0.7386331751444688,-0.7616413453706097,-0.6443780060006294,-0.6055809845916282,-0.7242043972400984,-0.782061492131503,-0.7194689575928606
