dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
mineral,0.297183317164213,0.37098019161399465,0.5166027929905913,0.5981113613666937,0.6268519154029104,0.671847105071091,0.6777364722698878,0.6607352034919267,0.7176827498850156,0.8173244982767934,0.8618385633630166,0.8796956622109522
wood,0.5153371169249787,0.5873995905437167,0.6924471464949962,0.7111392329874291,0.7114674217925776,0.7141538265675679,0.7403988568722832,0.7584079561247579,0.7814345218990042,0.8219003579595505,0.8337579150794447,0.8542881631659844
metallic,0.34549325545617326,0.4901878673493736,0.5368783299172093,0.5626524683769195,0.5444943364193859,0.5494067537362488,0.5604934253172198,0.5761432602594116,0.612191864862956,0.7106203149539521,0.7401754024147145,0.8065189727121753
fabric,0.07428909492355429,0.09168196270586015,0.22285534369925175,0.35933253619894623,0.39797231376047615,0.43850784122827235,0.4706591794499687,0.5238303820086079,0.6655542623294222,0.7367229545117279,0.7591214408350362,0.8146973406160511
white colour,0.5814756014862799,0.6290673713056982,0.6766074241945997,0.6820654923103668,0.6631936989798254,0.6880948271800045,0.7259762753826466,0.7105034964804047,0.6910401301416605,0.6942481090518247,0.6895387149700631,0.7608769611920179
grainy,0.22054152399554294,0.3645910351371304,0.5029069062576192,0.6112447524830684,0.6194562586007579,0.6483469493810047,0.6533307287521865,0.6481728050798039,0.6510438824152752,0.6894287779694628,0.6986683055508114,0.7260501830268699
crystalline,0.04846431208373536,0.10532502509042707,0.24858848884877605,0.35876561685143293,0.39306468828781793,0.4459814082654868,0.4274084400947775,0.4541510555405358,0.5514626178502586,0.5721093337441526,0.7153516271614548,0.7835912776544054
"straw, fibrous",0.1498690231427453,0.27729704711835157,0.32247683754164924,0.37353283451296215,0.46931222570249276,0.5356695743098547,0.4807766500202728,0.47655962124620943,0.5483458957059701,0.6662681593895483,0.607983902491958,0.6894381395329229
cloudy,0.046876430113188206,0.06639697999970418,0.20177102064589103,0.3137838178083717,0.37939766417024934,0.47248556363187033,0.5113952141140301,0.5133663102171326,0.5893569795727163,0.5736834216176709,0.609163396550892,0.673170282777429
small,0.2749398397206353,0.37036520249422467,0.44551590223025705,0.5163932641411173,0.5820566376867151,0.6278023283125274,0.6449685642477068,0.637617612894288,0.6282878358523881,0.6302379876967374,0.6440373561172403,0.686888383270361
"beige colour, tan colour",0.4524399432409578,0.6019190052094059,0.6284343462048381,0.6395824524114464,0.6350451063363833,0.5969928852769391,0.6030740053403532,0.5913311947333977,0.5839784489101298,0.5593588095642082,0.4828489658979297,0.5967982436377082
viscous,0.01929019279194255,0.07695043640857546,0.08047731595681418,0.13596417025303698,0.18102347784375983,0.20253541397322194,0.22668442327214278,0.22028809690063178,0.2676229890192713,0.33850241183747865,0.4391458866540554,0.5113827041633672
black colour,0.35269034626550044,0.4707979520704426,0.49134176668566787,0.5178734393613447,0.5292891989978912,0.5269837357649665,0.46052909570630274,0.44998445965426137,0.4434099145085928,0.42341907354856234,0.42208546178964856,0.5838678758703589
brick,-0.023400705921973186,0.005540439622936044,0.051549302279691234,0.14648148014393858,0.1814551811205931,0.1953685779635045,0.22548314808720382,0.28807397030578785,0.37743004070165265,0.4070502499964138,0.47722661019736046,0.6199479824028713
swirly,0.0090211384381359,0.01637438104003852,0.16130728254656657,0.3441554867421037,0.3509502915357865,0.4159974898843881,0.4169990708247471,0.4446598427003965,0.5185531428627668,0.510397246256979,0.5173460086179398,0.5903453564031707
maroon colour,0.4386076474685413,0.6061841282027842,0.6038588186813532,0.6107934555239952,0.5776563289446822,0.5576019621973527,0.537418257928752,0.4962585448535012,0.4929473355431214,0.4408378407812372,0.4367402765017706,0.6026359294367623
"lines, long, tubular, vertical",0.04385732644678231,0.2754340466924825,0.4030903967007321,0.3758494774772816,0.4119880205833161,0.43321107058979313,0.38228199067741786,0.3334103589224846,0.4266539311405896,0.34043695940298435,0.39032867625007517,0.4920213769462879
mesh,0.08169216114485822,0.24746704396237773,0.3691543467836872,0.45341253811722526,0.5188103859329334,0.5664024961945222,0.49210241170102575,0.504043451400827,0.5217199535963093,0.6022897218547367,0.5126247975966698,0.6824490393204247
yellow colour,0.6250248788587103,0.644597446162188,0.6506005482251771,0.6072530077331881,0.5740639206000775,0.6051909388673848,0.5014155782949757,0.46244316172570166,0.44558462330238335,0.4112055114501201,0.39134983423854397,0.6493499851654728
multi-coloured,0.3578772491014989,0.45949553213245753,0.5113145167701888,0.495401842175595,0.44170893683591783,0.4428095098223622,0.4315476079678423,0.5390467085983471,0.529788861905423,0.5876650767258207,0.6086775527846524,0.644899058671634
thin,-0.018432421362486462,-0.0037772474905963804,0.05257044589572035,0.10294948563526385,0.12352023742281115,0.160766785898104,0.14458707855306496,0.17226970112946294,0.22522067452843453,0.25158433027296323,0.3602165818570292,0.5025838272665155
bulbous,0.021749533131929732,0.06669217808629402,0.11637336971153833,0.1870337345034575,0.242060961196657,0.2295322197391143,0.2655054708912782,0.2050884418528881,0.259291482490287,0.3251556773051034,0.3189691303696778,0.42737467639799565
green colour,0.5215214558794754,0.5872436647141686,0.6233996815215825,0.6391478823074679,0.6157503901408667,0.631155851557397,0.5549059163970156,0.5112253597470989,0.4854073760753972,0.5190717613561322,0.35494498961266996,0.5813648511763502
blue colour,0.41271661497549716,0.5064998387541693,0.5370541745763051,0.5437621025903769,0.4170624219693946,0.4505901185876766,0.36629570131170763,0.30873494253557543,0.2441714524370091,0.22303875749729674,0.14952566058680994,0.35145520381798545
shell,0.0902529108411223,0.15176851920597334,0.1825816869708976,0.1946639351304994,0.16598267707998549,0.17090251442957305,0.19392453531930454,0.22173186851928195,0.23213411270514173,0.25231051089654477,0.5009354453769337,0.48565294558207006
"gemstone, smooth",-0.0015379558576991137,0.04337281769811541,0.02778765710239628,0.10216856323456469,0.12847716686729416,0.20584935959949568,0.23491178865151197,0.18725646227120918,0.2548788490605951,0.3276763532106215,0.3104397374656608,0.3898290064945267
sheet,0.0999142381936321,0.10378869512575029,0.1272308265162655,0.16948878428129932,0.17379881773269756,0.1828348573951638,0.16737663354354138,0.16497032336805373,0.1983323448615284,0.29749919769978406,0.30838522049123096,0.344851783854925
hair,0.07115331637068156,0.1147330870775306,0.11599663837421581,0.14305585531117282,0.13789265162205766,0.17473034369238882,0.16144416557684027,0.13568233528324947,0.19779510021557378,0.29449938830710554,0.3822255408276095,0.350153953145809
