dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
made of metal / artificial / hard,0.10826088030669678,0.18774389976060435,0.22000548946869125,0.32815566460186973,0.37492926527702264,0.4166466069738539,0.5049775324292334,0.5674540580368634,0.6674819892539019,0.7680053870452977,0.8181031113570144,0.8505485900596225
food-related / eating-related / kitchen-related,0.14155907053838668,0.2163027562017914,0.2110103088024321,0.358591285816092,0.4403149316988594,0.4958621023665961,0.5899184008792618,0.6171014137057742,0.7041811173046502,0.7853593389922982,0.8485077436822692,0.8860632512053862
animal-related / organic,0.05818637976404262,0.13617966542481375,0.15521876051208927,0.2810779182704669,0.36387801603478787,0.3892216853672472,0.5171149722830024,0.6532379254834868,0.755701391863365,0.8668484614451473,0.9030538807216559,0.9153084267772802
clothing-related / fabric / covering,0.026661582704591624,0.10108876075304751,0.06736937733724979,0.16647038791729007,0.18089009085740504,0.20541891886209118,0.327119969361528,0.40882766949203075,0.5207204483361008,0.6937746419737493,0.7582614831611385,0.7944542786645872
furniture-related / household-related / artifact,0.0634072574353518,0.19422963121848236,0.17688742044969452,0.26805487864016064,0.3662265344381276,0.40577271722546493,0.45684665405989855,0.4864583023302047,0.5884475493979924,0.6942237113740914,0.720518646530888,0.7614810997558095
plant-related / green,0.2681376812314261,0.3354825211713953,0.3265394026373255,0.3998806748325773,0.45398147060858174,0.4994778737944735,0.5303247098939053,0.5458270195170771,0.5973433423450406,0.6853754420653506,0.7677758424093336,0.7970030671174082
outdoors-related,0.17451069993019597,0.1817217933189368,0.1903919243433727,0.2756357778351157,0.33353552135082054,0.36562713336878006,0.42883302544167445,0.48673882856376127,0.560498427012224,0.641441851604814,0.689229359870307,0.7084347179089362
transportation / motorized / dynamic,0.09903604325675697,0.13521509326675518,0.20730136104352004,0.26715516009848606,0.3084210899199765,0.3260135903401614,0.40894688932712253,0.47000763989860395,0.6321175202406368,0.7512189688956633,0.7964300195843638,0.820031411459113
wood-related / brownish,0.0751430357860502,0.1069466635748304,0.12201248925394492,0.1880835053088049,0.22679256892060307,0.2563516211594652,0.27324556494656904,0.30488518061185355,0.3173498757489702,0.3936533724782969,0.4969090830934757,0.6129613899418132
body part-related,0.036637901993466504,0.10442157266313745,0.0741737619590368,0.21826051293464022,0.33008959585088915,0.334742468860703,0.5696596742213131,0.6666126465852427,0.7500778807500158,0.8068044484271364,0.8226913682683401,0.8191749183736718
colorful,0.2606631490393575,0.2779388518924327,0.25022202976154984,0.32545158974991484,0.336152586185396,0.38875973022255605,0.4362921979445329,0.4960246278979533,0.5224433944334479,0.6249416232320806,0.6448769657273321,0.6711814745847111
valuable / special occasion-related,0.017585107022685564,0.10717449634217979,0.06459178865642501,0.14690407033157415,0.1734624633280214,0.18325873908885693,0.21188021762401277,0.25184196607682496,0.3906786010157821,0.5443934557925162,0.6308798891099775,0.6736714722195667
electronic / technology,0.025702177311589414,0.10105585837891906,0.12428158342532236,0.20181815119593716,0.238800195552753,0.29042311440144597,0.3035220619937854,0.35070990187886963,0.4570938852359515,0.5579950878285634,0.6896937415887445,0.729547588924951
sport-related / recreational activity-related,0.018659000741905296,0.04035458405791148,0.05386768594189917,0.09076563015019068,0.10233391239705825,0.10229253962449425,0.1359655959869127,0.14237672480024677,0.2164591322646069,0.37839035257356957,0.6056598609553235,0.6568253870424028
disc-shaped / round,0.001306425088270169,0.014959359523650684,0.001370405361761473,0.06024780880251035,0.07273569806553248,0.13776520877519038,0.2105404313137098,0.28637458511093616,0.3053668884838979,0.3797556567517686,0.49343002135637715,0.5550745010112774
tool-related,0.036584330312283364,0.06414515425881173,0.06504447128804625,0.1182604605035198,0.16512740510321888,0.1803953515581047,0.21013366956449575,0.26102216338905715,0.34558820282264147,0.44868395666351335,0.6182412460577651,0.6756415671472957
many small things / course pattern,0.1120635942100604,0.12015647209262448,0.0976496785443779,0.17406030030537134,0.25860311655720647,0.33638432479655556,0.39219861237281006,0.4622303787160468,0.5226670489789231,0.6095303072856169,0.6162419330306781,0.628347827858637
paper-related / thin / flat / text-related,0.01763683968634089,0.036037850365353785,0.043493164307875753,0.15691087025633543,0.21363182679727843,0.23796995268284316,0.2718972334759602,0.36309502698583096,0.46126188863237794,0.5526366895729049,0.597509914329104,0.6449461839045664
fluid-related / drink-related,0.01154000849801895,0.02484753406231832,0.03136666115456699,0.06486323156044249,0.07512507898381504,0.10114768335434987,0.18512462051961398,0.2410240781355949,0.35421342870619477,0.48035164425142807,0.6112769363317774,0.6679764115462858
long / thin,0.029098297091861736,0.0510654892575495,0.07624620737767784,0.14886410648514725,0.1722451974081043,0.19429136114228984,0.207866604427011,0.254159876867866,0.31414041671329973,0.3942450149270764,0.4453759279402595,0.5351632405292641
water-related / blue,0.07011163798289288,0.07587038656615464,0.07467967491064076,0.09718932756354093,0.1192601180030356,0.13216254757827206,0.15004431166227306,0.1760175572698024,0.27623839323148913,0.4640368590952223,0.6103104222931766,0.6701874996348416
powdery / fine-scale pattern,0.02060062162838061,0.10348857728912353,0.10532942628892805,0.20126150270519783,0.22828896027576628,0.23480215650648395,0.25279755731170495,0.27767335255280556,0.3069933348495457,0.37835606266322475,0.43854054564024036,0.4820011032428453
red,0.27819083501013153,0.29247376440230566,0.24302267431353586,0.2677317035200113,0.2976537063861713,0.38590154799894205,0.41310244304851407,0.40347518016645545,0.342778390748675,0.3403663915849161,0.2396292175337562,0.5206015411259379
feminine (stereotypically) / decorative,0.04219887167594816,0.05218263132990286,0.05383229750231677,0.0840383119604361,0.08177602499298275,0.10717787282360247,0.11100966733728423,0.1319731800967905,0.1999703185561129,0.2960729441960458,0.4122437035382428,0.4795843373422459
bathroom-related / sanitary,0.09443591564985987,0.0919775674956167,0.0882875682520835,0.10428120783709938,0.12423249346175758,0.12478738231762021,0.13205453630233543,0.13837032033602148,0.1539980601910378,0.23587476568545274,0.3979634654602574,0.41224328530777876
black / noble,0.06365036034685623,0.10696507333005967,0.07553126783095976,0.10813629213593223,0.10659425575920689,0.11145453876637379,0.15763707444713293,0.150028589283148,0.1972138044094084,0.25222325927929956,0.3460534140697654,0.4014474647040208
