dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
made of metal / artificial / hard,-1.44100118812044,-1.3475537164433908,-1.2023438844806162,-1.2477010031794133,-1.3034369020405787,-1.2480859100483688,-1.32988962527216,-1.144294172077502,-1.3439784936202819,-1.199055143082215,-1.5592886749548311,-1.848395138004697
food-related / eating-related / kitchen-related,-0.4604483271873563,-0.39025468880600833,-0.4743474879502487,-0.4277109566987163,-0.4039618474105884,-0.4751899396499317,-0.38489812474562846,-0.5346219418004485,-0.5046552551153052,-0.624842333100821,-0.7737159954943851,-0.4453639646815526
animal-related / organic,-0.3758359054914455,-0.2855766514159286,-0.23763004167777924,-0.13251759449322686,-0.32500201037910026,-0.23325226757932782,-0.31000762299826223,-0.27114555199046086,-0.2583747692916383,-0.07925438758646752,0.32699189538159446,0.359090148346939
clothing-related / fabric / covering,-0.4579935710009073,-0.4485085014331871,-0.3463009295015962,-0.3998190722426129,-0.3390910734531625,-0.2919490735981749,-0.29961545219677754,-0.30130280749675764,-0.11575205280320766,-0.1807078099638575,-0.23549585161758446,-0.1190948527012361
furniture-related / household-related / artifact,-0.5417188345288719,-0.5650917733506386,-0.3685905296807286,-0.390737275839228,-0.3525278095672202,-0.3070333315156468,-0.3839805557569622,-0.27426678531825655,-0.3071183248455307,-0.2432061995363839,-0.7966761084994292,-0.583453037561843
plant-related / green,-0.3268680914072546,-0.09143851219009469,-0.19459830972112924,-0.14192385335395374,-0.17949903377709897,-0.23739605896426785,-0.327685473020104,-0.4581368621598001,-0.34391088028320294,-0.4093191338577915,-0.2513396489269164,-0.36158629246672214
outdoors-related,-0.5392564465792973,-0.45161931853794823,-0.32834470450167763,-0.29387015241043124,-0.3226786010714062,-0.3882363985373589,-0.4375340860083601,-0.37647526518814156,-0.3128307594240878,-0.3474790878679763,-0.5098586250735162,-0.5572608407764048
transportation / motorized / dynamic,-0.3592138629376145,-0.27801301796998823,-0.13838180889665574,-0.14018172787244798,-0.08811479534042577,-0.06622983093987589,-0.018616371053672864,-0.015556629189288573,0.04127461059331794,0.10074344777549638,-0.13974301152977686,-0.1392034826529791
wood-related / brownish,-0.45225245619850285,-0.4156112346295866,-0.39224911561812825,-0.3534732549639519,-0.34759125990955986,-0.4097709283378268,-0.44985635176157257,-0.3923135873233665,-0.5027827631135502,-0.40787593918575493,-0.597214900773378,-0.5135249171581537
body part-related,-0.3121711619074765,-0.29813600635830095,-0.2080011288387893,-0.21456592801608898,-0.18505464424633566,-0.0417912330752539,-0.08612094197753928,-0.12019218543241816,0.1925962658154643,0.21887321705982543,0.11495840200242491,0.1894954602670632
colorful,-0.45386612446621566,-0.24311092427952508,-0.3802010458792924,-0.4452762917685198,-0.28710790621741866,-0.38220933552309244,-0.21216638892625994,-0.4358739572312016,-0.23222099728136758,-0.5378064352618706,-0.5254430596445319,-0.4253689105467733
valuable / special occasion-related,-0.509327283769373,-0.4832255681610409,-0.366389061206313,-0.467232818938464,-0.4285421935261946,-0.43636635449038996,-0.4316633955360285,-0.4305825726994701,-0.38659885846490205,-0.5050405024011089,-0.5558946608679249,-0.5020464340248227
electronic / technology,-0.3846581835959426,-0.3008001470032091,-0.215715755557917,-0.26201036533894007,-0.22305177631932316,-0.22602865995462373,-0.172513037197374,-0.11489134330016948,-0.12556461894374005,-0.15661224322819112,-0.21816081512243835,-0.327775084127099
sport-related / recreational activity-related,-0.46155544708671825,-0.4079355176243573,-0.3971522972300652,-0.42311490070720303,-0.3824311978151478,-0.39521004777959456,-0.41804360946349695,-0.45413775011905066,-0.38934145761184724,-0.32384995143802553,-0.4194200503811285,-0.415616186772952
disc-shaped / round,-0.4542391425134906,-0.40631500003931054,-0.38616781229320574,-0.36413439213744936,-0.34574918190739945,-0.29396071393235235,-0.3266401935152812,-0.3241464861763097,-0.35414570928321787,-0.31778187667982993,-0.38801798229614826,-0.3576427494129326
tool-related,-0.3760980899845996,-0.3367581835570239,-0.2985777735678934,-0.255439920469557,-0.31742887075962245,-0.29870638880031875,-0.3697017302955883,-0.24851930604953498,-0.25965637987076273,-0.17212640759653497,-0.36175109500717695,-0.2592496091293248
many small things / course pattern,-0.4445567010806757,-0.34968495149692513,-0.3478346378939936,-0.411571967155663,-0.31516839664082963,-0.34917470241424886,-0.37242353051398225,-0.3329032840680817,-0.1742368734566775,-0.5077878047081987,-0.4283387566530352,-0.44997737643261426
paper-related / thin / flat / text-related,-0.40214293720164807,-0.320925910701088,-0.3344437239980613,-0.3287053218314404,-0.25655142623144234,-0.26837385189294083,-0.25236113121316794,-0.22608366526007262,-0.16370724136981152,-0.3013953444122488,-0.4480194984069421,-0.3329659689573361
fluid-related / drink-related,-0.3381059779100142,-0.3429018736371976,-0.2585664414231965,-0.28464228965208793,-0.2979026145513235,-0.22115014686559897,-0.23995703865870754,-0.23078421479596,-0.2591420835177418,-0.23617487710752938,-0.2522584271295969,-0.09193011058427025
long / thin,-0.42310927053187686,-0.38785932318795724,-0.3077027783486579,-0.3093482298922483,-0.3251973521269613,-0.3251107965991722,-0.3608770950640725,-0.2798643143094275,-0.2968116212835967,-0.3400634291504929,-0.41381004181896563,-0.33084938823202314
water-related / blue,-0.3007414174215972,-0.2547548281506973,-0.22871889316879823,-0.21199010644575522,-0.23340314767365977,-0.2898741061503316,-0.2600887702265262,-0.2550706001100662,-0.18391815171127646,-0.1578712773355564,-0.20130347514619196,-0.14008603292761945
powdery / fine-scale pattern,-0.3477634420126148,-0.2859563204095963,-0.23895162354074095,-0.20786498684621812,-0.31392672100317376,-0.28905718843354045,-0.3920521835232931,-0.3535429678400004,-0.36051146552754587,-0.3574875380645828,-0.2893795784866613,-0.2796250842017458
red,-0.3348686508898844,0.002425526599407757,-0.21481365842230904,-0.221069422094619,-0.16367416301879478,-0.15792501448017893,-0.11662721393933029,-0.20113829918048398,-0.2208421884786338,-0.21482269424270029,-0.35266805628052134,-0.18020979922632807
feminine (stereotypically) / decorative,-0.3681859163509609,-0.33539826429503283,-0.3115613236442041,-0.32411905332094126,-0.32629464025852384,-0.33879303091193913,-0.3121404179129623,-0.36469180133667733,-0.35626975733036903,-0.40914232573510256,-0.4086073486939876,-0.2587074599349837
