dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
made of metal / artificial / hard,-0.013888242472149204,0.1786318967741565,0.27402677076876464,0.31040798911502615,0.36637682343413014,0.4294162287695741,0.4573804683106105,0.5116489569577026,0.6213665577877284,0.7101638651539876,0.7418698005863725,0.7868720787524264
food-related / eating-related / kitchen-related,0.070761391239448,0.2667823538681199,0.32365110947618764,0.41954801608734194,0.4756369765233421,0.5384553058603173,0.5737766778439829,0.5533369187613835,0.6381248815683588,0.6910638273631483,0.7763657064367367,0.8358493967802902
animal-related / organic,-0.13038413326805845,0.1327886172654193,0.20988930883315274,0.2964398551855832,0.3816418123234727,0.42082926213668,0.5116491188340062,0.6433490178991349,0.7312701029331558,0.8228678536776692,0.8599810537073325,0.8834401474544368
clothing-related / fabric / covering,-0.24250088739708847,-0.04321699506232951,0.0430864427692101,0.08206967830186963,0.13357054800891563,0.16709338583571584,0.19169876169060598,0.26806571208664554,0.4210366086489866,0.5585670964176731,0.6378811667076326,0.6994114963443593
furniture-related / household-related / artifact,-0.047877109222159764,0.1338637456021484,0.25452114798637204,0.3190769084642367,0.32763767243875064,0.35390448629378624,0.34574923041231065,0.34544272647481933,0.4447070090439724,0.5795051912773931,0.604864521088065,0.6620736586311828
plant-related / green,0.2056925411620528,0.35159521077911476,0.38699412882472234,0.41993307253063766,0.4484617779454809,0.48683594638520156,0.4704053771594725,0.493152900393921,0.5686696879962713,0.6077533021502489,0.6827449703722671,0.7131880985051391
outdoors-related,-0.04026442480588828,0.0839341913593359,0.19560022424411289,0.23303661168470788,0.2594385185025259,0.28695720470940517,0.3162427777681992,0.42407409625720593,0.44198044954375115,0.530076361439207,0.5499984516993077,0.6064956748331608
transportation / motorized / dynamic,-0.16270573917472858,0.06615631910941512,0.21132675157800995,0.2319040874806956,0.26983917165985044,0.3297744548626026,0.3599519309316487,0.4049271464698866,0.5658453302746546,0.6473512260970936,0.7371614067737376,0.7408512717046433
wood-related / brownish,-0.1631975717452413,0.001731061020596003,0.07152878629254598,0.1380328236089439,0.12479634318956068,0.17048204158596164,0.15651271819931528,0.10337544091948232,0.20177821664488685,0.2601037332287662,0.3355331414353836,0.45921232082316016
body part-related,-0.15404420248475031,0.062467297888780485,0.16605537073703455,0.22398900261301113,0.3640468880357441,0.4272075593774261,0.5047400813584656,0.5925812777870239,0.6671663087470245,0.7455179658047346,0.7501858337454678,0.7687793416301038
colorful,0.16385080433192062,0.2972057580797345,0.3502109973136555,0.36670317238439065,0.3405215545917007,0.3777084042529012,0.421864475195592,0.4325148768455104,0.47071718706770554,0.5511283714955413,0.5082335163096122,0.5516511748701902
valuable / special occasion-related,-0.17253482213559668,0.00843767179013516,0.05790779505041693,0.06021165842842048,0.06434427536901374,0.0842577514945774,0.04459188271380103,0.1067532910057734,0.252890164656487,0.37979299407383466,0.4704941907041501,0.5114267305322748
