dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
made of metal / artificial / hard,0.07795132826741849,0.22372632780353685,0.29036273276531793,0.3726913057093856,0.4354680666916142,0.482756214046794,0.5230834483868154,0.598598921011249,0.6931304195690247,0.7820685833681987,0.8170786672854391,0.8498145298321678
food-related / eating-related / kitchen-related,0.18421236693507362,0.3530866782522531,0.40009137805628436,0.5153493573911553,0.576375869747873,0.6041344033981495,0.637305674169265,0.6598792863692396,0.7259908244083052,0.7926101270160684,0.8442654337758133,0.8748095031795998
animal-related / organic,0.04362525309530896,0.20231163724690826,0.30046161867829546,0.435908882431125,0.5203443525556543,0.5474880235949856,0.640955484442808,0.7200294406164651,0.8009742164700808,0.8677000692453063,0.8794942134374398,0.9051975721458687
clothing-related / fabric / covering,-0.010989395543829073,0.09956114753976422,0.1405403797417213,0.23347599307473038,0.27492578129336664,0.29516290181819993,0.3558434118821744,0.4304842374468846,0.535084607450648,0.6789051132257119,0.7443624585468893,0.7724383084795234
furniture-related / household-related / artifact,0.08431654506511918,0.24084008042793972,0.31105874462931177,0.3932315031757505,0.4183396121330574,0.4372362296832771,0.4536741486392792,0.5005888512300944,0.5959212933820377,0.681932670025848,0.7178334271387882,0.7492950498572588
plant-related / green,0.3520844577406497,0.42466583081169934,0.44627267399506143,0.49304848762437975,0.5206869829172793,0.5589340130632051,0.5646336013392553,0.6000061862541908,0.6617832382757544,0.7196647147643199,0.7677111057156532,0.7864949581775498
outdoors-related,0.14889259637816366,0.1955908791250967,0.2455459640096569,0.32273928989168155,0.3456816404267502,0.37742620762422907,0.43082437282959213,0.5021524459176255,0.5720809392086446,0.6416449355878246,0.6866028250919991,0.695776488456461
transportation / motorized / dynamic,0.08111014595521068,0.21570996456831767,0.3452617977991893,0.4544817636149528,0.46794896715197387,0.4826895315438323,0.5239012190478745,0.5684061015067408,0.6910504340284336,0.7670288127041168,0.7508826776462214,0.775843952977983
wood-related / brownish,0.07105978832859769,0.1399668315794798,0.17720210854215046,0.2512103320491978,0.2823377701002982,0.31209082989842496,0.3164697067331021,0.3432986134175656,0.3820797826795047,0.46248751948807343,0.5652349293998995,0.629175413222703
body part-related,0.04671447312801369,0.1663530864811584,0.22823639413648872,0.3655191800797928,0.43123633305536135,0.4591601907317845,0.5629860429619826,0.6357740303469928,0.7191138291312688,0.778998282483449,0.7861373352910994,0.7863363638728325
colorful,0.28820722881909056,0.3379210171217358,0.38984231509449063,0.4320305838749426,0.4241308563405616,0.4395224936630459,0.48640303122230166,0.5284195194121077,0.5575170788931716,0.6133500843574456,0.6298970304571788,0.6817499531474865
valuable / special occasion-related,0.02386825720261766,0.1059566926358622,0.13637278016724258,0.17753966811130661,0.20202312555854168,0.2072638988940812,0.25070507098492156,0.27549586887027055,0.4099945932862824,0.5425258461288698,0.5791870230714383,0.643508952149763
electronic / technology,0.0278248888436017,0.1292177933573732,0.18779771633802275,0.26432182213517186,0.30294184639833216,0.33510152634587886,0.3462326214388336,0.4147005100732574,0.4819182701035983,0.5631833079247985,0.643812290083253,0.6825283404058302
sport-related / recreational activity-related,-0.0524641731295258,-0.011790810136205953,0.009091094504000896,0.02506641394171196,0.027004941222639346,0.03888935814777518,0.07595949021143159,0.09450772792628387,0.18154432148086547,0.35075703385141116,0.48865249171296987,0.5540539114784544
disc-shaped / round,-0.06036354971739573,-0.021508757046875094,0.0080313792714094,0.08024566876871196,0.12678312263920438,0.177712346092338,0.24767960434181852,0.34052647434346406,0.37771162169951017,0.4359033723306636,0.49807760187810607,0.5491779124200956
tool-related,-0.0005422214171481587,0.03967932780860427,0.07122835492320836,0.12211615891322607,0.17241649866835523,0.1667992183177951,0.2054593408277216,0.2565982510517158,0.362042195704377,0.49097242504279687,0.6281948412280882,0.6839826898438075
many small things / course pattern,0.08289727081463016,0.15497693440615015,0.20088896068291562,0.27302920591206425,0.30388296191125286,0.3483031148502914,0.39027033133594324,0.46542630869450763,0.5427499567525589,0.6036932261703916,0.6003870622654579,0.6032155819934368
paper-related / thin / flat / text-related,-0.022116435547707293,0.0530045157399748,0.10354355111234863,0.19016389979008044,0.23189215606998498,0.2582019945116191,0.3013896431895372,0.3544571430212645,0.41846403538934257,0.4822552583082854,0.5504794913185547,0.6119850649025305
