dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
made of metal / artificial / hard,-1.6539673177334473,-1.5627295430904722,-1.4779214969396937,-1.4508251463399064,-1.3623093719672537,-1.3052205934432948,-1.2363729808625594,-1.2279438078875158,-1.1299923263505534,-1.058219052251852,-1.1153770563079286,-0.9931333319727349
food-related / eating-related / kitchen-related,-0.519775568858893,-0.3723262298109926,-0.323739115516648,-0.2106860687271801,-0.16074565530323093,-0.09560950978719829,-0.040474580305433605,-0.035219480176810425,0.041708866382035525,0.0883516365646636,0.10424513869846308,0.18532504945670825
animal-related / organic,-0.5004428290810541,-0.2900391455544238,-0.24732613327089625,-0.1591661571517804,-0.06220205878982932,-0.024468624376796866,0.11052492179027151,0.22449114044128504,0.29475521794023984,0.36079792575875846,0.37310954297960597,0.4048542183513856
clothing-related / fabric / covering,-0.614332677656702,-0.5016152932871585,-0.45077190165016257,-0.36637206762492425,-0.31054606074182134,-0.27157544730197913,-0.16482295881064024,-0.08667967178983638,0.0025322038123053447,0.137262492426516,0.16264411500765086,0.23451379771774017
furniture-related / household-related / artifact,-0.6973138478284331,-0.5269848825173036,-0.4248937621719624,-0.35308887632274,-0.3279705657262324,-0.277193788780864,-0.2375596792403427,-0.22387293571894462,-0.12668732279061867,-0.03693314107222223,-0.05596688011346207,0.019062660201260906
plant-related / green,-0.22113398703611287,-0.09633403860683765,-0.07381599881156031,-0.025316254750806122,0.002073518737434221,0.05391253559071418,0.06732748397609978,0.0796411372032011,0.12678373622279604,0.18503407406418315,0.23216622701612433,0.26710988924839396
outdoors-related,-0.5737540423072869,-0.5110992568217358,-0.44278574811882,-0.4105193994155918,-0.33795442810039944,-0.28215034889358637,-0.22701957317229993,-0.16895982266548693,-0.10092627444468127,-0.033477981558333925,-0.034831237232934686,0.0147244380925311
transportation / motorized / dynamic,-0.3981006345300748,-0.2744172575789052,-0.16019940758013052,-0.11696484516794148,-0.07231986714101057,-0.024831407321694865,0.04289970101585483,0.09941249954740161,0.23884201883377776,0.3267467943610296,0.3497611731770506,0.39467925897662015
wood-related / brownish,-0.5790043289931301,-0.5280170259065471,-0.49848578498660134,-0.40189674975491885,-0.3471004508720128,-0.30145475832474844,-0.3043605273457255,-0.3020382380021769,-0.26970764390753277,-0.18903303828906526,-0.1377662180932393,-0.004746772576694092
body part-related,-0.41776217731538945,-0.26701321057513194,-0.2037551371976416,-0.11053334750426957,0.026299518120201593,0.08929670724263672,0.22300786561494168,0.2975173207229638,0.33795419049780095,0.40213784342425407,0.38127538669813166,0.3971867358277299
colorful,-0.3519632030756248,-0.2726497269765158,-0.2363827523106281,-0.19784766572082435,-0.19443014941463632,-0.15128138787901402,-0.09923346341642558,-0.05940221161987003,-0.027297161456625307,0.023718432276111923,-0.003669194244640739,0.05453880540131195
valuable / special occasion-related,-0.6481853272956473,-0.5433613451249546,-0.522983281049338,-0.4769688579932334,-0.45834945998520205,-0.41233355392131155,-0.3791448221252234,-0.31760825567592454,-0.18327677167869294,-0.05776448554055058,-0.022595911474116104,0.054086889009925976
electronic / technology,-0.4870571749475996,-0.40725554951179066,-0.3065274837612497,-0.24253931138875906,-0.1943000156816843,-0.1497415562042237,-0.11964999641907026,-0.07580427497866782,0.0003314755689783899,0.10202738581066462,0.2050964271250154,0.2615113544392348
sport-related / recreational activity-related,-0.5893053259796364,-0.5639304363025881,-0.5354819409434202,-0.5274164702702211,-0.4744049179996248,-0.47604923308668345,-0.466581563251401,-0.44146878406346346,-0.35330457032725104,-0.16449687434954496,0.03807978500928455,0.10334766824454311
disc-shaped / round,-0.6143498386868966,-0.5692075543671611,-0.525267957245876,-0.4571356864909082,-0.3806397029883515,-0.3022126771096816,-0.21528512003837874,-0.15010782233268305,-0.14530010834043194,-0.06971365285804199,-0.029734711625746035,0.02781498068256749
tool-related,-0.47962421189231286,-0.45695249549992356,-0.38787900800653574,-0.32626080738539565,-0.28638506248445306,-0.26752453809933163,-0.23948155914942837,-0.17107845895276164,-0.07757035929438816,-0.0004397254227153091,0.12164417832878516,0.20967047370036263
many small things / course pattern,-0.4690310546646088,-0.4385926360332386,-0.3768194920498662,-0.28078860715921894,-0.24756066503093366,-0.1354870124263472,-0.10236841975200472,-0.04334892542118318,0.011061380261343512,0.07429272063886894,0.04972681208063756,0.07992785659687962
paper-related / thin / flat / text-related,-0.5516718824750289,-0.45093095085365253,-0.3590999386783551,-0.31354959423603757,-0.2512953873560142,-0.20902944210095864,-0.14197532713519245,-0.06982615456634589,-0.0058480401495708545,0.08323034214852998,0.08262658252424071,0.17138566673182953
fluid-related / drink-related,-0.4628798489766657,-0.4340087768613683,-0.38067093170150135,-0.3523753457724921,-0.3153772266178727,-0.23022892615681467,-0.1486166415848309,-0.09029417879899082,0.003639902469200762,0.0815889945197742,0.17635573247736291,0.23670780438001138
long / thin,-0.5632080386640645,-0.4978578852139508,-0.3706931545745533,-0.26111248935156794,-0.26563165467002703,-0.2702955876452313,-0.21102921199769775,-0.17341544628804195,-0.10092386133235554,-0.07617234493723624,-0.08409307217445239,0.026168043751843784
water-related / blue,-0.35225400370189597,-0.3345013169424915,-0.33280320917304507,-0.3069922783927932,-0.27370900601105497,-0.2642164509248497,-0.1976917046742357,-0.17402574587196384,-0.04373599333738376,0.11761179805075228,0.2314921819516378,0.300914474216352
powdery / fine-scale pattern,-0.4525834070899666,-0.3429873397052803,-0.2592816008661356,-0.22290163885165537,-0.22651117523796938,-0.19375947520283376,-0.1620791909229058,-0.12041880215789158,-0.08835111552551278,-0.06745309744039374,-0.01530810287359552,0.04071608986974151
red,-0.07728290749291555,0.013731628246271499,0.07259869224475857,0.09842189283851499,0.056023707260758115,0.08840954297534565,0.08862780994630792,0.05593888223452481,0.04794469347953467,-0.010727317342236198,-0.18757955781164992,0.12044398327463601
feminine (stereotypically) / decorative,-0.4817002753535824,-0.41078104188964537,-0.3867702037987115,-0.38356382411285606,-0.3543120450299089,-0.33118072099804174,-0.2521532697263802,-0.27576569362884773,-0.23338952420593717,-0.17393803463802882,-0.09559551565661395,0.02470553330277181
bathroom-related / sanitary,-0.40260406969719464,-0.3939293753442248,-0.3758034441526381,-0.35220580031499793,-0.3327017929165039,-0.30587289188329336,-0.30410427975286614,-0.31099610234905706,-0.2932604222109798,-0.22096848224796006,-0.0503993307431565,-0.017833236210287762
black / noble,-0.45359367492459035,-0.38063668937090744,-0.35065210717011364,-0.3279855476378677,-0.3384339565894785,-0.30290570882751733,-0.24334656782597142,-0.27851956042561876,-0.2639367016233847,-0.22957804116526304,-0.14233960544528945,-0.06870146660488996
weapon / danger-related / violence,-0.4332884689794232,-0.38771931998722975,-0.37269479616192647,-0.3616049090214333,-0.29266156494205675,-0.31569005316548737,-0.29934591334315264,-0.311726496108111,-0.27570649183549345,-0.2140554088344342,0.042523407626835374,0.17448156683755378
musical instrument-related / noise-related,-0.3887332750937056,-0.3701840274151651,-0.3261989513666712,-0.33442614364779133,-0.3126589976055476,-0.3001551591866536,-0.29379856151266615,-0.248433416954013,-0.2710543354912658,-0.1312367376349135,0.14492001178999903,0.281052582088
sky-related / flying-related / floating-related,-0.19247420646773272,-0.17832513991142873,-0.13973841796596553,-0.12396082612657788,-0.0790410107631292,-0.0404728472650584,-0.004229837023099314,0.017269554082932292,0.06346260661770575,0.14189721527525967,0.19143680960401455,0.2082546167298125
spherical / ellipsoid / rounded / voluminous,-0.39338219807807673,-0.35681907680495106,-0.34156204642219623,-0.2917261657394685,-0.2627115455866793,-0.21123387362617185,-0.18266774877200564,-0.14224573664121554,-0.10709174225566653,-0.04741190301598719,-0.024891054813407365,0.08923366040851821
repetitive,-0.43046566917888107,-0.3595160900083123,-0.2988984442119962,-0.25549100653220425,-0.1934311165025695,-0.1659340659564983,-0.1579715045739496,-0.15935140600709796,-0.13527833986048887,-0.12633658702032702,-0.16889942221820298,-0.05335903606020809
flat / patterned,-0.4298069148380146,-0.3682589477731233,-0.3336525812667923,-0.22594070039233083,-0.20699699880198685,-0.1756638286012686,-0.16072788339663324,-0.1417038495433911,-0.10253101270024856,-0.082834927350667,-0.10743021406278075,-0.0376656369282109
white,-0.32755320996247694,-0.2806319605025709,-0.2619072215550966,-0.23160565468420802,-0.18361896725616123,-0.15998505575869038,-0.13924989728894466,-0.14513666962316818,-0.14692911555856836,-0.1124586750634129,-0.19322898985212955,-0.03728395924860273
thin / flat,-0.4027610051092274,-0.3484636355497399,-0.3188622021971479,-0.273703645477426,-0.2570795963726713,-0.22178661495436058,-0.2247307547878712,-0.24085036542403326,-0.24909704664726284,-0.16343827823607815,-0.15467543381015458,-0.06704387337972495
disgusting / bugs,-0.34826983983937865,-0.28997554949268145,-0.2742608066165051,-0.20154574219898214,-0.21474649837967763,-0.18424305202463898,-0.1405466215970217,-0.08868423948573412,-0.002298650734315455,0.17680811386821216,0.32621281693477877,0.3681371183447468
