dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
made of metal / artificial / hard,0.07674577677049614,0.22398078329888954,0.29086935191748947,0.371809087283517,0.4324092564411157,0.4783591907936161,0.5150657243471233,0.5956965577761361,0.6907666730602688,0.779492695020241,0.8208776555047994,0.8558820671068572
food-related / eating-related / kitchen-related,0.17403480446097874,0.3517631703165841,0.3998491478794438,0.5151117429940355,0.5740753875310337,0.60287336282172,0.6299599305377861,0.6594816903148951,0.7250783520953513,0.7945531535210411,0.843556761484842,0.8778072376172756
animal-related / organic,0.03659309270832737,0.2013282559200687,0.30150924006264546,0.4362883012719251,0.5178766235691719,0.5461809528507984,0.6414832424375023,0.7197781415461368,0.8009554430287056,0.8691343935065662,0.8866110368699799,0.9125601338172163
clothing-related / fabric / covering,-0.023472051134453397,0.09863420658948686,0.140929753920847,0.23276199365329794,0.27366533208487887,0.29458308578693787,0.35251347725475257,0.4232203203387709,0.5372133283762481,0.6853812822615671,0.7500080677990455,0.780345116557528
furniture-related / household-related / artifact,0.07094994304032103,0.24008989581328627,0.3108614050572466,0.393026024125862,0.4156548724715968,0.4332252615828919,0.44883554922305435,0.49704697630918043,0.5929369954457785,0.6833533404841582,0.7242164108423601,0.7564486993814574
plant-related / green,0.3505507766736916,0.42383031786610453,0.44681801111966013,0.492765578542239,0.5183013079910872,0.5545958491454445,0.5642998068760193,0.6005873447849315,0.6585252398584794,0.7202183224011562,0.7694242005034614,0.79419135478246
outdoors-related,0.14908825717188845,0.19820543477243854,0.2463720965919077,0.32252012922633416,0.34507762445330525,0.37472893803856144,0.4294833456773469,0.4972420982047014,0.571670335418279,0.6403811517673745,0.6922618619427351,0.7075538637482207
transportation / motorized / dynamic,0.08353586965203409,0.21573262754563732,0.3448444979844313,0.4528754790881962,0.4668838201917119,0.48000184203601837,0.5216895154670766,0.5679485599830455,0.6938872011869878,0.7740305809621192,0.7738065549695119,0.8039763439557891
wood-related / brownish,0.07237708656073526,0.14242613831087678,0.178237482198446,0.25031169393514796,0.2796470765519311,0.3145004953964635,0.30938383395062335,0.344688059687668,0.3754758485076302,0.4552090026154564,0.548984017186797,0.6358957101181539
body part-related,0.03964763919345062,0.1651815166327425,0.22868251498866193,0.3658674058237594,0.42788281473647916,0.45713959049840114,0.5660123661033414,0.6375062120828054,0.7250231943935275,0.7885133701054861,0.8016197092056349,0.8078780974595003
