dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
made of metal / artificial / hard,-1.3400334823349773,-1.3035823485697615,-1.2112858040458274,-1.214304335102077,-1.2144222066775066,-1.1695233233672981,-1.1807415560762697,-0.9869433735785811,-1.0928698401723884,-0.925679851509404,-1.115334370259636,-1.3629420913187698
food-related / eating-related / kitchen-related,-0.4158411811911704,-0.3709526220703161,-0.4761705176367339,-0.4227653291950044,-0.3901735255304202,-0.4229955578123561,-0.30467024630975503,-0.449632238045071,-0.3836597736644318,-0.403896890603745,-0.5147031379818925,-0.213354251176759
animal-related / organic,-0.3246837895985488,-0.2857409363338854,-0.24249570845181978,-0.12164367047425229,-0.29160598548126937,-0.22435766252266864,-0.28583843603392745,-0.22706419670100697,-0.17339561161109707,0.07368552116920535,0.4451911718820385,0.45636322068435264
clothing-related / fabric / covering,-0.41173704699068425,-0.41740392600797116,-0.3536008156076076,-0.4055466573913826,-0.34042779005784274,-0.2667298695501594,-0.2592160143426838,-0.2657595647796147,-0.06861319361959106,-0.050278827117874014,-0.042316437440271804,0.0685628057454496
furniture-related / household-related / artifact,-0.504637383983267,-0.5423183367563318,-0.3727389753638317,-0.3772770373149945,-0.3184474986993797,-0.2715207872831895,-0.30897417205713595,-0.2125068951158815,-0.20960158359855408,-0.09594398749521127,-0.4812529057038215,-0.3451428232139844
plant-related / green,-0.28276337717742384,-0.0852821229474261,-0.19447434040080314,-0.13603657092963672,-0.1477266812848359,-0.19773368806763414,-0.263342525227227,-0.33533700832809865,-0.28269589411966756,-0.27334561183743333,-0.08011742366781816,-0.16445728131483195
outdoors-related,-0.47631159232953757,-0.4347588345233,-0.33496587999622096,-0.28499693229546685,-0.27859966666363367,-0.33768164915164856,-0.3452649249463733,-0.2802403019260087,-0.20689689669819655,-0.17357227804739317,-0.2643760569082969,-0.3435882835026196
transportation / motorized / dynamic,-0.3175342863552606,-0.27018541007864605,-0.13754304338817036,-0.14507249243957743,-0.07661771325022348,-0.0795557504447848,-0.030637984021504305,-0.0002660093499231575,0.06876070302611603,0.18314827950128576,0.06973160827379643,0.024433399498126618
wood-related / brownish,-0.4100833164802773,-0.3927357153137696,-0.4094376222269931,-0.3398188298887117,-0.3221836660623816,-0.3657816573266377,-0.36556424376271424,-0.2972459360969586,-0.394659861448418,-0.33932251009462444,-0.4219624915232172,-0.3265348234206824
body part-related,-0.28163439128883816,-0.2915323914364578,-0.2082816822955611,-0.2028734098537901,-0.18117519374056767,-0.08747718246621616,-0.06451501047719477,-0.03000726100252571,0.25397176363654217,0.3178490260851471,0.27340068406865203,0.29388777752169326
colorful,-0.40156581567554683,-0.22811980233632645,-0.3794496495936419,-0.4345180878053152,-0.2691848640245291,-0.34463677503325907,-0.20505920348275297,-0.37748503440988435,-0.16298224477788215,-0.3457549708416443,-0.2787622486758148,-0.20978099590920607
valuable / special occasion-related,-0.45674521353877906,-0.45295339727295203,-0.36907198462416635,-0.45489319593853517,-0.3940168041820724,-0.3908017729084847,-0.3499744193029799,-0.3564300618864946,-0.28731539176773735,-0.32963256421981546,-0.2671182072705305,-0.2733595569758276
electronic / technology,-0.33542261333737633,-0.2871832078707237,-0.21734135883276817,-0.2563936434878935,-0.20058132496568803,-0.20598841012358649,-0.14237764918485896,-0.06794367176837679,-0.07804409732229689,-0.023169796911874707,-0.00156358018728886,-0.09710825548087088
sport-related / recreational activity-related,-0.41816589236189383,-0.38999611663567135,-0.40695711114686994,-0.4084262691966356,-0.34634705009250455,-0.3508681653778176,-0.3432221488713263,-0.3427751750722816,-0.29452206344240106,-0.19652239103923108,-0.13955377148406534,-0.164286813696644
disc-shaped / round,-0.3979151489218551,-0.38484193818009427,-0.3840313639190407,-0.36325563105469705,-0.329645680677938,-0.3016509468191524,-0.3138409084348164,-0.30029414214793326,-0.35186390509312204,-0.2573249217833047,-0.2431561881817248,-0.23471819246612213
tool-related,-0.3388845279626507,-0.3241025838667162,-0.2989477653473118,-0.24943207473489815,-0.2898389612385355,-0.2646017630639521,-0.3142409915154978,-0.1983838063843295,-0.2078909574846357,-0.09117540310704708,-0.17773563020036698,-0.10866087394873114
many small things / course pattern,-0.39842806441183143,-0.32725226749920555,-0.3487197826683224,-0.393084675571306,-0.27917798410371564,-0.32285012968039695,-0.32411264071746326,-0.2606643747003101,-0.11439998425416054,-0.32009446346307957,-0.21501890222982056,-0.2542452264525872
paper-related / thin / flat / text-related,-0.34887483418633014,-0.3112368973772819,-0.33370709507764973,-0.3183209754932568,-0.231654312425704,-0.2467118184241428,-0.21666785165329427,-0.11273367245283783,-0.0805963058350645,-0.13873650490599387,-0.22041495231082497,-0.16711708377670242
fluid-related / drink-related,-0.3031369126173036,-0.3206293926242352,-0.26097183573489424,-0.28222155362405377,-0.2683120392466747,-0.2533960933438355,-0.2426457962207027,-0.24053660594387072,-0.22743659076209477,-0.1762607532833984,-0.11585914595209634,0.05705352899411986
long / thin,-0.37461431846038984,-0.37125660742016553,-0.3131420628344259,-0.30063402333047096,-0.30457727602548856,-0.29074720284162225,-0.31438402726875414,-0.2578270567251266,-0.25646371958766934,-0.27166402595554917,-0.2398425977264964,-0.16652088427535405
water-related / blue,-0.26827413934872824,-0.24809868218410958,-0.24327991853366338,-0.1949051200145664,-0.20770881697456356,-0.23622458984244488,-0.20800034968793213,-0.22864742094917978,-0.16596489302814654,-0.06157900258555493,0.007670083314407661,0.03786037840608314
powdery / fine-scale pattern,-0.31527966204489255,-0.2685541483627665,-0.24498277567368798,-0.1979029353672601,-0.268216836437982,-0.25116989489807406,-0.2897893522686237,-0.2678105491235181,-0.2784207204768925,-0.23126689676436607,-0.14076569213005996,-0.13210359700762964
red,-0.3073133234404499,0.01797151689461185,-0.22255134753196248,-0.21678647847542276,-0.16547001913750026,-0.16648135151593846,-0.10321245394006406,-0.22802102387360912,-0.17997055453127597,-0.20171622719032745,-0.2519363803370045,-0.1531926287508485
feminine (stereotypically) / decorative,-0.33398913151130194,-0.32283809295975807,-0.31589125211164437,-0.32137590501972446,-0.3012313185318225,-0.29107104951384954,-0.29145379828869467,-0.3036597327384214,-0.28029258099035514,-0.2684448202950447,-0.21128026577998815,-0.12181022773440975
bathroom-related / sanitary,-0.2586954549814986,-0.3106584378639061,-0.2592519982021937,-0.2416410674530356,-0.2897981158632972,-0.24180507314828614,-0.2531362794221832,-0.21964141520772462,-0.26077263790243843,-0.23996096984085957,-0.21585887696328787,-0.08848516799506179
black / noble,-0.27856190241610657,-0.30007383583187375,-0.24114616828710278,-0.24694802996033505,-0.3324015922586365,-0.2826987017329401,-0.23633160966877997,-0.24363606959548134,-0.2897971172393603,-0.2561642830156319,-0.27057915475387984,-0.18035039486601478
weapon / danger-related / violence,-0.2607171908506374,-0.24842663297154854,-0.23114270240140478,-0.23167928544435656,-0.23312757102774695,-0.22488168862365132,-0.2335199591148862,-0.19856887969153791,-0.21499439295281442,-0.16849758919847013,-0.039900301785200876,-0.06569701498936031
