dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
made of metal / artificial / hard,0.1325397719702145,0.2455287862407044,0.30981179467833453,0.37340481263024305,0.3921520068280968,0.4175823085870608,0.4470889805869873,0.5253880164998255,0.636048111210574,0.7429175004345059,0.8029323559481476,0.8418397318337774
food-related / eating-related / kitchen-related,0.16646670043360134,0.29262599613631446,0.32941955016644575,0.4132757154688331,0.46108614517029833,0.4975184697302647,0.5509253153254473,0.5656155785536384,0.6886292748928399,0.7747767197380395,0.8320709781188855,0.8717434168090405
animal-related / organic,0.08719501956100428,0.2132858492992724,0.28459828010326416,0.33903706246617304,0.3919349899027287,0.3905373797537941,0.4671937143328062,0.5650596855534704,0.6958935646941228,0.8534146059160512,0.8843200779737751,0.8967993168314128
clothing-related / fabric / covering,0.0341763313802419,0.10382340918446753,0.1421803682782865,0.17433430126209004,0.20344661425091182,0.2036138156074092,0.27267417748739164,0.35987699855829336,0.46746649514943417,0.6407077543390107,0.7056674517765607,0.7641125721758114
furniture-related / household-related / artifact,0.09170327938465128,0.21083723861658699,0.28932121879309336,0.385829965652834,0.3881249019300168,0.4059853594600519,0.40882884549782395,0.4338014488529298,0.5497112073189162,0.6538133538227111,0.6825494687915321,0.7396797887895539
plant-related / green,0.3075181118675141,0.40125570329945615,0.42665638354917834,0.4597710102509266,0.4692757177422746,0.5006274755172517,0.4895986292321174,0.5058347794328931,0.546084645776965,0.6109963795898228,0.7200676453957304,0.7627507626257561
outdoors-related,0.17547494105883354,0.20687894431583476,0.25211629499208854,0.30257146048390016,0.3381546629105362,0.3679984832521389,0.4056199196318171,0.4549866199620747,0.5212830213751284,0.610780261659017,0.6519701870059631,0.6648792558726616
transportation / motorized / dynamic,0.10031435045311188,0.16129478416601495,0.2607203443790356,0.2922419068158716,0.31765325678159595,0.32393447361107586,0.3638466550637758,0.3982926125247821,0.5608208236086529,0.6845379559839491,0.7308027241182615,0.7137508429572217
wood-related / brownish,0.07690135836928824,0.15126774841247126,0.1792845907547752,0.2410934949090059,0.24638285078173472,0.25673755002850474,0.2448109653854862,0.2605037076757659,0.286987505248565,0.32380748252369806,0.39971284104223814,0.5494708317538625
body part-related,0.047418595614937,0.13979824411218433,0.2182790390441629,0.2949544490633903,0.365465260466983,0.33651203695835175,0.48094030984781266,0.5600607854030764,0.7134578514430636,0.7840437081181724,0.7783920699364001,0.7580630760991722
colorful,0.28684364532937245,0.3470979711055716,0.36985826064525107,0.3664005148489252,0.37487184369390636,0.3898987159356738,0.3697541848157494,0.40160624652130084,0.47655295950217436,0.5627531031152716,0.5685630273316655,0.6125181173053155
valuable / special occasion-related,0.027759485728481637,0.10817824481932337,0.14923842124946662,0.172002864134277,0.17942391497889787,0.1839683977740666,0.20073235641092713,0.21778596545025986,0.3624786824685452,0.5105233585628273,0.5827178990259959,0.6273519968600673
