dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
metallic/artificial,0.12070034845481492,0.2330603502861578,0.29751364857097373,0.3855238693801153,0.4273695968908383,0.47674946496255777,0.5259224749156775,0.5769865223000382,0.679194846379573,0.7584039890849614,0.7921004434951097,0.8372983162229864
food-related,0.1509216985969738,0.28747938516266724,0.31242998848163706,0.4402837455075821,0.5087249684134236,0.5743102135083753,0.6256300794584964,0.6351986212721208,0.7035059896432174,0.7637803568551805,0.823708800052486,0.87059747865851
animal-related,0.035044886934053276,0.2141755755761079,0.279948858690779,0.35103577395252483,0.3997284079621021,0.4614729052890496,0.5818568337820543,0.7000658238805926,0.7804490701991859,0.8555294694403959,0.8881173957893791,0.9120492111998241
textile,-0.03743201332023727,0.08261695003676661,0.12830069758657392,0.1812623496645588,0.2300386849032674,0.2358275219391993,0.3222702491127477,0.404752613220141,0.5115191014405437,0.6568837078825553,0.7115093335531477,0.7663499365295555
plant-related,0.2351054078440541,0.33930866919835123,0.3546090934217502,0.411218089050984,0.42457058938195225,0.4952981259533761,0.5098522782048318,0.5403524429840889,0.6155718614535426,0.6709510733356397,0.7487901743847183,0.7880293531024402
house-related/furnishing-related,0.05202513886639526,0.20883656762554936,0.29042041907878935,0.40917190236262624,0.4069741305615939,0.4496413912793571,0.4746205743226871,0.5243873030469653,0.6138805009408195,0.6870622269724903,0.7036891015962194,0.7621803795765696
valuable/precious,-0.011211686708429758,0.0892848600535524,0.15575806797209268,0.17932079937041012,0.16801495254553278,0.20279863043050894,0.2263723869513281,0.287130066588865,0.42704800713344093,0.5537592532897109,0.6258067443185542,0.6873585342197122
transportation-/movement-related,0.03362681895188391,0.17008998097304406,0.2659989954917772,0.33125318887796984,0.3606277222695452,0.41354375915578523,0.47807072309859555,0.5452160788833743,0.6844230270683422,0.7629990805673194,0.8225028021476543,0.8393693002976218
body-/people-related,-0.01017679998058596,0.13379978361602263,0.21155935844452267,0.3201744456517045,0.4464072739669752,0.5216261807207552,0.6359498417738649,0.7260940569335772,0.779061353555847,0.8359822808501125,0.8359742590335052,0.8435611409897704
wood-related/brown,0.0055269942583704434,0.11928673162676107,0.19591093571530127,0.24951679009038952,0.25629081945087906,0.3064799758031258,0.28651002180337326,0.30710706663640397,0.3287134559914504,0.44525229755366025,0.4710723223249009,0.612736361249858
electronics/technology,-0.031069889538103634,0.10830372300165303,0.18223285154206148,0.2578100106889293,0.29692975952413003,0.33394829968769857,0.34541296794371157,0.41128567813612615,0.476757822650837,0.5912720300038465,0.7120989176999695,0.7566644315268751
colorful/playful,0.2924174529298914,0.38408630018076095,0.4017702622730449,0.4239163441774533,0.4303314246373501,0.4757217922685466,0.5350557771153734,0.5721671049565912,0.5975402231422022,0.666655413577365,0.6594397032293768,0.6871061097884412
outdoors,0.1984109995912816,0.2806318268185469,0.34328545951006584,0.42126959027803035,0.44369202932271146,0.5074104656152443,0.5353049535994117,0.5894600820634723,0.6235391296797967,0.6639773592984977,0.7059830858155434,0.7180035980857942
circular/round,-0.08108309658225821,-0.019638677087850498,0.043020673611607774,0.08194638778021779,0.11059931430920678,0.23300747698232838,0.3047032184310602,0.39222052346107394,0.40723313228578273,0.4443907853814799,0.49398478689067093,0.5221077209528115
