dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
metallic/artificial,-1.491732471805912,-1.3965141824421488,-1.2425704112514349,-1.287974990793899,-1.352831563881511,-1.290639197578077,-1.3914685210879902,-1.2075587307076838,-1.3962331713927383,-1.2612750910925254,-1.5979871795621694,-1.8948172355691728
food-related,-0.48415706371458955,-0.4178670251740233,-0.5028868719085613,-0.45562750448047806,-0.43223964346872523,-0.5000655038253836,-0.4111918612990211,-0.5582016189570422,-0.5291597517131224,-0.6370831847074827,-0.7996810547042577,-0.4743358992734772
animal-related,-0.4004836911217815,-0.3093041263043428,-0.26231032975337465,-0.15633928497293104,-0.3507260472787217,-0.2557174507863833,-0.3391414410454814,-0.2903951844781669,-0.27958986842827227,-0.10107213928863334,0.29596615788792147,0.3292136354520736
textile,-0.5605508934416554,-0.5390677608467331,-0.4569570790928832,-0.49865162051546497,-0.4511666103060319,-0.41444446725574524,-0.41349667182508765,-0.4019465096491306,-0.2585454669763061,-0.31689807744631926,-0.4135655298027656,-0.26699519642803926
plant-related,-0.4176170313164713,-0.20256884526824281,-0.2814399666427314,-0.22368714715712135,-0.27310019051675893,-0.331784416739753,-0.41334461263465605,-0.5455669324398755,-0.4323063775413418,-0.5351117290944274,-0.32971660758331534,-0.3979478529776048
house-related/furnishing-related,-0.6068052601395231,-0.6040463913932772,-0.435139346896668,-0.4493068190642613,-0.4076546882032548,-0.3649741960866846,-0.4552314711889436,-0.31237070133133393,-0.3597331705376101,-0.2927452851837846,-0.8115519158416438,-0.6541338924693625
valuable/precious,-0.7276000651132684,-0.6882064247126294,-0.5585180582413298,-0.6717660983850471,-0.6439820805123551,-0.6382202477156698,-0.6321367466802359,-0.6536657264574139,-0.5995306504890343,-0.7135913213455947,-0.8449301571961219,-0.7006750806222375
transportation-/movement-related,-0.42897466444845467,-0.3465114607685289,-0.19610660833401683,-0.19504076839207807,-0.14728392626201892,-0.11732487210377118,-0.07584825433641629,-0.07672521876929972,-0.02357938362422507,0.03887242910356559,-0.2096973081672282,-0.20370541472803017
body-/people-related,-0.3978717996361203,-0.3858018109532788,-0.27213554495906545,-0.27942059218062987,-0.23608040564996435,-0.0996452848958449,-0.1547597937688745,-0.2091281087604404,0.1475251896547879,0.1471861282923813,0.04564902923554093,0.11042486337408774
wood-related/brown,-0.5413590772432688,-0.5089896779523413,-0.4647294272618705,-0.4276130460451759,-0.42902469274657173,-0.49198890902377657,-0.54351008756147,-0.48186606339189786,-0.6119004644144255,-0.5070779374878673,-0.6959037688807024,-0.5846052732992968
electronics/technology,-0.4785741788780542,-0.3851935259955892,-0.29820849612195355,-0.35205532744866996,-0.3054267576299219,-0.3088908233984673,-0.2362411702463194,-0.18252701182218112,-0.19275429048846493,-0.21074908449496066,-0.3312356825535938,-0.42419075998407796
colorful/playful,-0.5329488771804523,-0.29494054428380245,-0.45568856555797166,-0.5199318900516365,-0.35080934781010953,-0.4562739558575637,-0.27717850843715675,-0.5370683808895322,-0.3053328768765111,-0.6346323643454024,-0.616923612589654,-0.5309556559139006
outdoors,-0.5748685491881709,-0.44205068836691597,-0.3528885859647837,-0.30443192777905104,-0.3716128724786454,-0.4525714804855361,-0.4292578327851797,-0.4696277832316018,-0.36579390031005654,-0.3654722676373232,-0.5862189853267625,-0.5841014743984598
circular/round,-0.585739884757535,-0.5279636823428266,-0.5089441506838674,-0.48685725200658014,-0.46312795832361897,-0.4089920364755286,-0.43834459457461183,-0.46454739940482437,-0.4886676199431028,-0.4569177520648364,-0.5033013084611639,-0.46656890840580023
paper-related/flat,-0.5400484119745368,-0.46408813196663834,-0.4726019230660179,-0.46050147091508364,-0.38743340690671935,-0.4044297593437751,-0.3922164847615064,-0.3382875899169009,-0.291031523491432,-0.4589035149171108,-0.6378333393979478,-0.5033800522223577
sports-/playing-related,-0.5217314576974004,-0.4635190057685914,-0.45377875448346394,-0.4960014326456892,-0.42803938821342147,-0.4496194606890531,-0.466477093291884,-0.5335329362361245,-0.45257941282273717,-0.4185941671288622,-0.4978600266185633,-0.4871578499640692
tools/handheld/elongated,-0.4745397086473677,-0.43391270659464753,-0.3781490007485888,-0.31524324482167043,-0.4058328915394289,-0.37179471653604823,-0.45184786037164093,-0.3268614884112704,-0.35031827804451776,-0.2631604812864816,-0.5026055103509446,-0.3508874506116706
fluid-related/drink-related,-0.39475933534791396,-0.39927040035500894,-0.31811328582143505,-0.3428643505228335,-0.35476396137732746,-0.2769410930404097,-0.30941152055239685,-0.29728512050816613,-0.32177555518265577,-0.30341177570231026,-0.3155137846339189,-0.15173817087658925
water-related,-0.36726546495740586,-0.3195496141515599,-0.27942876389250504,-0.27049237312688357,-0.2976962727504697,-0.3464111843529569,-0.3170360919456814,-0.315023166130892,-0.23125312564855993,-0.2005792478691062,-0.2296769334078761,-0.19652388888293126
oriented/many things,-0.5848561154225582,-0.49202217993725905,-0.43056630071850477,-0.5003642885546944,-0.43031683797299847,-0.4015052081906556,-0.49946498157821906,-0.39317377697484024,-0.3193879509201569,-0.5889942020184065,-0.5826338853263935,-0.6163622236386133
powdery/earth-related,-0.4928324569393514,-0.43408638893057816,-0.34702435341480764,-0.28994979591818937,-0.4260721581380309,-0.3789844094139454,-0.5532053163446531,-0.4037434758502547,-0.5158467453003912,-0.491161266347091,-0.4494335220888255,-0.46281047702457645
white,-0.39926777683841363,-0.49685079071103977,-0.330765638411759,-0.28414428531545943,-0.3825463861144749,-0.3490104623765078,-0.3693648745249387,-0.35063330461751496,-0.36985281198368614,-0.39345357660208236,-0.5985428795641818,-0.4625367535357985
coarse pattern/many things,-0.4113896425666248,-0.32013721568806486,-0.3085684197486618,-0.35703531886127693,-0.29064494174335764,-0.3598859814855033,-0.3640704597121789,-0.3842031889182791,-0.23549467773313992,-0.42323101725856804,-0.3805699802814968,-0.3969632549732349
red,-0.4596081636905718,-0.09580927864089817,-0.3053394063310759,-0.32465332373217537,-0.26517482599495223,-0.2626478749249195,-0.2054096764064013,-0.3106807992038423,-0.3266660553541805,-0.31306657087852163,-0.48449560506157674,-0.27796418973099857
