dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
metallic/artificial,0.15290835620526633,0.24990599585520212,0.2987737949952489,0.3920847256646436,0.440796294469306,0.48558295380196503,0.5496774366351236,0.6075072988324884,0.7007197900983848,0.7844849495129446,0.8269487247967249,0.8593222941915526
food-related,0.18404516485391653,0.2963446266651135,0.31274938257612905,0.44378704836061433,0.5168926259894979,0.5848572084539356,0.6419058593803688,0.6586133123033435,0.7246764897193692,0.7908211923634922,0.8534074992133284,0.8887375632693977
animal-related,0.09330711030441541,0.22551191327911269,0.2802826286472929,0.356156483578817,0.41301876719569297,0.4726312924882268,0.5962859629954023,0.7138299519913475,0.7948827206892144,0.870184965559014,0.9057347126643095,0.9232402527410172
textile,0.04164741878471512,0.10508168124786244,0.13595534812194077,0.18908121502463926,0.24121626114804728,0.26533025765723384,0.364969283846417,0.44448268287065285,0.5457384093906635,0.6917510625022996,0.7495823462942448,0.793606498871992
plant-related,0.26609861033173543,0.3471621015342594,0.3553464226435944,0.4134992049865591,0.4339215617688613,0.5082480084399282,0.5336908192131062,0.5664453214486216,0.6343085385148994,0.7048264072974726,0.7832904198753763,0.8132034793817455
house-related/furnishing-related,0.10746064009867051,0.2286692272396874,0.29168561559311734,0.41524879711367435,0.4235768591957816,0.46613547326652527,0.5091281988471876,0.5530044568942855,0.6377059674837751,0.7219955893967325,0.7435825584644344,0.7878436132054201
valuable/precious,0.041759175255543846,0.11358142888452905,0.15909479547590488,0.19398385636730364,0.199130227458428,0.23700239252068933,0.28039757305825885,0.3336300277956744,0.46760961286746894,0.6011668262417027,0.6801819356626494,0.7272994721514574
transportation-/movement-related,0.10834009134890099,0.18510480910020288,0.26990213699990606,0.3354285128350476,0.36956057860857217,0.42720793944827384,0.5051418111739849,0.572620523708415,0.7036716531871441,0.7888621652272966,0.8418132103974394,0.8554607511583532
body-/people-related,0.0366099422948154,0.14985472055373428,0.21398851219117032,0.3262943977983779,0.45282588363338094,0.5302773066203019,0.6494962294547868,0.736749450128341,0.7957709240515196,0.8526108399212904,0.8577833166199031,0.857609963279546
wood-related/brown,0.07892461641816251,0.15022832892527005,0.19865502505029742,0.2598680915153102,0.27816193993152527,0.32936220849999986,0.33452256321549656,0.3500548528552142,0.3767924491860105,0.48320216392776205,0.5539697464718286,0.6645995154130044
electronics/technology,0.0427872900888453,0.13199222629652363,0.18718182876592426,0.26534761677751106,0.3169649154834582,0.36126308469851054,0.38695246605371825,0.4458096485072358,0.5211929473241246,0.6400995845887546,0.7499420426057767,0.7860125489391898
colorful/playful,0.32858900831479154,0.39310606500301026,0.4026829153115612,0.4296115883567858,0.44181090148638047,0.48715022862937873,0.5556249389253093,0.5976957812174113,0.6236285106779264,0.6975007938401188,0.707140173382686,0.7245846400182407
outdoors,0.24084922508290474,0.2885987634216086,0.3446121338052368,0.42727791918858227,0.4568114702977225,0.522955719446041,0.5661879312503946,0.614608193514093,0.6518963168206453,0.7047913004089572,0.7469775372613443,0.755076296699214
