dimension,vision_layer_0,vision_layer_1,vision_layer_2,vision_layer_3,vision_layer_4,vision_layer_5,vision_layer_6,vision_layer_7,vision_layer_8,vision_layer_9,vision_layer_10,vision_layer_11
metallic/artificial,-1.55383443340699,-1.5175035894426618,-1.4124147839816437,-1.4485638650586483,-1.4419762562807885,-1.336927363163389,-1.3443618579369616,-1.1380355530004729,-1.2884545478327478,-1.0926481423354781,-1.3083593106944815,-1.5789066420031843
food-related,-0.5113765112620441,-0.45497971382956304,-0.5704065451622706,-0.5205129002364706,-0.48323519183835173,-0.5257983716966295,-0.37862704581076834,-0.5133827744857584,-0.47490132538480734,-0.5097349552832535,-0.6321065554650172,-0.32177653526450056
animal-related,-0.4448637493501557,-0.3443458686561416,-0.33551503694630425,-0.209856132508782,-0.3783096183405583,-0.27001002076302694,-0.30814631540169923,-0.23688724545315987,-0.24876631902371482,-0.013304770741621175,0.3785044132292852,0.40252957191119043
textile,-0.6105625297309398,-0.6211490214284734,-0.5600892663041399,-0.5611657154665348,-0.4895435734437623,-0.43157180595430567,-0.38252993731603135,-0.38434988067637277,-0.20791335804042022,-0.24399335651357834,-0.2612089690957624,-0.12645471738527592
plant-related,-0.46025902068982516,-0.2522845611600921,-0.3480116966556821,-0.2880895918532649,-0.2995256056500091,-0.3613656341306335,-0.37935195150359435,-0.48642541890109303,-0.40277833483340264,-0.42161470080234187,-0.18676677300325517,-0.26499522352767046
house-related/furnishing-related,-0.6506715212789638,-0.675273318149485,-0.5297162349561426,-0.5457631371051763,-0.4453854635682266,-0.3842995876474047,-0.4197104768133568,-0.29045057838616484,-0.29024988370829763,-0.19498774385295614,-0.5926747471244602,-0.4886953380654928
valuable/precious,-0.7785627045485937,-0.760270324797804,-0.6741238228181434,-0.7497425003547589,-0.6933663987987444,-0.6611108565826451,-0.6102293138360173,-0.6067581806580833,-0.5447749468266367,-0.5921843229403612,-0.617399779908268,-0.5242882136181779
transportation-/movement-related,-0.45765926256183476,-0.38494521130939185,-0.2567633796129891,-0.24106516608984818,-0.16600683175875242,-0.12986568951691702,-0.060538546115995295,-0.048305225717848455,0.01279675161806726,0.11101495815477014,-0.04499767226571594,-0.06417739929770172
body-/people-related,-0.43924594940514283,-0.42360940505167566,-0.33554313322886364,-0.34524963536952846,-0.26288312446594797,-0.12208868820432661,-0.1280314869905661,-0.15677070706872032,0.17812003748130845,0.2180090895095339,0.17001592007935962,0.20833261344117482
wood-related/brown,-0.5759630089756207,-0.580106087238603,-0.5861628277490889,-0.5091191868041129,-0.4655315333403256,-0.511409037391459,-0.5139947240181653,-0.4328748804950564,-0.5530024929062851,-0.446133329721486,-0.5165035434537946,-0.47508799118061407
electronics/technology,-0.5042209977361576,-0.451750756421758,-0.37850851601661883,-0.434961461168911,-0.35065688516564175,-0.3285814935910851,-0.21768265413270949,-0.16546746033906623,-0.1463896453674005,-0.12788413552516942,-0.17113594393866216,-0.2627058628174612
colorful/playful,-0.5755868218145803,-0.3617205452076355,-0.5679122985255303,-0.6128512401285953,-0.38938011195392375,-0.4730082062988459,-0.25366385042068273,-0.4738499039263908,-0.2577700232320246,-0.5112804978433123,-0.4281474997196939,-0.370079158636075
outdoors,-0.6182136218366283,-0.5080545092151081,-0.4279893401638275,-0.37692518849454704,-0.41124251012276924,-0.47055946200469445,-0.40149351701898817,-0.4262275798920234,-0.3086903836346617,-0.25451390369846294,-0.38361916554431286,-0.4200569979865256
circular/round,-0.6278123814896766,-0.6015050764704957,-0.5814629935716555,-0.55723899773341,-0.4809930194699765,-0.43599643420332646,-0.42138439747953815,-0.42549486024567895,-0.4378190709134071,-0.3513579519378307,-0.35600496792743663,-0.32239293650903567
paper-related/flat,-0.582149746377203,-0.5132930355628313,-0.5654428421234983,-0.5591302980710069,-0.4213634643794004,-0.41863659835575273,-0.36615644219701493,-0.299560860877204,-0.24797374888838863,-0.3298291399966451,-0.4260097110024563,-0.3346191614162817
sports-/playing-related,-0.5642102698798619,-0.5377354468584421,-0.5712341555326619,-0.5762682812653932,-0.4539118553552073,-0.4754384706767498,-0.4411561782632136,-0.4958320904918614,-0.4015947620218119,-0.3270910677849892,-0.317614583075843,-0.3143507604071527
tools/handheld/elongated,-0.49396096552666124,-0.49609134961441503,-0.4430689715803293,-0.3914532129456958,-0.4289282798554188,-0.388825670440226,-0.44813470108976783,-0.29104454566807303,-0.31459225873744745,-0.18393289207990637,-0.3593573817103901,-0.24571071716518555
fluid-related/drink-related,-0.42737193212954105,-0.45585889708313543,-0.3856882586594583,-0.39302958723103365,-0.3773720073865896,-0.2934259203844194,-0.28650327528592356,-0.2738971451646113,-0.28519444543327377,-0.2215605234756337,-0.18414692068674632,-0.041393423009068675
water-related,-0.40558621188019583,-0.3750282849668076,-0.3810435060222328,-0.32193463168986214,-0.3304863428892879,-0.36729751718187864,-0.28904221813302544,-0.28677490272911665,-0.1942436487340009,-0.12260250518070226,-0.08227978074398745,-0.0679873589861888
oriented/many things,-0.6199298337452221,-0.5663282326762136,-0.5323953998533266,-0.5728219515724258,-0.46649179577597666,-0.4205967936331336,-0.47438389714398155,-0.36229440127435764,-0.27785258483600384,-0.4897909704940089,-0.4170843989633346,-0.4537238160194579
powdery/earth-related,-0.5330210805371163,-0.49656836638049184,-0.43819510469300504,-0.34968889277896453,-0.459373040160477,-0.39435339773340883,-0.5093328841553475,-0.36526183332381756,-0.45639089396347265,-0.3831451033802342,-0.3197444500502169,-0.34744916559019234
white,-0.42580722898369383,-0.531268551382807,-0.35632577152981937,-0.3259715918520003,-0.4101934328940473,-0.3634781961768505,-0.34454395524674175,-0.3271677814874132,-0.325611244494419,-0.3301546161755544,-0.46831585101516615,-0.3291864268687412
coarse pattern/many things,-0.43504976075681556,-0.37007535584879814,-0.39254813725839455,-0.42512212264735694,-0.339027336915785,-0.3790355454130645,-0.3323007877823121,-0.352697616443467,-0.19777575093375033,-0.3337856323546613,-0.23692647911547948,-0.27598704908772054
red,-0.47910274705697087,-0.12496924356903683,-0.35642372475216133,-0.37484602422907387,-0.2947019275877729,-0.27407192590259655,-0.18138149006386084,-0.2723415357817509,-0.30387128282190456,-0.2324779204369325,-0.3705593263508207,-0.17623532514980145
long/thin,-0.5314574070667066,-0.48597886380027755,-0.43851579675635155,-0.42404739769005273,-0.4180106777060888,-0.4319550267220815,-0.398588318247038,-0.28981046788138576,-0.31720493545548667,-0.31530123268183496,-0.3659074988585118,-0.2927587144823147
weapon-/danger-related,-0.4770925241372703,-0.4600381316446329,-0.43028500736614195,-0.4538848435044538,-0.43559471436542796,-0.41683040395518134,-0.435803486456106,-0.40115428297705447,-0.4092690359179294,-0.35727310054931194,-0.12429593294706942,-0.19250867087928625
black,-0.4783260811025203,-0.4351995610288548,-0.31309796853408,-0.3467239604077186,-0.4101933283158741,-0.3318056084571772,-0.3132520134031127,-0.3400495034024591,-0.34352056505240003,-0.3250870400689527,-0.3722158686485504,-0.33906917583066387
household,-0.5293391415274451,-0.5198758429088688,-0.49593467740956454,-0.4745452518975106,-0.4812462192950453,-0.4365107836989215,-0.4223456936150558,-0.3889135895268081,-0.4315496070164664,-0.37206103559498094,-0.4257519493688824,-0.3143631759380945
feminine (stereotypical),-0.47697127473910017,-0.4834266207299549,-0.4817274833643417,-0.4647502706752351,-0.4803909459204201,-0.42363954889023914,-0.39504599759890535,-0.39349008875673896,-0.40868754839289867,-0.3647561030571629,-0.2902657030070981,-0.15073610878680843
body part-related,-0.29024736957272057,-0.24734108396686239,-0.2896673237388463,-0.2731487443334093,-0.25710848702933564,-0.19616857294515877,-0.12858035132738377,-0.10888062325560321,-0.012000831135369872,0.07233136589448508,0.07937058868719515,0.1471149718725041
tubular,-0.4677927005069087,-0.48680407221402633,-0.45781235754862815,-0.39971410598214474,-0.4537853156698204,-0.4078327950184193,-0.398365341488512,-0.354099697421129,-0.3614165620278844,-0.32307582651754685,-0.3089294949048438,-0.136452538211133
music-/hearing-/hobby-related/loud,-0.377715876735788,-0.3734427643273479,-0.33621105487634906,-0.3888942547744072,-0.35472553361995574,-0.3576035924192811,-0.3341118215605685,-0.29541009483905833,-0.30998153385628546,-0.25683514741248037,-0.24696591862113793,-0.10754272797495967
grid-/grating-related,-0.44771061917323696,-0.3504795499628661,-0.43754808387268374,-0.42368874370285536,-0.27168554562556557,-0.3278335330161928,-0.31632511698648114,-0.3166655712865618,-0.3005471365408936,-0.3455850706334713,-0.312179850960262,-0.2821247856723612
repetitive/spiky,-0.4827711661582834,-0.338951660027939,-0.3979373940356874,-0.4257654137562785,-0.2887423244729461,-0.404884767006908,-0.3667407410369232,-0.3782218627308793,-0.3098158332063856,-0.3122652955206233,-0.23747601764036474,-0.24081317308010886
construction-/craftsmanship-related,-0.4964252229187598,-0.49177373775257305,-0.48464096247575816,-0.46410233605654394,-0.42300342299919835,-0.4171717147253271,-0.4040586129572965,-0.3718501781677115,-0.3666133596406964,-0.2949117481695156,-0.2660269558170276,-0.34293049389258656
spherical/voluminous,-0.41093216293192114,-0.368060991120573,-0.3831474295543489,-0.3800411499101868,-0.3477193144139441,-0.3072628543158997,-0.3249922157676226,-0.3235901551461442,-0.2998066082392017,-0.2382796480939846,-0.23850762976059836,-0.17770291689741557
string-related/curved,-0.41906822206315963,-0.3957605871681902,-0.4272028824561682,-0.39658861950582436,-0.3880683212088212,-0.34837474352125297,-0.3696916760506379,-0.35088573967114955,-0.32442754823645203,-0.2553219825253097,-0.12739721343929755,-0.17982959954967814
seating-/standing-/lying-related,-0.4392271877383036,-0.45567497595958706,-0.38264732668488666,-0.3740907874494701,-0.3534473464908927,-0.30789358484920193,-0.3113549072559092,-0.27158544999624135,-0.2503643553717414,-0.16387900200449557,-0.27894706914724665,-0.23617817282914033
flying-/sky-related,-0.33460605850360237,-0.2796255835665218,-0.2429498726871746,-0.24693416310521465,-0.2680644300888231,-0.24318427209058613,-0.15810671041232016,-0.1925722904412137,-0.1981038153394037,-0.10215617401400223,-0.004972159835506584,-0.04776733837096847
bug-related/non-mammalian/disgusting,-0.33260119847555014,-0.31123701459831854,-0.30564582455046496,-0.27638065422384583,-0.29587300622409973,-0.2938683222145888,-0.26903355108382687,-0.23445992918440584,-0.24199546855107035,-0.2100108113924286,0.07542207749685093,0.12531719813527487
transparent/shiny/crystalline,-0.426501102999691,-0.40939707121480895,-0.3891591054621204,-0.3894885319077155,-0.3916722695897259,-0.3751305629327917,-0.3267289736180208,-0.3676898890740623,-0.35256557894806684,-0.29915616786838917,-0.21122321017985635,-0.20353720855662139
sand-colored,-0.38158672957171436,-0.3803367750330926,-0.4467044672037881,-0.3070115741651749,-0.42777503740542255,-0.43398096583588885,-0.46697049664354373,-0.415900225918568,-0.37053452295629485,-0.3546026179317645,-0.3897739352603222,-0.3773562131778818
green,-0.18322131247078266,-0.07818028010858336,-0.12364738954159726,-0.07325788899848651,-0.14601575585576398,-0.11703308493384545,-0.1826507397988535,-0.2159311460024631,-0.1677437642303481,-0.17133647835637333,-0.19094994189570325,-0.14432417953445476
bathroom-/wetness-related,-0.38739210929433354,-0.4142129266919332,-0.37895564778611424,-0.3679545824549568,-0.3792770066837128,-0.3549289459558531,-0.3582239432245806,-0.3484917560299088,-0.3234412942155611,-0.3151526073562425,-0.2558972022128323,-0.10168367656250332
yellow,-0.37638825687671407,-0.33978401976227546,-0.3914186782706841,-0.32746453808187614,-0.35221476144401764,-0.3407593696216813,-0.3073284085322867,-0.3209850172864306,-0.26283389402461244,-0.3038741907967335,-0.335123094424326,-0.20427644414001356
heat-/fire-/light-related,-0.3168872269076215,-0.29373960130548316,-0.3020520419154,-0.2943804177055951,-0.2947955306904071,-0.33157375089471697,-0.2714846219167748,-0.2828773058976428,-0.25910989899260883,-0.19889998979222967,-0.1702170417833393,-0.05377023296847461
beams-/mesh-related,-0.41546864639292225,-0.3633918503561906,-0.3286432955751011,-0.3236117403937362,-0.2787600869620106,-0.24566057286491105,-0.2679481282401379,-0.2698510599162316,-0.21677948595305474,-0.30013587669889286,-0.33451296570117206,-0.27209426098589207
foot-/walking-related,-0.3557448340981493,-0.35630384888625977,-0.34778794647892775,-0.3502281778931422,-0.31450811478799157,-0.30174434144035245,-0.3304302929337426,-0.32015839907286203,-0.27595763556838215,-0.11349190179932211,-0.07214100757883912,-0.016977324513664627
